product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
T SHIRT WITH PRINT,1688.0471,7198892.13,2971849.11,108,25,97,1103874.2699999998,2184473.12,1,0.505327,0.176251,0.176251,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,487.273,4549402.65,3791312.51,70,22,60,545488.7600000001,1169258.01,2,0.466526,0.111383,0.287634,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,283.6554,3655455.91,2373452.47,67,22,58,602948.2900000003,1427705.9900000002,3,0.42232,0.089497,0.37713,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,46.4266,2898103.32,674736.97,57,22,50,662314.8899999998,1523161.91,4,0.434829,0.070954,0.448085,A,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 500PAGES (VALIANT),47.4104,2323131.52,1528883.19,59,22,53,523035.26,1275207.7999999998,5,0.410157,0.056877,0.504962,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 MAGENTA,74.0463,1779974.15,1371763.6,52,18,47,230689.03000000006,576654.6200000001,6,0.400047,0.043579,0.548541,A,ABC/Pareto using total_trade_price revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,10.348,1564330.79,929372.03,39,16,36,354681.13999999996,580429.79,7,0.611066,0.0383,0.586841,A,ABC/Pareto using total_trade_price revenue,draft
STAPLE WIRE #35,236.8622,1544905.77,935259.3,44,20,38,270775.12,643471.9700000001,8,0.420803,0.037824,0.624665,A,ABC/Pareto using total_trade_price revenue,draft
HBW BLACK BALLPEN,217.0942,1531294.11,1088177.43,51,18,45,340410.8399999999,667589.3999999999,9,0.50991,0.037491,0.662155,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LONG (HARDCOPY),38.2614,1495430.32,776918.79,40,17,36,124898.0,305280.99,10,0.409125,0.036613,0.698768,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 BLACK,284.8884,1458979.04,676792.41,57,23,51,613806.7699999999,1200869.19,11,0.511135,0.03572,0.734488,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 CYAN,72.6023,1381930.45,1019391.88,45,19,40,416906.28,722059.6599999999,12,0.577385,0.033834,0.768322,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 (HARDCOPY),63.8107,1359128.61,904030.86,40,19,37,373149.78,784518.1700000002,13,0.475642,0.033276,0.801598,B,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,131.3332,1145257.1,404302.31,51,18,47,374125.88999999996,952798.5299999999,14,0.39266,0.028039,0.829637,B,ABC/Pareto using total_trade_price revenue,draft
SCOTCH TAPE 1'',24.5734,1041513.7,535030.32,37,15,35,105579.98000000001,204012.94999999998,15,0.517516,0.025499,0.855136,B,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 YELLOW,73.8132,1015890.16,822866.68,49,19,44,171501.19,324468.35,16,0.528561,0.024872,0.880008,B,ABC/Pareto using total_trade_price revenue,draft
MASKING TAPE 1INCH,89.9421,937329.13,463938.17,39,18,34,436000.68,792829.26,17,0.54993,0.022949,0.902957,B,ABC/Pareto using total_trade_price revenue,draft
BALLPEN FINEPOINT,290.5684,885048.75,236476.45,41,15,35,218739.77,464440.1000000001,18,0.470975,0.021669,0.924626,B,ABC/Pareto using total_trade_price revenue,draft
ELECTRICAL WIRE #14,54.5212,719360.62,618972.26,31,15,29,62087.729999999996,119432.48000000003,19,0.519856,0.017612,0.942238,B,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LEGAL 80GSM (DOUBLE A),47.014,635602.43,343169.09,19,10,17,342294.5,603219.8200000001,20,0.567446,0.015561,0.957799,C,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE JOY,268.3103,451304.93,156183.89,49,16,41,144629.84,319654.5,21,0.452457,0.011049,0.968849,C,ABC/Pareto using total_trade_price revenue,draft
SODAMPEN 1G IM/IV,7811.0,335873.0,329595.0,61,26,0,0.0,0.0,22,0.0,0.008223,0.977072,C,ABC/Pareto using total_trade_price revenue,draft
TRASH BAG - BLACK - MEDIUM,134.1814,197762.27,34649.32,29,14,23,33229.32000000001,116121.51,23,0.28616,0.004842,0.981914,C,ABC/Pareto using total_trade_price revenue,draft
PAPER TOWEL 175PULL-UPS (FEMME),550.6227,139003.32,124779.82,19,12,4,14048.25,28271.75,24,0.496901,0.003403,0.985317,C,ABC/Pareto using total_trade_price revenue,draft
PAPER TOWEL - JADE,2100.0,94000.0,93550.0,3,3,0,0.0,0.0,25,0.0,0.002301,0.987618,C,ABC/Pareto using total_trade_price revenue,draft
THERMAL PAPER,23.0,74500.0,36300.0,6,6,0,18300.0,38500.0,26,0.475325,0.001824,0.989442,C,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 SHORT,405.0,57105.0,24245.0,3,3,0,24245.0,57105.0,27,0.424569,0.001398,0.99084,C,ABC/Pareto using total_trade_price revenue,draft
CARDIPEN 1MG/ML 2ML,10.0,23550.0,950.0,1,1,0,950.0,23550.0,28,0.04034,0.000577,0.991417,C,ABC/Pareto using total_trade_price revenue,draft
"AUTOCLAVE TAPE 3/4""",123.0,22540.0,22540.0,5,5,0,0.0,0.0,29,0.0,0.000552,0.991969,C,ABC/Pareto using total_trade_price revenue,draft
STERILE LATEX SURGICAL GLOVES #7,30.0,22500.0,20250.0,2,1,0,9000.0,11250.0,30,0.8,0.000551,0.99252,C,ABC/Pareto using total_trade_price revenue,draft
AUTOCLAVE ORMED TAPE 2CM,100.0,21000.0,15000.0,1,1,0,15000.0,21000.0,31,0.714286,0.000514,0.993034,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTI PURPOSE (COPY) LEGAL 70GSM HARDCOPY,100.0,18900.0,4200.0,1,1,0,4200.0,18900.0,32,0.222222,0.000463,0.993497,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTI PURPOSE (COPY) A4 70GSM HARDCOPY,100.0,16900.0,10100.0,1,1,0,10100.0,16900.0,33,0.597633,0.000414,0.99391,C,ABC/Pareto using total_trade_price revenue,draft
COMPUTER INK #664 EPSON,64.0,16832.0,4862.0,3,3,0,3810.0,15780.0,34,0.241445,0.000412,0.994322,C,ABC/Pareto using total_trade_price revenue,draft
