area_type,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,2975,0,0,570,815,3788081.5200000172,5987513.980000001,56110.06,12742740.0295,9147141.7595,28112867.59,129309.69,28242177.28,0.632663
customer_type,11042,0,0,3131,1897,37744056.53359999,64970186.3264,913543.24,118834761.7675,84588318.6247,293949986.05,1090.0,293951076.05,0.580944
territory,9112,20,0,998,5129,3310713.21,5718593.509999999,91068.85,22548617.4268,19292826.0864,59455084.86,2741589.05,62196673.91,0.578938
unmapped,1719,1710,0,130,342,17129257.72,35005104.93000003,1085.0,65166496.59,35068371.82,105203154.2,0.0,105203154.2,0.489336
