scope,calendar_month,seasonal_index,seasonal_strength,interpretation,method,status
overall,01,0.756106,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
overall,02,1.33947,0.57632,higher_than_average,monthly average demand divided by overall monthly average demand,draft
overall,03,1.020401,0.57632,near_average,monthly average demand divided by overall monthly average demand,draft
overall,04,0.911867,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
overall,05,0.988745,0.57632,near_average,monthly average demand divided by overall monthly average demand,draft
overall,06,1.716125,0.57632,higher_than_average,monthly average demand divided by overall monthly average demand,draft
overall,07,0.916823,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
overall,08,0.86191,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
overall,09,1.514787,0.57632,higher_than_average,monthly average demand divided by overall monthly average demand,draft
overall,10,0.727088,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
overall,11,1.019001,0.57632,near_average,monthly average demand divided by overall monthly average demand,draft
overall,12,0.736346,0.57632,lower_than_average,monthly average demand divided by overall monthly average demand,draft
