territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial,is_partial_period
Batangas,2020-01,2019-01,276.0,50534.19,50152.39,,,,,False,False
Camarines Norte,2020-01,2019-01,197.8,79398.36,60806.86,,,,,False,False
Camarines Sur,2020-01,2019-01,141.0,19496.39,17900.61,,,,,False,False
Cavite,2020-01,2019-01,298.0,41615.2,39216.95,,,,,False,False
Laguna,2020-01,2019-01,354.2,31315.54,31315.54,,,,,False,False
Marinduque,2020-01,2019-01,610.0,63530.32,59934.5,,,,,False,False
Quezon,2020-01,2019-01,1063.0,172443.96,162360.98,,,,,False,False
Batangas,2020-02,2019-02,228.0,51643.92,51643.92,,,,,False,False
Camarines Norte,2020-02,2019-02,322.2,120204.4,105724.4,,,,,False,False
Camarines Sur,2020-02,2019-02,507.41,67537.02,64878.92,,,,,False,False
Cavite,2020-02,2019-02,248.0,33232.12,32692.32,,,,,False,False
Laguna,2020-02,2019-02,-27.1,2598.28,9877.6,,,,,False,False
Marinduque,2020-02,2019-02,269.0,27269.69,27269.69,,,,,False,False
Quezon,2020-02,2019-02,574.63,92571.19,89423.69,,,,,False,False
Batangas,2020-03,2019-03,255.0,71676.51,70745.37,,,,,False,False
Camarines Norte,2020-03,2019-03,-69.0,-5542.35,116.13,,,,,False,False
Camarines Sur,2020-03,2019-03,-628.38,-31079.68,20277.97,,,,,False,False
Cavite,2020-03,2019-03,437.0,62795.57,61913.27,,,,,False,False
Laguna,2020-03,2019-03,24.29,8171.8,7571.8,,,,,False,False
Marinduque,2020-03,2019-03,165.0,24224.69,23643.05,,,,,False,False
Quezon,2020-03,2019-03,223.0,54893.61,52288.07,,,,,False,False
Batangas,2020-04,2019-04,149.0,31950.83,31950.83,,,,,False,False
Cavite,2020-04,2019-04,232.0,55915.99,55915.99,,,,,False,False
Quezon,2020-04,2019-04,110.0,38370.51,38370.51,,,,,False,False
Batangas,2020-05,2019-05,67.0,7435.52,7435.52,,,,,False,False
Camarines Norte,2020-05,2019-05,251.8,99828.28,85481.28,,,,,False,False
Cavite,2020-05,2019-05,344.0,81888.55,39698.39,,,,,False,False
Batangas,2020-06,2019-06,141.0,35523.33,35523.33,,,,,False,False
Cavite,2020-06,2019-06,340.0,35166.37,31263.57,,,,,False,False
Marinduque,2020-06,2019-06,167.0,60687.77,29997.77,,,,,False,False
Quezon,2020-06,2019-06,447.0,97028.39,97028.39,,,,,False,False
Albay,2020-07,2019-07,799.0,150197.0,150197.0,,,,,False,False
Batangas,2020-07,2019-07,71.0,23072.61,22698.17,,,,,False,False
Camarines Norte,2020-07,2019-07,151.46,67339.62,56231.62,,,,,False,False
Camarines Sur,2020-07,2019-07,34.0,20910.0,16490.0,,,,,False,False
Cavite,2020-07,2019-07,372.0,43814.51,43274.71,,,,,False,False
Marinduque,2020-07,2019-07,203.0,44701.4,38210.35,,,,,False,False
Quezon,2020-07,2019-07,166.0,36201.51,34393.17,,,,,False,False
Albay,2020-08,2019-08,164.0,41721.6,41721.6,,,,,False,False
Batangas,2020-08,2019-08,76.0,33342.84,33342.84,,,,,False,False
Camarines Norte,2020-08,2019-08,-65.16,-6518.74,0.0,,,,,False,False
Camarines Sur,2020-08,2019-08,104.0,15937.28,15937.28,,,,,False,False
Cavite,2020-08,2019-08,474.0,50451.17,50451.17,,,,,False,False
Marinduque,2020-08,2019-08,168.0,42686.69,42507.97,,,,,False,False
Quezon,2020-08,2019-08,97.0,48271.26,48047.76,,,,,False,False
Batangas,2020-09,2019-09,112.0,42474.73,42474.73,,,,,False,False
Cavite,2020-09,2019-09,415.33,53531.42,53531.42,,,,,False,False
Marinduque,2020-09,2019-09,122.0,30816.82,27074.93,,,,,False,False
Quezon,2020-09,2019-09,305.0,81060.83,62466.19,,,,,False,False
Albay,2020-10,2019-10,-1.0,-565.13,0.0,,,,,False,False
Batangas,2020-10,2019-10,103.0,30385.0,30385.0,,,,,False,False
Camarines Norte,2020-10,2019-10,457.6,156895.03,133499.03,,,,,False,False
Camarines Sur,2020-10,2019-10,-81.64,-13494.81,21612.37,,,,,False,False
Cavite,2020-10,2019-10,285.0,45832.2,43540.63,,,,,False,False
Laguna,2020-10,2019-10,-1445.67,-140461.9,0.0,,,,,False,False
Quezon,2020-10,2019-10,308.0,96260.14,76617.64,,,,,False,False
Batangas,2020-11,2019-11,61.0,27028.95,27028.95,,,,,False,False
Camarines Norte,2020-11,2019-11,85.8,37946.94,33782.94,,,,,False,False
Cavite,2020-11,2019-11,149.0,11117.76,9108.84,,,,,False,False
Laguna,2020-11,2019-11,12.0,8445.8,6784.2,,,,,False,False
Marinduque,2020-11,2019-11,91.0,27627.95,26376.31,,,,,False,False
Quezon,2020-11,2019-11,209.0,61425.76,58331.76,,,,,False,False
Batangas,2020-12,2019-12,49.0,13045.12,13045.12,,,,,False,False
Camarines Sur,2020-12,2019-12,73.0,13210.25,11910.25,,,,,False,False
Cavite,2020-12,2019-12,65.33,21228.2,30854.76,,,,,False,False
Marinduque,2020-12,2019-12,117.0,15105.57,14756.61,,,,,False,False
Quezon,2020-12,2019-12,323.0,85196.41,80239.47,,,,,False,False
Batangas,2021-01,2020-01,139.46,36404.86,25533.56,276.0,50534.19,-0.49471,-0.279599,False,False
Camarines Norte,2021-01,2020-01,186.0,70748.79,62478.79,197.8,79398.36,-0.059656,-0.108939,False,False
Camarines Sur,2021-01,2020-01,120.0,21091.87,20441.87,141.0,19496.39,-0.148936,0.081835,False,False
Cavite,2021-01,2020-01,158.0,29742.26,29742.26,298.0,41615.2,-0.469799,-0.285303,False,False
Laguna,2021-01,2020-01,74.0,27848.02,7118.02,354.2,31315.54,-0.791078,-0.110728,False,False
Marinduque,2021-01,2020-01,427.0,58463.16,52067.16,610.0,63530.32,-0.3,-0.07976,False,False
Quezon,2021-01,2020-01,293.0,77644.59,77354.59,1063.0,172443.96,-0.724365,-0.54974,False,False
Albay,2021-02,2020-02,18.0,1966.5,1764.5,,,,,False,False
Batangas,2021-02,2020-02,53.0,33088.23,33088.23,228.0,51643.92,-0.767544,-0.359301,False,False
Camarines Norte,2021-02,2020-02,104.8,35773.3,34973.3,322.2,120204.4,-0.674736,-0.702396,False,False
Camarines Sur,2021-02,2020-02,213.0,18600.52,13666.12,507.41,67537.02,-0.580221,-0.724588,False,False
Cavite,2021-02,2020-02,253.0,42372.71,41308.45,248.0,33232.12,0.020161,0.275053,False,False
Laguna,2021-02,2020-02,76.0,19270.0,12770.0,-27.1,2598.28,-3.804428,6.416445,False,False
Quezon,2021-02,2020-02,370.0,77786.14,75002.24,574.63,92571.19,-0.356107,-0.159715,False,False
Batangas,2021-03,2020-03,133.0,24660.25,24606.65,255.0,71676.51,-0.478431,-0.655951,False,False
Camarines Norte,2021-03,2020-03,81.4,22503.0,20367.0,-69.0,-5542.35,-2.17971,-5.060191,False,False
Camarines Sur,2021-03,2020-03,86.0,12357.8,11707.8,-628.38,-31079.68,-1.13686,-1.397617,False,False
Cavite,2021-03,2020-03,32.0,3907.32,2687.07,437.0,62795.57,-0.926773,-0.937777,False,False
