product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
MONOWEL 1G IV,12600.1434,5791588.87,2342231.87,12,6,1,2331189.0,5780545.999999999,1,0.403282,0.035601,0.035601,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,678.0,2423850.0,1550122.0,108,29,0,463322.0,1104675.0,2,0.419419,0.0149,0.050501,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,1950000.0,5,3,0,1475000.0,1900000.0,3,0.776316,0.014599,0.0651,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,0,970810.0,2004500.0,4,0.484315,0.012322,0.077422,A,ABC/Pareto using total_trade_price revenue,draft
"QMC 787,170",9.4518,1928778.38,978044.01,28,10,27,907464.2999999999,1769725.4900000002,5,0.512771,0.011856,0.089278,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU/0.7ML,1447.6353,1740574.89,1644380.0,15,6,1,90880.0,169012.5,6,0.537712,0.010699,0.099978,A,ABC/Pareto using total_trade_price revenue,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7202.8225,1685853.78,613672.15,23,3,11,579561.81,1469764.55,7,0.394323,0.010363,0.110341,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7934.0859,1635135.66,1523448.9,55,29,5,242856.49,354543.25,8,0.684984,0.010051,0.120392,A,ABC/Pareto using total_trade_price revenue,draft
ZINACARE 750MG W/ DILUENT,42103.0579,1594025.15,1363464.01,29,7,10,1065029.54,1295590.6800000002,9,0.822042,0.009799,0.130191,A,ABC/Pareto using total_trade_price revenue,draft
MICROPORE 1X10 2.5CMX9.1M (3M),629.0409,1582077.16,982286.12,38,10,10,976106.1199999999,1575897.1600000001,10,0.619397,0.009725,0.139916,A,ABC/Pareto using total_trade_price revenue,draft
HAIXONE WITH DILUENT 1G,53615.8002,1552003.37,1356419.08,33,10,8,1310832.01,1400831.51,11,0.935753,0.00954,0.149456,A,ABC/Pareto using total_trade_price revenue,draft
ENOXAGET-40 40MG/0.4ML,2145.3825,1546291.99,1375275.64,13,7,3,1375275.64,1546291.99,12,0.889402,0.009505,0.158961,A,ABC/Pareto using total_trade_price revenue,draft
CAMERA WITH SD CARD AND LENS EOS RP RF24-105MM PRO (CANON),9.5592,1512918.42,802026.81,28,10,27,730550.5100000001,1351845.05,13,0.54041,0.0093,0.168261,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,1539.2506,1409380.23,690165.8,32,18,1,662435.8,1280070.23,14,0.5175,0.008664,0.176925,A,ABC/Pareto using total_trade_price revenue,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,0,1297000.0,1400000.0,15,0.926429,0.008606,0.185531,A,ABC/Pareto using total_trade_price revenue,draft
AIRCON SPLIT TYPE 2HP INVERTER (CARRIER),9.5625,1386896.13,1012038.86,34,13,33,470335.72000000003,845192.9900000001,16,0.556483,0.008525,0.194056,A,ABC/Pareto using total_trade_price revenue,draft
BATHROOM TISSUE 2PLY 12'S (FEMME),114.8513,1337740.26,735486.21,51,23,30,81818.62,182087.33000000005,17,0.449337,0.008223,0.202279,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT AMPULE,7232.0,1331325.0,1320080.0,178,30,0,300.0,925.0,18,0.324324,0.008184,0.210463,A,ABC/Pareto using total_trade_price revenue,draft
ABHAY-TOX 40IU/0.5ML VIAL,829.2732,1307683.57,466264.4,28,7,9,410100.58,828996.5900000001,19,0.494695,0.008038,0.218501,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH INJECTION PORT LUER LOCK G24 0.7X19MM (CATHULA),158.1956,1200528.26,567330.71,20,10,9,544488.6300000001,1153667.04,20,0.471963,0.00738,0.225881,A,ABC/Pareto using total_trade_price revenue,draft
TROYNOXA-60 60MG/0.6ML,2770.0,1119080.0,1119080.0,4,4,0,0.0,0.0,21,0.0,0.006879,0.23276,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH WINGS LUER LOCK G18 1.5X38MM (CATHULA),168.2397,1050402.16,575743.73,21,11,11,409555.29,800723.9400000001,22,0.511481,0.006457,0.239217,A,ABC/Pareto using total_trade_price revenue,draft
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,25893.3842,1039099.13,520456.83,106,31,12,342261.05000000005,602089.8300000001,23,0.568455,0.006387,0.245605,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML IV,285.1967,1021703.61,525927.66,44,21,1,332877.66000000003,828653.61,24,0.401709,0.00628,0.251885,A,ABC/Pareto using total_trade_price revenue,draft
KN95 FACEMASK (PIECE),8553.0,995624.0,7624.0,12,6,0,0.0,0.0,25,0.0,0.00612,0.258005,A,ABC/Pareto using total_trade_price revenue,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,985600.0,901624.95,3,2,0,411624.95,495600.0,26,0.830559,0.006059,0.264064,A,ABC/Pareto using total_trade_price revenue,draft
PPE SET,2510.0,978900.0,750100.0,3,3,0,457600.0,686400.0,27,0.666667,0.006017,0.270081,A,ABC/Pareto using total_trade_price revenue,draft
AMCETAM 150MG/ML 2ML,1946.1702,970144.45,448435.89,32,18,9,290832.62,731145.6499999999,28,0.397777,0.005964,0.276045,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS SKIN CLEANSER (60ML),8511.0,965147.4,883159.2,16,13,0,0.0,0.0,29,0.0,0.005933,0.281978,A,ABC/Pareto using total_trade_price revenue,draft
TRIVASC 35MG MR,2189.0,957687.5,940360.24,203,30,0,28172.739999999998,60375.0,30,0.466629,0.005887,0.287864,A,ABC/Pareto using total_trade_price revenue,draft
REFRIGERATOR 22CU.FT TWO DOOR UPRIGHT CHILLER (FUJIDENZO),4.943,947777.49,801167.36,27,11,26,288560.56999999995,435170.7,31,0.663097,0.005826,0.293691,A,ABC/Pareto using total_trade_price revenue,draft
CORPILYN 500MG,25773.2255,941089.27,552326.41,43,16,12,296441.25,650943.5900000001,32,0.455402,0.005785,0.299475,A,ABC/Pareto using total_trade_price revenue,draft
