area_type,standard_area,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,Admin,1862,0,0,289,447,1431746.3700000003,2522429.2700000005,12626.75,3920327.6195,2768199.3995,8599869.26,71213.25,8671082.51,0.567606
business_line,Equipment,107,0,0,56,43,1368322.1000000003,1806573.66,34001.0,5717863.66,4369612.1,13030659.73,0.0,13030659.73,0.757413
business_line,Losses,5,0,0,3,4,0.0,0.0,17.0,3211.8,0.0,-888.32,0.0,-888.32,0.0
business_line,Personal,7,0,0,7,6,60.0,790.0,9.0,1962.0,1182.0,3967.0,0.0,3967.0,0.075949
business_line,Supplies,264,0,0,118,87,386089.5,651927.5,2881.14,1079592.03,645558.33,2402522.0,0.0,2402522.0,0.592228
customer_type,Government,5828,0,0,2417,604,17206375.053600002,31695596.046399996,540288.56,58899023.2479,39685006.1251,145961733.66,1090.0,145962823.66,0.542863
customer_type,Hospital,3931,0,0,920,1035,18532633.02999999,30374152.25000001,298921.7,48833514.2796,35106569.7796,101169762.13,0.0,101169762.13,0.610145
customer_type,Pharma,60,0,0,19,53,13880.0,25720.0,300.0,133134.87,122449.87,581855.0,0.0,581855.0,0.539658
territory,Albay,9,0,0,9,7,32595.7,47797.7,1105.0,174300.8,159098.8,517862.97,2056.68,519919.65,0.681951
territory,Batangas,2819,0,0,419,1474,260143.09999999998,465571.5,18131.68,4766594.1528,4394284.2728,14358964.19,59696.05,14418660.24,0.558761
territory,Camarines Norte,402,0,0,52,315,254025.0,448641.0,5163.69,1601767.93,995630.53,3050254.82,56935.5,3107190.32,0.56621
territory,Camarines Sur,388,0,0,85,175,97981.72,126806.28,2875.52,477692.644,477468.3436,1474356.5,2496.0,1476852.5,0.772688
territory,Cavite,476,0,0,162,285,102213.28,122752.4,3665.3,709850.28,511956.09,1880377.4,13629.5,1894006.9,0.832678
territory,Laguna,62,0,0,35,23,367595.1,762908.9,4507.92,875043.42,549271.62,1608953.4,0.0,1608953.4,0.481834
territory,Marinduque,488,20,0,190,232,996386.2500000001,1897794.7500000005,15769.0,4705220.52,3751424.94,10353922.71,477402.94,10831325.65,0.525023
territory,Quezon,2640,0,0,379,1680,707040.6599999999,1148920.66,27503.84,6339579.62,5564347.09,18125224.31,1743272.21,19868496.52,0.615396
unmapped,Aboitiz,5,5,0,5,1,23907.690000000002,44400.0,1.0,44400.0,23907.69,68307.69,0.0,68307.69,0.538461
unmapped,Gulang Gulang,15,15,0,13,3,38704.0,80150.99999999999,3.0,80151.0,38704.0,118855.0,0.0,118855.0,0.482889
unmapped,PESO,15,15,0,12,3,1204359.8399999999,2317160.16,3.0,2317160.16,1204359.84,3521520.0,0.0,3521520.0,0.519757
unmapped,PESO Provincial,15,15,0,15,3,363095.63,697654.37,3.0,710699.22,363095.63,1070570.0,0.0,1070570.0,0.520452
unmapped,PHO,15,15,0,13,3,57710.69,109077.31,3.0,109077.31,57710.69,166788.0,0.0,166788.0,0.529081
unmapped,PPDC,70,70,0,42,14,322389.89,614539.8600000001,14.0,614539.86,322389.89,986429.75,0.0,986429.75,0.524604
unmapped,PPOC,5,5,0,5,1,52500.0,64000.0,1.0,64000.0,52500.0,116500.0,0.0,116500.0,0.820312
unmapped,Padre Burgos,5,5,0,5,1,23491.0,50889.0,1.0,50889.0,23491.0,74380.0,0.0,74380.0,0.461613
unmapped,Pagbilao,1230,1230,0,80,242,11236230.38999999,23956225.769999996,246.0,51826339.93,27910055.34,84730621.16,0.0,84730621.16,0.469032
unmapped,Provincial Tourism Office,25,25,0,17,5,177177.23999999996,345842.75999999995,5.0,855305.26,177177.24,836410.0,0.0,836410.0,0.512306
unmapped,QMC,255,255,0,52,51,3138530.8199999984,5796074.229999995,51.0,7530374.88,4393830.47,12052056.6,0.0,12052056.6,0.541493
unmapped,Tourism,55,55,0,23,11,481101.2099999999,916114.79,11.0,921686.79,486673.21,1416676.0,0.0,1416676.0,0.525154
