period,area,product,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2024-04,Pagbilao,CLEAR BOOK LEGAL/LONG,1,1,0,1,1,1356.78,2542.75,0.2211,2542.75,1356.78,3899.53,0.0,3899.53,0.533588
2024-04,Pagbilao,CORRECTION TAPE JOY,1,1,0,1,1,6606.99,9563.93,0.2022,9563.93,6606.99,16170.92,0.0,16170.92,0.690824
2024-04,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,2,2,0,1,2,8025.75,11725.289999999999,0.5623,11725.29,8025.75,19751.03,0.0,19751.03,0.684482
2024-04,Pagbilao,HARD COPY SUB#20 A4,2,2,0,1,2,9480.75,14331.619999999999,0.4788,14331.62,9480.75,23812.36,0.0,23812.36,0.661527
2024-04,Pagbilao,HBW BLACK BALLPEN,1,1,0,1,1,3880.5,5254.31,0.1786,5254.31,3880.5,9134.81,0.0,9134.81,0.738537
2024-04,Pagbilao,INK EPSON #003 BLACK,1,1,0,1,1,6704.33,9704.84,0.2052,9704.84,6704.33,16409.17,0.0,16409.17,0.690823
2024-04,Pagbilao,INK EPSON #003 MAGENTA,1,1,0,1,1,3705.7,5017.63,0.1705,5017.63,3705.7,8723.33,0.0,8723.33,0.738536
2024-04,Pagbilao,INK EPSON #003 YELLOW,1,1,0,1,1,959.08,1797.43,0.1563,1797.43,959.08,2756.51,0.0,2756.51,0.533584
2024-04,Pagbilao,NUTRIBOARD WITHOUT BAG,1,1,0,1,1,3791.48,5488.34,0.116,5488.34,3791.48,9279.83,0.0,9279.83,0.690825
2024-04,Pagbilao,RECORD BOOK 500PAGES (VALIANT),2,2,0,1,2,12648.17,17828.67,0.4662,17828.67,12648.17,30476.84,0.0,30476.84,0.709429
2024-04,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,2636.73,3570.21,0.1213,3570.21,2636.73,6206.95,0.0,6206.95,0.738536
2024-04,Pagbilao,TRASH BAG - BLACK - MEDIUM,1,1,0,1,1,745.44,1397.03,0.1215,1397.03,745.44,2142.47,0.0,2142.47,0.533589
2024-05,Padre Burgos,BALLPEN FINEPOINT,1,1,0,1,1,2835.41,6142.41,0.1207,6142.41,2835.41,8977.82,0.0,8977.82,0.461612
2024-05,Padre Burgos,BOND PAPER A4 (HARDCOPY),1,1,0,1,1,3467.1,7510.84,0.1476,7510.84,3467.1,10977.94,0.0,10977.94,0.461613
2024-05,Padre Burgos,RECORD BOOK 500PAGES (VALIANT),1,1,0,1,1,4599.62,9964.24,0.1958,9964.24,4599.62,14563.86,0.0,14563.86,0.461613
2024-05,Padre Burgos,STAPLE WIRE #35,1,1,0,1,1,3481.72,7542.52,0.1482,7542.52,3481.72,11024.24,0.0,11024.24,0.461612
2024-05,Padre Burgos,T SHIRT WITH PRINT,1,1,0,1,1,9107.15,19728.99,0.3877,19728.99,9107.15,28836.14,0.0,28836.14,0.461613
2024-05,Pagbilao,BALLPEN FINEPOINT,3,3,0,1,3,6135.64,13714.45,0.4595,56594.15,49015.34,154065.74,0.0,154065.74,0.447385
2024-05,Pagbilao,BOND PAPER A4 (HARDCOPY),3,3,0,1,3,18944.98,36808.71,0.5799,59114.09,18944.98,67237.26,0.0,67237.26,0.514687
2024-05,Pagbilao,BOND PAPER LONG (HARDCOPY),4,4,0,1,4,17690.28,37167.46,0.8461,119033.32,78456.51,256488.78,0.0,256488.78,0.475961
2024-05,Pagbilao,CLEAR BOOK LEGAL/LONG,7,7,0,1,7,20677.67,43443.99,1.6014,135065.8,51980.61,164886.81,0.0,164886.81,0.475962
2024-05,Pagbilao,CORRECTION TAPE 20MM,2,2,0,1,2,4602.82,16226.65,0.5158,16790.55,5166.72,22217.63,0.0,22217.63,0.283658
2024-05,Pagbilao,CORRECTION TAPE JOY,1,1,0,1,1,0.0,0.0,0.2079,459.58,459.58,1131.34,0.0,1131.34,0.0
2024-05,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),3,3,0,1,3,2320.7,2987.57,0.374,17556.86,16889.99,36561.6,0.0,36561.6,0.776785
2024-05,Pagbilao,ELECTRICAL WIRE #14,3,3,0,1,3,0.0,0.0,0.4817,79300.33,61149.58,182440.44,0.0,182440.44,0.0
2024-05,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,3,3,0,1,3,714.19,4701.92,0.5874,17435.66,1118.89,10246.56,0.0,10246.56,0.151893
2024-05,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,4,4,0,1,4,6063.0,7805.25,1.1409,78819.56,6063.0,65025.69,0.0,65025.69,0.776785
2024-05,Pagbilao,HARD COPY SUB#20 A4,1,1,0,1,1,0.0,0.0,0.2892,32307.21,32307.21,69126.44,0.0,69126.44,0.0
2024-05,Pagbilao,HBW BLACK BALLPEN,3,3,0,1,3,0.0,0.0,0.4333,22280.11,0.0,13366.33,0.0,13366.33,0.0
2024-05,Pagbilao,INK EPSON #003 BLACK,1,1,0,1,1,0.0,0.0,0.1579,4753.7,0.0,4106.66,0.0,4106.66,0.0
2024-05,Pagbilao,INK EPSON #003 CYAN,3,3,0,1,3,3744.2400000000002,15235.41,0.5699,29215.38,3744.24,31850.34,0.0,31850.34,0.245759
2024-05,Pagbilao,INK EPSON #003 MAGENTA,4,4,0,1,4,8809.57,13933.91,0.7463,27913.88,8809.57,35614.22,0.0,35614.22,0.63224
2024-05,Pagbilao,INK EPSON #003 YELLOW,3,3,0,1,3,7118.47,15203.49,0.594,65401.18,57316.16,179443.31,0.0,179443.31,0.468213
2024-05,Pagbilao,MARKER BLACK (PILOT),1,1,0,1,1,603.94,3976.08,0.1939,3976.08,603.94,4580.02,0.0,4580.02,0.151893
2024-05,Pagbilao,MASKING TAPE 1INCH,3,3,0,1,3,9363.1,11305.47,0.444,11305.47,9363.1,20668.57,0.0,20668.57,0.828192
2024-05,Pagbilao,MYGEL BLACK,2,2,0,1,2,2938.91,3164.67,0.2896,18984.2,18758.44,39952.0,0.0,39952.0,0.928662
2024-05,Pagbilao,NUTRIBOARD WITHOUT BAG,2,2,0,1,2,10683.71,24532.85,0.287,24532.85,10683.71,35216.56,0.0,35216.56,0.435486
2024-05,Pagbilao,RECORD BOOK 500PAGES (VALIANT),6,6,0,1,6,15551.32,28275.739999999998,1.3467,79117.13,15551.32,68615.91,0.0,68615.91,0.549988
2024-05,Pagbilao,SCOTCH TAPE 1'',1,1,0,1,1,0.0,0.0,0.1329,10218.16,0.0,9407.38,0.0,9407.38,0.0
2024-05,Pagbilao,STAPLE WIRE #35,1,1,0,1,1,0.0,0.0,0.1907,14664.0,0.0,13500.47,0.0,13500.47,0.0
2024-05,Pagbilao,STAPLER STANDARD TYPE (JOY),3,3,0,1,3,12907.26,25077.879999999997,0.438,60800.38,48629.76,149798.41,0.0,149798.41,0.514687
2024-05,Pagbilao,T SHIRT WITH PRINT,3,3,0,1,3,11260.45,14271.75,1.092,41116.77,11260.45,50746.03,0.0,50746.03,0.789003
2024-06,Pagbilao,ALLECUR 10MG,1,1,0,1,1,7120.02,13976.35,0.2341,13976.35,7120.02,21096.37,0.0,21096.37,0.509433
2024-06,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,1418.3,2063.66,0.1251,2063.66,1418.3,3481.97,0.0,3481.97,0.687274
2024-06,Pagbilao,BOND PAPER A4 (HARDCOPY),1,1,0,1,1,0.0,0.0,0.2016,4471.42,0.0,2918.38,0.0,2918.38,0.0
2024-06,Pagbilao,BOND PAPER LONG (HARDCOPY),2,2,0,1,2,0.0,0.0,0.3895,36379.46,0.0,11795.46,0.0,11795.46,0.0
2024-06,Pagbilao,CLEAR BOOK LEGAL/LONG,3,3,0,1,3,11995.21,17640.54,0.772,101646.11,11995.21,45656.02,0.0,45656.02,0.67998
2024-06,Pagbilao,CORRECTION TAPE 20MM,2,2,0,1,2,2393.4,9265.09,0.458,19770.34,2393.4,19652.41,0.0,19652.41,0.258325
2024-06,Pagbilao,CORRECTION TAPE JOY,1,1,0,1,1,0.0,0.0,0.1733,8561.65,0.0,6514.96,0.0,6514.96,0.0
2024-06,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),1,1,0,1,1,5582.98,8210.5,0.1356,8210.5,5582.98,13793.48,0.0,13793.48,0.679981
2024-06,Pagbilao,ELECTRICAL WIRE #14,1,1,0,1,1,636.53,1324.83,0.1151,1324.83,636.53,1961.36,0.0,1961.36,0.480462
2024-06,Pagbilao,EXEL 500MG CAP,1,1,0,1,1,4873.27,9566.04,0.1603,9566.04,4873.27,14439.31,0.0,14439.31,0.509434
2024-06,Pagbilao,FLASH DRIVE 32GB (KINGSTON),1,1,0,1,1,0.0,0.0,0.1021,23158.14,0.0,4412.51,0.0,4412.51,0.0
2024-06,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,2,2,0,1,2,9899.67,15049.52,0.3661,15049.52,9899.67,24949.19,0.0,24949.19,0.657806
2024-06,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,3,3,0,1,3,3967.67,6580.0599999999995,0.7139,18669.54,3967.67,19747.19,0.0,19747.19,0.602984
2024-06,Pagbilao,HARD COPY SUB#20 A4,1,1,0,1,1,2378.36,9206.85,0.2438,9206.85,2378.36,11585.21,0.0,11585.21,0.258325
2024-06,Pagbilao,HIVENT PLUS,1,1,0,1,1,8901.98,17474.26,0.2927,17474.26,8901.98,26376.25,0.0,26376.25,0.509434
2024-06,Pagbilao,INK EPSON #003 BLACK,2,2,0,1,2,0.0,0.0,0.4606,33762.7,0.0,8891.37,0.0,8891.37,0.0
2024-06,Pagbilao,INK EPSON #003 CYAN,3,3,0,1,3,11634.84,20929.050000000003,0.5072,20929.05,11634.84,32563.88,0.0,32563.88,0.555918
2024-06,Pagbilao,INK EPSON #003 YELLOW,1,1,0,1,1,748.86,1558.64,0.1354,1558.64,748.86,2307.5,0.0,2307.5,0.480457
2024-06,Pagbilao,MARKER BLACK (PILOT),2,2,0,1,2,1412.91,2055.82,0.2874,22948.31,1412.91,7458.52,0.0,7458.52,0.687273
