calendar_year,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2021,3415,0,0,673,1320,7161263.113599998,10221274.7264,153145.96,27587888.6538,23264871.2906,78185569.26,549150.22,78734719.48,0.700623
2022,4007,0,0,841,1599,4340937.349999998,7295793.000000001,123463.69,21277941.21,17805113.52,63415674.68,605162.2,64020836.88,0.594992
2023,5387,0,0,1887,1342,5630721.659999999,11981372.610000003,219046.5,29245537.67,17312717.15,62237498.85,550754.74,62788253.59,0.469956
2024,3328,615,0,626,1182,7631858.690000012,15650218.160000002,51201.12,30506004.5,15629475.08,50279039.88,342281.77,50621321.65,0.487652
2025,4921,1115,0,973,1377,34111504.44999999,61941852.67000004,421251.83,94745930.25,60143777.25,174160728.29,380443.2,174541171.49,0.550702
