product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
T SHIRT WITH PRINT,1683.7099,6790203.69,4128253.71,102,25,91,1,0.607972,0.024864,0.024864,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,1754.7328,6310429.4,7288252.22,214,62,3,2,1.154953,0.023107,0.047971,A,ABC/Pareto using total_trade_price revenue,draft
PROFUREX 750MG,31760.0,6246549.86,5740944.54,30,24,0,3,0.919058,0.022873,0.070844,A,ABC/Pareto using total_trade_price revenue,draft
MONOWEL 1G IV,12600.2024,5818658.42,2375819.02,13,6,2,4,0.40831,0.021306,0.09215,A,ABC/Pareto using total_trade_price revenue,draft
SORBIFER 310MG,4405.0,3591196.84,3371331.56,52,35,0,5,0.938777,0.01315,0.1053,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE JOY,270.8336,3369111.96,3854837.24,61,23,53,6,1.14417,0.012337,0.117637,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,282.7772,2944844.16,2491487.58,63,22,54,7,0.846051,0.010783,0.12842,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,49.675,2912397.11,2983401.45,69,25,62,8,1.02438,0.010664,0.139084,A,ABC/Pareto using total_trade_price revenue,draft
MAXIFER 20MG/ML,2906.0,2774404.33,4548482.33,113,52,0,9,1.639445,0.010159,0.149243,A,ABC/Pareto using total_trade_price revenue,draft
HAIXONE WITH DILUENT 1G,53617.2359,2593988.57,2112017.57,40,11,15,10,0.814197,0.009498,0.158742,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,2617.2404,2514372.5,1880301.65,32,15,1,11,0.747821,0.009207,0.167948,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,488.9911,2436695.28,2998294.59,77,22,67,12,1.230476,0.008922,0.176871,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,2217500.0,5,4,0,13,0.933684,0.008697,0.185567,A,ABC/Pareto using total_trade_price revenue,draft
ZEFXON 40MG,8250.0,2319467.61,2139332.39,45,26,0,14,0.922338,0.008493,0.194061,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,134.2178,2227800.28,798137.16,62,18,58,15,0.358262,0.008158,0.202218,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 125MCG/0.5ML,1087.4693,2099112.28,1788173.25,54,24,3,16,0.851871,0.007686,0.209905,A,ABC/Pareto using total_trade_price revenue,draft
BATHROOM TISSUE 2PLY 12'S (FEMME),116.1536,2067450.55,1897531.0,60,25,39,17,0.917812,0.00757,0.217475,A,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 500PAGES (VALIANT),44.7953,2047725.35,2124235.82,50,19,44,18,1.037364,0.007498,0.224973,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,0,19,0.484315,0.00734,0.232313,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS 0.2% WOUND SPRAY 60ML,15238.0,1962593.52,2290328.56,115,19,0,20,1.166991,0.007186,0.239499,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU/0.7ML,1448.9014,1845823.71,2122448.83,22,6,8,21,1.149865,0.006759,0.246258,A,ABC/Pareto using total_trade_price revenue,draft
"QMC 787,170",8.5623,1779961.04,904184.82,28,9,27,22,0.50798,0.006518,0.252776,A,ABC/Pareto using total_trade_price revenue,draft
