period,area,product,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2024-02,Pagbilao,BATTERY AA,1,1,0,1,1,0.1219,3770.59,1980.09,1790.5,0.0,1790.5,0.525141
2024-02,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),1,1,0,1,1,0.1856,4733.14,3394.32,8127.46,0.0,8127.46,0.717139
2024-02,Pagbilao,BOND PAPER LONG (HARDCOPY),2,2,0,1,2,0.3664,3757.0,3599.91,7356.91,0.0,7356.91,0.958187
2024-02,Pagbilao,CLEAR BOOK LEGAL/LONG,1,1,0,1,1,0.2482,3883.36,3866.39,7749.75,0.0,7749.75,0.99563
2024-02,Pagbilao,CORRECTION TAPE 20MM,1,1,0,1,1,0.1333,4122.71,2165.0,1957.71,0.0,1957.71,0.52514
2024-02,Pagbilao,FLASH DRIVE 16GB CAPACITY 1 PIECE INVIDUAL BLISTER PACK KINGSTON,1,1,0,1,1,0.1455,700.09,584.84,1284.92,0.0,1284.92,0.835378
2024-02,Pagbilao,FLASH DRIVE 32GB (KINGSTON),1,1,0,1,1,0.1235,3820.51,2006.31,1814.21,0.0,1814.21,0.525142
2024-02,Pagbilao,FOLDER 14PTS LONG,2,2,0,1,2,0.2892,3987.14,9415.59,13402.73,0.0,13402.73,2.36149
2024-02,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,2,2,0,1,2,0.5514,13437.4,7044.18,9647.82,0.0,9647.82,0.524222
2024-02,Pagbilao,HARD COPY SUB#20 A4,1,1,0,1,1,0.2879,8907.09,4677.47,4229.61,0.0,4229.61,0.52514
2024-02,Pagbilao,HBW BLACK BALLPEN,2,2,0,1,2,0.528,12863.75,20101.54,32965.3,0.0,32965.3,1.56265
2024-02,Pagbilao,INK EPSON #003 BLACK,2,2,0,1,2,0.4472,3641.38,2337.02,5978.41,0.0,5978.41,0.641795
2024-02,Pagbilao,INK EPSON #003 CYAN,2,2,0,1,2,0.3617,2945.24,1890.23,4835.47,0.0,4835.47,0.641792
2024-02,Pagbilao,INK EPSON #003 MAGENTA,2,2,0,1,2,0.4199,6498.55,15028.45,21527.0,0.0,21527.0,2.312585
2024-02,Pagbilao,INK EPSON #003 YELLOW,2,2,0,1,2,0.4279,4940.76,4559.31,9500.07,0.0,9500.07,0.922795
2024-02,Pagbilao,LETTER ENVELOPE LONG,1,1,0,1,1,0.1746,4453.71,3193.93,7647.63,0.0,7647.63,0.717139
2024-02,Pagbilao,MASKING TAPE 1INCH,1,1,0,1,1,0.1532,989.13,695.99,1685.12,0.0,1685.12,0.703639
2024-02,Pagbilao,RECORD BOOK 500PAGES (VALIANT),2,2,0,1,2,0.4402,4222.96,2512.58,6735.54,0.0,6735.54,0.594981
2024-02,Pagbilao,STAPLE WIRE #35,2,2,0,1,2,0.4405,6817.6,15766.28,22583.89,0.0,22583.89,2.312585
2024-02,Pagbilao,T SHIRT WITH PRINT,1,1,0,1,1,0.3232,4629.56,2412.87,7042.43,0.0,7042.43,0.521188
2024-02,Pagbilao,TOOTHBRUSH KIDDIE COLGATE,2,2,0,1,2,0.3227,6758.63,5497.72,12256.35,0.0,12256.35,0.813437
2024-02,Pagbilao,TRASH BAG - BLACK - MEDIUM,1,1,0,1,1,0.1816,2841.3,2828.88,5670.18,0.0,5670.18,0.995629
2024-02,Pagbilao,TRASH BAG MEDIUM BLACK,2,2,0,1,2,0.3265,7956.32,12432.93,20389.24,0.0,20389.24,1.562648
2024-02,QMC,AMBIDOL 50MG/ML (100MG/2ML) 2ML,1,1,0,1,1,0.1429,13178.43,9971.68,23150.12,0.0,23150.12,0.756667
2024-02,QMC,DOLO JAGA 500MG/50MG/100MG/100MCG,1,1,0,1,1,0.1514,13960.72,10563.61,24524.33,0.0,24524.33,0.756667
2024-02,QMC,EVAPROST 125MCG/0.5ML,1,1,0,1,1,0.1769,16316.91,12346.46,28663.37,0.0,28663.37,0.756667
2024-02,QMC,EVAPROST 250MCG/ML,1,1,0,1,1,0.3152,29065.28,21992.73,51058.01,0.0,51058.01,0.756667
2024-02,QMC,LACTAMOX 500MG/125MG,1,1,0,1,1,0.2136,19698.66,14905.32,34603.97,0.0,34603.97,0.756667
2024-04,Pagbilao,CORRECTION TAPE 20MM,1,1,0,1,1,0.2912,13773.31,9514.92,23288.23,0.0,23288.23,0.690823
2024-04,Pagbilao,CORRECTION TAPE JOY,1,1,0,1,1,0.2269,10729.22,7412.0,18141.21,0.0,18141.21,0.690824
2024-04,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),1,1,0,1,1,0.1226,5797.5,4005.05,9802.55,0.0,9802.55,0.690824
2024-04,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,0.2116,10009.68,6914.92,16924.61,0.0,16924.61,0.690823
2024-04,Pagbilao,SCOTCH TAPE 1'',1,1,0,1,1,0.1477,6985.29,4825.61,11810.9,0.0,11810.9,0.690825
2024-05,Padre Burgos,BALLPEN FINEPOINT,1,1,0,1,1,0.168,8551.13,3947.31,12498.44,0.0,12498.44,0.461613
2024-05,Padre Burgos,BOND PAPER LONG (HARDCOPY),1,1,0,1,1,0.2446,12448.06,5746.18,18194.24,0.0,18194.24,0.461612
2024-05,Padre Burgos,INK EPSON #003 YELLOW,1,1,0,1,1,0.1936,9854.53,4548.97,14403.5,0.0,14403.5,0.461612
2024-05,Padre Burgos,RECORD BOOK 500PAGES (VALIANT),1,1,0,1,1,0.2683,13652.61,6302.22,19954.83,0.0,19954.83,0.461613
2024-05,Padre Burgos,TRASH BAG MEDIUM BLACK,1,1,0,1,1,0.1254,6382.67,2946.32,9328.99,0.0,9328.99,0.461612
2024-05,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,0.1249,3759.27,511.68,3247.59,0.0,3247.59,0.136112
2024-05,Pagbilao,BLEACHING LIQUID ORIGINAL 3785ML (ZONROX),1,1,0,1,1,0.111,2281.87,2454.09,4735.96,0.0,4735.96,1.075473
2024-05,Pagbilao,BOND PAPER A4 (HARDCOPY),2,2,0,1,2,0.313,6882.44,1311.03,6965.45,0.0,6965.45,0.190489
2024-05,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),1,1,0,1,1,0.1141,14639.99,11844.23,2795.76,0.0,2795.76,0.809033
2024-05,Pagbilao,BOND PAPER LONG (HARDCOPY),2,2,0,1,2,0.415,28990.21,4833.73,31191.2,0.0,31191.2,0.166737
2024-05,Pagbilao,CLEAR BOOK LEGAL/LONG,1,1,0,1,1,0.2446,31382.33,25389.32,5993.01,0.0,5993.01,0.809032
2024-05,Pagbilao,CORRECTION TAPE 20MM,5,5,0,1,5,1.2844,64184.45,40567.22,49829.57,0.0,49829.57,0.632041
2024-05,Pagbilao,CORRECTION TAPE JOY,2,2,0,1,2,0.4439,21016.17,16113.14,13990.51,0.0,13990.51,0.766702
2024-05,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),1,1,0,1,1,0.1124,8645.91,686.02,7959.89,0.0,7959.89,0.079346
2024-05,Pagbilao,ELECTRICAL WIRE #14,1,1,0,1,1,0.1368,4828.69,3809.85,8638.54,0.0,8638.54,0.789003
2024-05,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,0.1685,5948.69,4693.54,10642.23,0.0,10642.23,0.789004
2024-05,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,3,3,0,1,3,0.7917,46301.23,7511.35,48371.2,0.0,48371.2,0.162228
2024-05,Pagbilao,HARD COPY SUB#20 A4,5,5,0,1,5,1.2667,85156.83,53416.87,55090.88,0.0,55090.88,0.627276
2024-05,Pagbilao,INK CARTRIDGE TRI COLOR (HP680),3,3,0,1,3,0.3822,21724.68,15610.68,11307.32,0.0,11307.32,0.718569
2024-05,Pagbilao,INK EPSON #003 BLACK,2,2,0,1,2,0.3883,9807.55,2217.32,10691.2,0.0,10691.2,0.226083
2024-05,Pagbilao,INK EPSON #003 CYAN,5,5,0,1,5,0.8162,22975.02,10629.74,33604.75,0.0,33604.75,0.462665
2024-05,Pagbilao,INK EPSON #003 MAGENTA,1,1,0,1,1,0.1641,3638.48,2249.56,5888.04,0.0,5888.04,0.618269
2024-05,Pagbilao,MARKER BLACK (PILOT),1,1,0,1,1,0.1716,3734.15,1179.56,4913.72,0.0,4913.72,0.315884
2024-05,Pagbilao,MASKING TAPE 1INCH,1,1,0,1,1,0.1316,2919.11,1804.8,4723.92,0.0,4723.92,0.618271
2024-05,Pagbilao,MYGEL BLACK,2,2,0,1,2,0.2284,11066.58,1203.12,10753.91,0.0,10753.91,0.108717
2024-05,Pagbilao,SCOTCH TAPE 1'',1,1,0,1,1,0.1251,7786.18,2208.61,9994.8,0.0,9994.8,0.283658
2024-05,Pagbilao,STAPLE WIRE #35,1,1,0,1,1,0.2051,14453.16,9958.39,4494.77,0.0,4494.77,0.689011
2024-05,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,0.1392,9805.91,6756.39,3049.53,0.0,3049.53,0.689012
2024-05,Pagbilao,T SHIRT WITH PRINT,4,4,0,1,4,1.4985,38067.32,19217.41,54532.35,0.0,54532.35,0.504827
2024-05,Pagbilao,TRASH BAG MEDIUM BLACK,2,2,0,1,2,0.2227,12316.75,8825.33,8840.65,0.0,8840.65,0.716531
2024-05,QMC,DIFLOSID 25MG/ML 3ML,1,1,0,1,1,0.2226,7518.83,6819.29,14338.12,0.0,14338.12,0.906962
2024-05,QMC,EROXIME 750MG IV,1,1,0,1,1,0.1115,3764.51,3414.26,7178.77,0.0,7178.77,0.90696
2024-05,QMC,EUROXONE 1G IV,1,1,0,1,1,0.1568,5294.16,4801.6,10095.75,0.0,10095.75,0.906962
2024-05,QMC,EVAPROST 250MCG/ML,1,1,0,1,1,0.248,8375.74,7596.48,15972.23,0.0,15972.23,0.906962
2024-05,QMC,LACTAMOX 500MG/125MG,1,1,0,1,1,0.2611,8817.76,7997.37,16815.13,0.0,16815.13,0.906962
2024-06,Pagbilao,BALLPEN FINEPOINT,1,1,0,1,1,0.181,6837.26,1766.23,8603.49,0.0,8603.49,0.258324
2024-06,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,0.1848,38476.17,19601.07,58077.24,0.0,58077.24,0.509434
2024-06,Pagbilao,BOND PAPER A4 (HARDCOPY),3,3,0,1,3,0.6243,53665.48,37739.07,22771.21,0.0,22771.21,0.703228
2024-06,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),1,1,0,1,1,0.1192,2130.99,1281.99,3412.98,0.0,3412.98,0.601594
2024-06,Pagbilao,BOND PAPER LONG (HARDCOPY),3,3,0,1,3,0.6599,27961.41,13872.16,36598.21,0.0,36598.21,0.496118
2024-06,Pagbilao,CLEAR BOOK LEGAL/LONG,2,2,0,1,2,0.4912,66373.6,46576.99,19796.61,0.0,19796.61,0.70174
2024-06,Pagbilao,CORRECTION TAPE 20MM,3,3,0,1,3,0.8276,137772.02,90406.33,133905.13,0.0,133905.13,0.656202
2024-06,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),1,1,0,1,1,0.1282,26694.5,13599.08,40293.58,0.0,40293.58,0.509434
2024-06,Pagbilao,ELECTRICAL WIRE #14,1,1,0,1,1,0.1925,7269.53,1877.9,9147.43,0.0,9147.43,0.258325
2024-06,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,0.2371,8955.69,2313.48,11269.17,0.0,11269.17,0.258325
2024-06,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,3,3,0,1,3,0.8781,14948.51,7036.6,17790.38,0.0,17790.38,0.470723
2024-06,Pagbilao,HARD COPY SUB#20 A4,1,1,0,1,1,0.2351,5214.27,1811.05,3403.21,0.0,3403.21,0.347326
2024-06,Pagbilao,INK EPSON #003 BLACK,1,1,0,1,1,0.2408,50142.47,25544.28,75686.75,0.0,75686.75,0.509434
2024-06,Pagbilao,INK EPSON #003 CYAN,2,2,0,1,2,0.3225,40743.84,31358.55,9385.3,0.0,9385.3,0.769651
2024-06,Pagbilao,INK EPSON #003 MAGENTA,2,2,0,1,2,0.3469,13466.65,8909.42,22376.06,0.0,22376.06,0.661591
2024-06,Pagbilao,INK EPSON #003 YELLOW,4,4,0,1,4,0.6978,24155.02,11952.06,31962.5,0.0,31962.5,0.494806
2024-06,Pagbilao,MARKER BLACK (PILOT),2,2,0,1,2,0.3196,43181.48,30302.15,12879.32,0.0,12879.32,0.701739
2024-06,Pagbilao,MYGEL BLACK,3,3,0,1,3,0.4085,37774.82,17390.97,53392.58,0.0,53392.58,0.460385
2024-06,Pagbilao,RECORD BOOK 500PAGES (VALIANT),1,1,0,1,1,0.2193,4862.62,1688.92,3173.71,0.0,3173.71,0.347327
2024-06,Pagbilao,SCOTCH TAPE 1'',1,1,0,1,1,0.1391,1602.05,769.72,2371.77,0.0,2371.77,0.480459
2024-06,Pagbilao,STAPLE WIRE #35,3,3,0,1,3,0.5464,22018.07,10541.03,28212.87,0.0,28212.87,0.478745
2024-06,Provincial Tourism Office,BALLPEN FINEPOINT,1,1,0,1,1,0.1724,34929.56,17794.3,52723.86,0.0,52723.86,0.509434
2024-06,Provincial Tourism Office,BLEACHING LIQUID ORIGINAL 3785ML (ZONROX),1,1,0,1,1,0.1307,26488.05,13493.91,39981.96,0.0,39981.96,0.509434
2024-06,Provincial Tourism Office,BOND PAPER A4 (HARDCOPY),1,1,0,1,1,0.2262,45831.1,23347.92,69179.02,0.0,69179.02,0.509434
2024-06,Provincial Tourism Office,CLEAR BOOK LEGAL/LONG,2,2,0,1,2,0.5189,69101.1,35202.45,104303.56,0.0,104303.56,0.509434
2024-06,Provincial Tourism Office,ELECTRICAL WIRE #14,1,1,0,1,1,0.1833,37137.2,18918.95,56056.15,0.0,56056.15,0.509434
2024-06,Provincial Tourism Office,HARD COPY SUB#20 (8 1/2X13) LONG,1,1,0,1,1,0.2756,12961.93,6603.25,19565.17,0.0,19565.17,0.509434
2024-06,Provincial Tourism Office,HBW BLACK BALLPEN,1,1,0,1,1,0.1677,7889.07,4018.96,11908.04,0.0,11908.04,0.509434
2024-06,Provincial Tourism Office,INK EPSON #003 BLACK,1,1,0,1,1,0.1981,9315.81,4745.79,14061.59,0.0,14061.59,0.509434
2024-06,Provincial Tourism Office,SCOTCH TAPE 1'',1,1,0,1,1,0.1271,5976.18,3044.47,9020.65,0.0,9020.65,0.509434
2024-07,Pagbilao,BALLPEN FINEPOINT,3,3,0,1,3,0.3884,4705.2,2255.37,6960.59,0.0,6960.59,0.479336
2024-07,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,0.1927,2315.65,778.43,3094.08,0.0,3094.08,0.33616
2024-07,Pagbilao,BLEACHING LIQUID ORIGINAL 3785ML (ZONROX),3,3,0,1,3,0.3533,4604.39,1309.53,5913.93,0.0,5913.93,0.284409
2024-07,Pagbilao,BOND PAPER A4 (HARDCOPY),3,3,0,1,3,0.5586,5531.32,2282.25,7813.56,0.0,7813.56,0.412605
2024-07,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),2,2,0,1,2,0.2304,17049.15,3905.92,20955.07,0.0,20955.07,0.229098
2024-07,Pagbilao,BOND PAPER LONG (HARDCOPY),5,5,0,1,5,1.0534,80137.04,103017.84,175727.74,0.0,175727.74,1.285521
2024-07,Pagbilao,BP APPARATUS ANEROID SPHYGMOMANOMETER (BAXTEL),1,1,0,1,1,0.1293,761.5,518.33,1279.84,0.0,1279.84,0.68067
2024-07,Pagbilao,CLEAR BOOK LEGAL/LONG,3,3,0,1,3,0.8141,10128.5,2400.07,12528.57,0.0,12528.57,0.236962
2024-07,Pagbilao,CORRECTION TAPE 20MM,5,5,0,1,5,1.1956,97794.67,128791.45,217731.29,0.0,217731.29,1.316958
2024-07,Pagbilao,CORRECTION TAPE JOY,4,4,0,1,4,0.7796,36395.06,8796.66,45191.7,0.0,45191.7,0.241699
2024-07,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),2,2,0,1,2,0.2447,5524.99,2960.17,3598.84,0.0,3598.84,0.535778
2024-07,Pagbilao,ELECTRICAL WIRE #14,4,4,0,1,4,0.6361,34228.01,8836.25,36217.88,0.0,36217.88,0.258158
2024-07,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,0.1777,41267.99,87902.94,129170.92,0.0,129170.92,2.130051
