period,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2023-12,87,0,0,63,43,672.0,156033.19,282247.81,436505.0,24258.0,460763.0,1.808896
2024-01,227,0,0,138,93,2111.77,590911.41,1155435.7,1715397.11,28724.1,1744121.21,1.955345
2024-02,272,40,0,128,107,2106.84,756058.34,1267124.8,1990691.64,21509.0,2012200.64,1.675962
2024-03,312,0,0,222,86,4249.33,675553.97,1317230.14,1992640.11,49989.0,2042629.11,1.949852
2024-04,239,5,0,160,83,8117.52,1042702.0,1057349.08,2098631.08,6364.5,2104995.58,1.014047
2024-05,330,60,0,156,116,3529.5,1298307.64,2012922.84,2897661.28,36018.63,2933679.91,1.550421
2024-06,278,50,0,177,97,8219.38,3920718.94,3596851.73,6876134.67,18413.5,6894548.17,0.917396
2024-07,265,85,0,138,105,2325.0,1820005.52,1800800.55,3145105.07,32153.0,3177258.07,0.989448
2024-08,288,65,0,158,92,4017.0,2280339.14,1866755.49,3579698.01,17300.0,3596998.01,0.818631
2024-09,195,35,0,118,95,1697.0,1683287.05,1214044.75,2163616.8,49686.69,2213303.49,0.721235
2024-10,273,75,0,141,83,6782.5,2541620.43,1872584.64,3949858.63,18517.6,3968376.23,0.736768
2024-11,327,70,0,186,115,4591.12,1546044.76,1918609.36,3449077.72,31033.25,3480110.97,1.240979
2024-12,322,130,0,163,110,3455.84,12351001.3,8633391.7,16564393.76,32572.5,16596966.26,0.699003
2025-01,225,10,0,137,100,5211.0,6954559.51,9419532.67,16374092.18,27808.5,16401900.68,1.35444
2025-02,353,15,0,194,113,39425.83,7986052.0,2213918.35,10199970.35,52175.5,10252145.85,0.277223
2025-03,246,10,0,136,91,15191.33,1323106.33,1154868.77,2477975.1,24753.1,2502728.2,0.872847
2025-04,194,20,0,116,94,15523.0,2773899.84,2729262.03,5503161.87,26102.6,5529264.47,0.983908
2025-05,247,60,0,147,90,6094.0,11979174.3,8641544.95,20620719.25,23266.0,20643985.25,0.721381
2025-06,590,80,0,304,121,75099.59,7396665.28,7329464.25,14726129.53,35236.5,14761366.03,0.990915
2025-07,291,75,0,152,98,29747.0,8178558.98,12080411.83,20258970.81,26943.4,20285914.21,1.477083
2025-08,278,65,0,159,100,25503.34,4353766.78,3949804.53,8303571.31,32202.0,8335773.31,0.907215
2025-09,511,30,0,238,143,112702.3,11696682.84,8864880.13,20561562.97,24041.0,20585603.97,0.757897
2025-10,399,110,0,218,133,19088.27,7374922.58,4660694.73,12035617.31,56811.0,12092428.31,0.631965
2025-11,736,415,0,243,170,42315.84,12222850.13,9727895.07,21950745.2,23481.5,21974226.7,0.795878
2025-12,851,225,0,447,127,35350.33,12505691.68,8642520.73,21148212.41,27622.1,21175834.51,0.691087
