area_type,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,4927,0,0,931,1473,74987.16,15889879.76,22917604.1,28164002.43,503220.96,36006091.95,1.442277
customer_type,12705,0,0,3439,2265,1124257.8,153579946.87,243423964.77,299538991.74,4263.1,358434034.16,1.584998
territory,17421,20,0,1496,9650,229453.46,37491127.26,77866922.17,60611391.27,3382662.91,110513882.21,2.076943
unmapped,2287,1710,0,335,649,10266.5,66135761.81,49708637.12,106250323.17,159853.58,108399437.1,0.751615
