period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
2017-01,2016-01,5239.0,728180.18,1571186.7,,,,,False
2017-02,2016-02,7862.0,759887.94,1736473.26,,,,,False
2017-03,2016-03,43869.0,760494.56,2036179.91,,,,,False
2017-04,2016-04,13453.0,709671.51,2060734.29,,,,,False
2017-09,2016-09,1.0,155.0,325.0,,,,,False
2017-11,2016-11,138.0,24911.1,61288.9,,,,,False
2017-12,2016-12,6302.0,1180.0,217490.0,,,,,False
2018-03,2017-03,5480.09,666372.83,2143211.48,43869.0,760494.56,-0.875081,-0.123764,False
2018-04,2017-04,10992.25,1353182.23,3243787.92,13453.0,709671.51,-0.182915,0.906773,False
2018-05,2017-05,8063.78,1088160.87,2713153.7,,,,,False
2018-06,2017-06,7412.4,998427.36,2403640.64,,,,,False
2018-07,2017-07,7392.2,1309727.32,3121544.64,,,,,False
2018-08,2017-08,7761.9,1165635.16,2146960.58,,,,,False
2018-09,2017-09,6487.75,1081851.39,2442704.0,1.0,155.0,6486.75,6978.686387,False
2018-10,2017-10,11268.66,1831016.26,3941468.74,,,,,False
2018-11,2017-11,14908.51,1810717.83,4549269.36,138.0,24911.1,107.032681,71.687189,False
2018-12,2017-12,7511.91,1202631.02,3341101.22,6302.0,1180.0,0.191988,1018.178831,False
2019-01,2018-01,9260.24,1377897.05,3133742.13,,,,,False
2019-02,2018-02,9470.65,1988246.07,3846358.5,,,,,False
2019-03,2018-03,12339.72,2027713.64,5685202.99,5480.09,666372.83,1.251737,2.042912,False
2019-04,2018-04,27585.22,2444016.94,7512816.02,10992.25,1353182.23,1.509515,0.806126,False
2019-05,2018-05,22554.13,2801484.16,6914453.94,8063.78,1088160.87,1.796967,1.574513,False
2019-06,2018-06,16042.85,1694271.1,5322736.55,7412.4,998427.36,1.164326,0.69694,False
2019-07,2018-07,23369.62,2909970.88,5920123.29,7392.2,1309727.32,2.161389,1.221814,False
2019-08,2018-08,10609.35,1630592.85,4053717.18,7761.9,1165635.16,0.36685,0.398888,False
2019-09,2018-09,15600.9,1794561.17,3661326.45,6487.75,1081851.39,1.40467,0.658787,False
