date_delivered,date_is_estimated,date_estimation_method,original_date_delivered,nearest_dated_source_row_number,date_source_row_distance,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,date_issue
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20334,Admin,AMLOTHIX 5MG,5,94.5,472.5,0,472.5,38,190,282.5,0.6,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,492,aa39ea1278fcb76ac53e47b73724fb29cefe08f7346d59591e2786fcfc102bd6,b19d8d9ff4ec739a980bf5a77475610598bd7569e3bfc44cf74f3cd43245a54c,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,URISOL 100MG,1,300,300,0,300,83,83,217,0.72,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,493,8e95205e4e0fa427f95141a0405ce9d92ce0b5f8e423755687642536b070661d,caf7a8537d6513bbaeb46ae3b1e866e80ee6fb7a0c1c665355c7a718970bd4d7,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,ATOVAS 20MG,3,540,1620,0,1620,180,540,1080,0.67,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,494,35ff7eff311cd766a416e1231dc8137c77aec2483b9c42f8a3347aecb8bab231,e1cbd5af341d6e931ec3343828e7b3fe6bbf932be680ab520486f167147cdf40,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,ANGEL-50 50MG,1,450,450,0,450,158,158,292,0.65,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,495,ee3808977a77b14fd1df2344a93d7e60834345d88e400ad1bc1709c62934c2ed,15d7b48245952edea80f41b34b4dbab7f1dcae6ce7464f879dc933e257e64986,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,CARDIZAR 50MG,3,240,720,0,720,120,360,360,0.5,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,496,3fecd83758ab8b5c3aa02a4a029520514f3ca7e518af5a2e190ce70741404b13,33ffe0b76592ff1aa7bac673c7d51321acf54b80908f40f9898714c6f76f3f89,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,LODIPEX - 10MG,1,400,400,0,400,60,60,340,0.85,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,497,5864205ee216ad6e3219b693add63559ae1955a1156d9fbdffb58ee3d71b9d0d,7c7ac548d97451fb4675bdd0bb8465e313c2c53bb692d5cfb76d1b2fc6043221,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20335,Admin,PROMETIN,2,200,400,0,400,63,126,274,0.69,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,498,c4ea71e788631d811cb79e248b5fcbb99bcb27d4655df2dc69f309ce7cfbeb40,741aa0fc710dd19e46a87c8835dfcb726304d31b2058e7c395ec2c405edad666,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-12,false,source_date_delivered,2022-01-12,,,2022,01,12,DR-24674,Admin,FERGLOBIN 250MG,7,517.86,3625,0,3625,325,2275,1350,0.37,valid,,,,,,,,,,,,,,2022s.csv,2022-01-12,688,db3387349a9d33612dcd9d0deeaecdd25e4b6323c98c9ffac861c6c51694667e,f81c6908470dc444d12597f536d72526031f8d0de4684ddf54829b6e9e983934,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-12,false,source_date_delivered,2022-01-12,,,2022,01,12,DR-24674,Admin,SOLVAPRINE 10MG,7,671.43,4700,0,4700,150,1050,3650,0.78,valid,,,,,,,,,,,,,,2022s.csv,2022-01-12,689,fab0bae395ce17c212cb1e07a8e2e3086dcd87c1187108ecdf3d6a5f40ac4e2a,986d4b6b3da385d517b21d624390d9e3cc74304d457abe7665e2bb168353a373,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-12,false,source_date_delivered,2022-01-12,,,2022,01,12,DR-24674,Admin,HYCLENS WOUND SPRAY (60ML),30,229.32,6879.6,0,6879.6,114.66,3439.8,3439.8,0.5,valid,,,,,,,,,,,,,,2022s.csv,2022-01-12,690,bd2778b4a2e7f43bdb9a5ea19648f99772385e39d659ed950e60f6466c826f86,62eec2b36b7e864b1254489154581d8a7bd065d2fa284b3e618ba6cb29ad593c,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
