MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2022,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 20316,04/08/2022,MOLNUPIRAVIR 400MG, 40.00 , 250.00 ," 10,000.00 ", -   ," 10,000.00 ", 180.00 ," 7,200.00 "," 2,800.00 ",28%
Admin,DR 20317,05/08/2022,CLOXANE 500MG CAP, 7.00 ," 1,071.43 "," 7,499.99 ", -   ," 7,499.99 ", 195.00 ," 1,365.00 "," 6,134.99 ",82%
Admin,DR 20317,05/08/2022,CIXTOR-Z 500mg, 14.00 , 630.00 ," 8,820.00 ", -   ," 8,820.00 ", 210.00 ," 2,940.00 "," 5,880.00 ",67%
Admin,DR 20317,05/08/2022,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 150.00 ," 2,100.00 "," 7,300.00 ",78%
Admin,DR 20317,05/08/2022,HYCLENS WOUND SPRAY (60ML), 20.00 , 150.00 ," 3,000.00 ", -   ," 3,000.00 ", 114.66 ," 2,293.20 ", 706.80 ,24%
Admin,DR 20318,08/08/2022,"MICROPORE 1"" - 1530-1 - 3M", 2.00 , 760.00 ," 1,520.00 ", -   ," 1,520.00 ", 500.00 ," 1,000.00 ", 520.00 ,34%
Admin,DR 023190,03/01/2022,TERMAGEN 500MG, 5.00 , 126.00 , 630.00 , -   , 630.00 , 105.00 , 525.00 , 105.00 ,17%
Admin,DR 023191,03/01/2022,TEMPAID 500mg, 10.00 , 126.00 ," 1,260.00 ", -   ," 1,260.00 ", 75.00 , 750.00 , 510.00 ,40%
Admin,DR 023192,11/01/2022,FERGLOBIN 250MG, 2.00 , 487.50 , 975.00 , -   , 975.00 , 325.00 , 650.00 , 325.00 ,33%
Admin,DR 023192,11/01/2022,SAPHLOPID 75MG, 2.00 , 108.00 , 216.00 , -   , 216.00 , 118.00 , 236.00 , (20.00),-9%
Admin,DR 023192,11/01/2022,SAPHLECOX 200MG, 2.00 , 252.00 , 504.00 , -   , 504.00 , 135.00 , 270.00 , 234.00 ,46%
Admin,DR 023192,11/01/2022,LOSARTRIXX 50mg, 5.00 , 190.00 , 950.00 , -   , 950.00 , 95.00 , 475.00 , 475.00 ,50%
Admin,DR MS 001126,10/01/2022,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR MS 001126,10/01/2022,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR MS 001126,10/01/2022,FOLACID 5MG, 7.00 , 464.29 ," 3,250.00 ", -   ," 3,250.00 ", 236.25 ," 1,653.75 "," 1,596.25 ",49%
Admin,DR MS 001126,10/01/2022,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 150.00 ," 2,100.00 "," 7,300.00 ",78%
Admin,DR MS 001126,10/01/2022,CIXTOR-Z 500mg, 14.00 , 630.00 ," 8,820.00 ", -   ," 8,820.00 ", 210.00 ," 2,940.00 "," 5,880.00 ",67%
Admin,DR MS 001126,10/01/2022,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 14.00 , 655.00 ," 9,170.00 ", -   ," 9,170.00 ", 400.00 ," 5,600.00 "," 3,570.00 ",39%
Admin,DR 023197,10/01/2022,COMOX 625MG, 7.00 ," 2,800.00 "," 19,600.00 "," 5,880.00 "," 13,720.00 "," 1,047.80 "," 7,334.60 "," 6,385.40 ",33%
Admin,DR 023197,10/01/2022,FERGLOBIN FA 60MG/400MCG, 7.00 , 642.86 ," 4,500.00 ", -   ," 4,500.00 ", 325.00 ," 2,275.00 "," 2,225.00 ",49%
Admin,DR 023314,17/01/2022,AZITHROM, 30.00 , 90.00 ," 2,700.00 ", -   ," 2,700.00 ", 45.00 ," 1,350.00 "," 1,350.00 ",50%
Admin,DR 023311,17/01/2022,IVERMECTIN15MG DR ZENS, 0.20 ," 3,200.00 ", 640.00 , -   , 640.00 ," 2,430.00 ", 486.00 , 154.00 ,24%
Admin,DR 023200,17/01/2022,FERN-D 120's, 2.00 , 850.00 ," 1,700.00 ", -   ," 1,700.00 ", 680.00 ," 1,360.00 ", 340.00 ,20%
Admin,DR 023317,24/01/2022,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023317,24/01/2022,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023317,24/01/2022,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.00 ", -   ," 4,700.00 ", 150.00 ," 1,050.00 "," 3,650.00 ",78%
Admin,DR 023317,24/01/2022,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023317,24/01/2022,CEPROTRON 500MG, 2.00 ," 1,750.00 "," 3,500.00 ", -   ," 3,500.00 ", 550.00 ," 1,100.00 "," 2,400.00 ",69%
Admin,DR 023317,24/01/2022,HEMOSTAP 500mg, 3.00 ," 2,100.00 "," 6,300.00 ", -   ," 6,300.00 ", 405.00 ," 1,215.00 "," 5,085.00 ",81%
Admin,DR 023317,24/01/2022,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM), 3.00 , 630.00 ," 1,890.00 ", -   ," 1,890.00 ", 250.00 , 750.00 ," 1,140.00 ",60%
Admin,DR 023325,31/01/2022,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.00 ", -   ," 9,750.00 "," 1,100.00 "," 7,700.00 "," 2,050.00 ",21%
Admin,DR 023325,31/01/2022,SOLVAPRINE 10MG, 7.00 ," 1,342.86 "," 9,400.00 ", -   ," 9,400.00 ", 150.00 ," 1,050.00 "," 8,350.00 ",89%
Admin,DR 023325,31/01/2022,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023325,31/01/2022,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023325,31/01/2022,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023325,31/01/2022,ENOCEE 500mg, (14.00), 107.14 ," (1,500.00)", -   ," (1,500.00)", 55.44 , (776.16), (723.84),48%
Admin,DR 023315,31/01/2022,PARA500, 10.00 , 110.00 ," 1,100.00 ", -   ," 1,100.00 ", 70.00 , 700.00 , 400.00 ,36%
Admin,DR 023318,31/01/2022,BIOGESIC 500MG, 120.00 , 4.00 , 480.00 , -   , 480.00 , 3.50 , 420.00 , 60.00 ,13%
Admin,DR 023318,31/01/2022,CIXTOR-Z 500mg, 2.00 , 330.00 , 660.00 , -   , 660.00 , 210.00 , 420.00 , 240.00 ,36%
Admin,DR 023319,31/01/2022,CIXTOR-Z 500mg, 2.00 , 330.00 , 660.00 , -   , 660.00 , 210.00 , 420.00 , 240.00 ,36%
Admin,DR 023319,31/01/2022,PARA500, 2.00 , 150.00 , 300.00 , -   , 300.00 , 70.00 , 140.00 , 160.00 ,53%
Admin,DR 023319,31/01/2022,IVERMECTIN15MG DR ZENS, 2.00 ," 3,200.00 "," 6,400.00 ", -   ," 6,400.00 "," 2,430.00 "," 4,860.00 "," 1,540.00 ",24%
Admin,DR 023321,31/01/2022,CIXTOR-Z 500mg, 2.00 , 310.00 , 620.00 , -   , 620.00 , 210.00 , 420.00 , 200.00 ,32%
Admin,DR 023320,31/01/2022,ENOCEE 500mg, 80.00 , 95.00 ," 7,600.00 ", -   ," 7,600.00 ", 55.44 ," 4,435.20 "," 3,164.80 ",42%
