MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DEC  2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 023305,10/11/2021,INHIBITA 40MG, 1.00 , 180.00 , 180.00 , -   , 180.00 , 90.00 , 90.00 , 90.00 ,50%
Admin,DR 023175,08/11/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 15.00 , 655.00 ," 9,825.00 ", -   ," 9,825.00 ", 400.00 ," 6,000.00 "," 3,825.00 ",39%
Admin,DR 023174,08/11/2021,HYCLENS WOUND SPRAY (60ML), 72.00 , 229.32 ," 16,511.04 ", -   ," 16,511.04 ", 114.66 ," 8,255.52 "," 8,255.52 ",50%
Admin,DR 023176,08/11/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023176,08/11/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023176,08/11/2021,DOPAMET 250MG TAB, 7.00 , 607.14 ," 4,250.00 ", -   ," 4,250.00 ", 195.00 ," 1,365.00 "," 2,885.00 ",68%
Admin,DR 023176,08/11/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023176,08/11/2021,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023176,08/11/2021,BENERVA PLUS TAB, 3.00 ," 1,708.00 "," 5,124.00 "," 1,537.20 "," 3,586.80 ", 550.00 ," 1,650.00 "," 1,936.80 ",38%
Admin,DR 023303,31/10/2021,IVERMECTIN15MG DR ZENS, 5.00 ," 3,000.00 "," 15,000.00 ", -   ," 15,000.00 "," 2,700.00 "," 13,500.00 "," 1,500.00 ",10%
Admin,DR 023172,31/10/2021,XYNETRIX CHEWABLE TABLET, 1.00 , 950.00 , 950.00 , -   , 950.00 , 450.00 , 450.00 , 500.00 ,53%
Admin,DR 023168,31/10/2021,FORMET 500MG, 5.00 , 155.00 , 775.00 , -   , 775.00 , 76.00 , 380.00 , 395.00 ,51%
Admin,DR 023168,31/10/2021,CINNABLOC 25MG, 2.00 , 160.00 , 320.00 , -   , 320.00 , 133.00 , 266.00 , 54.00 ,17%
Admin,DR 023168,31/10/2021,ALLECUR 10MG, 10.00 , 42.00 , 420.00 , -   , 420.00 , 28.00 , 280.00 , 140.00 ,33%
Admin,DR 023168,31/10/2021,ATORSAPH - 10MG, 3.00 , 150.00 , 450.00 , -   , 450.00 , 25.00 , 75.00 , 375.00 ,83%
Admin,DR 023173,31/10/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023173,31/10/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023173,31/10/2021,DOPAMET 250MG TAB, 7.00 , 607.14 ," 4,250.00 ", -   ," 4,250.00 ", 195.00 ," 1,365.00 "," 2,885.00 ",68%
Admin,DR 023173,31/10/2021,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023173,31/10/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023173,31/10/2021,BENERVA PLUS TAB, 3.00 ," 1,708.00 "," 5,124.00 "," 1,537.20 "," 3,586.80 ", 550.00 ," 1,650.00 "," 1,936.80 ",38%
Admin,DR 023173,31/10/2021,CEPROTRON 500MG, 3.00 ," 1,750.00 "," 5,250.00 "," 1,575.00 "," 3,675.00 ", 550.00 ," 1,650.00 "," 2,025.00 ",39%
Admin,DR 023169,31/10/2021,CIXTOR-Z 500mg, 7.00 , 450.00 ," 3,150.00 ", -   ," 3,150.00 ", 210.00 ," 1,470.00 "," 1,680.00 ",53%
Admin,DR 023169,31/10/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023169,31/10/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023169,31/10/2021,FOLACID 5MG, 7.00 , 464.29 ," 3,250.00 ", -   ," 3,250.00 ", 196.88 ," 1,378.16 "," 1,871.84 ",58%
Admin,DR 023169,31/10/2021,HEMOSTAP 500mg, 3.00 ," 2,100.00 "," 6,300.00 "," 1,890.00 "," 4,410.00 ", 420.00 ," 1,260.00 "," 3,150.00 ",50%
Admin,DR 023170,25/10/2021,ENCLOXIL 500MG, 7.00 ," 1,071.43 "," 7,500.00 ", -   ," 7,500.00 ", 780.00 ," 5,460.00 "," 2,040.00 ",27%
