territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Mindoro,2020-03,2019-03,290.0,12880.0,15700.0,,,,,,,False
Quezon,2020-03,2019-03,283.0,257330.5,161127.56,342.0,0.0,257330.5,-59.0,-0.172515,,False
Batangas,2020-04,2019-04,149.0,104840.0,72889.17,637.46,0.0,104840.0,-488.46,-0.76626,,False
Camarines Sur,2020-04,2019-04,10.0,11000.0,4850.0,360.0,0.0,11000.0,-350.0,-0.972222,,False
Cavite,2020-04,2019-04,232.0,170669.92,114753.93,725.0,0.0,170669.92,-493.0,-0.68,,False
Quezon,2020-04,2019-04,110.0,114300.0,75929.49,745.2,0.0,114300.0,-635.2,-0.852389,,False
Batangas,2020-05,2019-05,4.0,7620.0,5269.87,259.0,0.0,7620.0,-255.0,-0.984556,,False
Camarines Norte,2020-05,2019-05,251.8,277390.0,177561.72,332.7,0.0,277390.0,-80.9,-0.243162,,False
Cavite,2020-05,2019-05,173.0,63778.4,42162.43,601.0,0.0,63778.4,-428.0,-0.712146,,False
Quezon,2020-05,2019-05,56.0,48922.5,34460.0,792.0,0.0,48922.5,-736.0,-0.929293,,False
Batangas,2020-06,2019-06,141.0,107623.0,72099.67,1355.0,0.0,107623.0,-1214.0,-0.895941,,False
Camarines Norte,2020-06,2019-06,65.16,-26398.5,19879.76,198.8,0.0,-26398.5,-133.64,-0.672233,,False
Cavite,2020-06,2019-06,340.0,141304.18,106137.81,577.1,0.0,141304.18,-237.1,-0.410847,,False
Laguna,2020-06,2019-06,56.1,29510.0,21990.68,1298.6,0.0,29510.0,-1242.5,-0.9568,,False
Marinduque,2020-06,2019-06,167.0,88568.38,77045.35,266.0,0.0,88568.38,-99.0,-0.37218,,False
Quezon,2020-06,2019-06,456.0,321805.5,224081.11,395.0,0.0,321805.5,61.0,0.15443,,False
Albay,2020-07,2019-07,799.0,411080.0,260883.0,20.0,0.0,411080.0,779.0,38.95,,False
Batangas,2020-07,2019-07,228.0,212762.2,144962.74,585.92,0.0,212762.2,-357.92,-0.610868,,False
Camarines Norte,2020-07,2019-07,151.46,182069.4,114729.78,303.7,0.0,182069.4,-152.24,-0.501284,,False
Camarines Sur,2020-07,2019-07,51.0,53390.0,25788.92,214.0,0.0,53390.0,-163.0,-0.761682,,False
Cavite,2020-07,2019-07,581.33,248901.59,185133.5,642.0,0.0,248901.59,-60.67,-0.094502,,False
Marinduque,2020-07,2019-07,368.0,177225.75,108299.66,75.0,0.0,177225.75,293.0,3.906667,,False
Quezon,2020-07,2019-07,351.0,246966.93,154053.3,773.0,0.0,246966.93,-422.0,-0.545925,,False
Albay,2020-08,2019-08,164.0,116276.0,74554.4,74.0,0.0,116276.0,90.0,1.216216,,False
Batangas,2020-08,2019-08,182.0,144930.0,100156.35,1142.33,0.0,144930.0,-960.33,-0.840677,,False
Camarines Sur,2020-08,2019-08,159.0,80168.0,50769.89,278.0,0.0,80168.0,-119.0,-0.428058,,False
Cavite,2020-08,2019-08,474.0,202795.0,152343.83,820.0,0.0,202795.0,-346.0,-0.421951,,False
Laguna,2020-08,2019-08,23.0,29160.0,19464.33,686.0,0.0,29160.0,-663.0,-0.966472,,False
Marinduque,2020-08,2019-08,156.0,110298.75,74104.92,128.0,0.0,110298.75,28.0,0.21875,,False
Mindoro,2020-08,2019-08,74.0,9625.0,4997.5,,,,,,,False
Quezon,2020-08,2019-08,46.0,46302.0,30732.9,519.43,0.0,46302.0,-473.43,-0.911441,,False
Batangas,2020-09,2019-09,83.0,60410.0,43921.28,875.0,0.0,60410.0,-792.0,-0.905143,,False
Cavite,2020-09,2019-09,479.0,158407.23,139174.25,518.0,0.0,158407.23,-39.0,-0.07529,,False
Marinduque,2020-09,2019-09,122.0,70862.75,40045.93,135.0,0.0,70862.75,-13.0,-0.096296,,False
Quezon,2020-09,2019-09,186.0,111093.5,63508.0,629.0,0.0,111093.5,-443.0,-0.704293,,False
Albay,2020-10,2019-10,1.0,1950.0,1384.87,,,,,,,False
Batangas,2020-10,2019-10,55.0,49146.0,32597.67,,,,,,,False
Camarines Norte,2020-10,2019-10,457.6,396690.0,239794.97,,,,,,,False
Camarines Sur,2020-10,2019-10,287.64,156428.0,103666.89,,,,,,,False
Cavite,2020-10,2019-10,178.0,67821.35,50718.68,,,,,,,False
Laguna,2020-10,2019-10,1445.67,555004.1,430554.38,,,,,,,False
Quezon,2020-10,2019-10,193.0,116050.5,64246.11,,,,,,,False
Batangas,2020-11,2019-11,234.0,224300.0,156865.54,,,,,,,False
Camarines Norte,2020-11,2019-11,85.8,91810.4,53863.46,,,,,,,False
Cavite,2020-11,2019-11,220.0,128124.18,91978.09,,,,,,,False
Laguna,2020-11,2019-11,264.2,95867.0,60962.76,,,,,,,False
Marinduque,2020-11,2019-11,91.0,75082.0,47454.05,,,,,,,False
Mindoro,2020-11,2019-11,214.0,9785.0,4633.82,,,,,,,False
Quezon,2020-11,2019-11,765.0,346176.46,210890.19,,,,,,,False
Batangas,2020-12,2019-12,49.0,39230.0,26184.88,,,,,,,False
Camarines Sur,2020-12,2019-12,63.0,30807.0,23746.75,,,,,,,False
Cavite,2020-12,2019-12,167.33,222545.93,154446.7,,,,,,,False
Quezon,2020-12,2019-12,289.0,209986.15,136328.53,,,,,,,False
Batangas,2021-01,2020-01,146.46,153369.01,132688.56,120.0,55416.0,97953.01,26.46,0.2205,1.767594,False
Camarines Norte,2021-01,2020-01,186.0,197690.0,126941.21,197.8,183725.0,13965.0,-11.8,-0.059656,0.07601,False
Camarines Sur,2021-01,2020-01,149.0,92058.0,68355.83,141.0,54891.0,37167.0,8.0,0.056738,0.677106,False
Cavite,2021-01,2020-01,77.0,63075.0,52966.13,298.0,171446.59,-108371.59,-221.0,-0.741611,-0.632101,False
Laguna,2021-01,2020-01,74.0,42620.0,26271.98,102.0,25910.0,16710.0,-28.0,-0.27451,0.644925,False
Marinduque,2021-01,2020-01,427.0,126852.65,69413.49,610.0,169020.0,-42167.35,-183.0,-0.3,-0.249481,False
Quezon,2021-01,2020-01,318.0,261698.5,176139.57,512.0,271519.79,-9821.29,-194.0,-0.378906,-0.036172,False
Albay,2021-02,2020-02,18.0,5710.2,3743.7,,,,,,,False
Batangas,2021-02,2020-02,53.0,116895.0,83806.77,170.0,184464.0,-67569.0,-117.0,-0.688235,-0.366299,False
Camarines Norte,2021-02,2020-02,104.8,108220.0,72446.7,322.2,260110.0,-151890.0,-217.4,-0.674736,-0.583945,False
Camarines Sur,2021-02,2020-02,213.0,38962.0,20361.48,452.41,191338.99,-152376.99,-239.41,-0.529188,-0.796372,False
Cavite,2021-02,2020-02,265.0,163845.4,121981.21,259.0,139989.99,23855.41,6.0,0.023166,0.170408,False
Laguna,2021-02,2020-02,76.0,36024.0,21354.0,6.0,2096.0,33928.0,70.0,11.666667,16.187023,False
Quezon,2021-02,2020-02,415.0,275866.94,179387.3,612.63,323293.5,-47426.56,-197.63,-0.322593,-0.146698,False
Batangas,2021-03,2020-03,133.0,90580.0,65919.75,173.0,179573.0,-88993.0,-40.0,-0.231214,-0.495581,False
Camarines Norte,2021-03,2020-03,81.4,58075.0,35572.0,73.0,-13267.0,71342.0,8.4,0.115068,,False
Camarines Sur,2021-03,2020-03,86.0,36741.0,24383.2,801.38,-56480.35,93221.35,-715.38,-0.892685,,False
Cavite,2021-03,2020-03,32.0,8079.75,4172.43,264.0,178990.74,-170910.99,-232.0,-0.878788,-0.954859,False
Laguna,2021-03,2020-03,39.0,21168.0,14078.0,24.29,25468.0,-4300.0,14.71,0.605599,-0.168839,False
Marinduque,2021-03,2020-03,90.0,77333.0,45709.1,129.0,60949.6,16383.4,-39.0,-0.302326,0.268802,False
Quezon,2021-03,2020-03,395.1,269866.75,192459.03,283.0,257330.5,12536.25,112.1,0.396113,0.048717,False
Albay,2021-04,2020-04,12.0,1056.0,788.4,,,,,,,False
Batangas,2021-04,2020-04,53.0,45700.0,32881.54,149.0,104840.0,-59140.0,-96.0,-0.644295,-0.564098,False
Camarines Norte,2021-04,2020-04,231.4,141116.0,91599.51,,,,,,,False
Camarines Sur,2021-04,2020-04,46.0,16466.0,10050.4,10.0,11000.0,5466.0,36.0,3.6,0.496909,False
Cavite,2021-04,2020-04,137.4,128599.74,98244.13,232.0,170669.92,-42070.18,-94.6,-0.407759,-0.2465,False
Quezon,2021-04,2020-04,245.0,147997.5,102869.33,110.0,114300.0,33697.5,135.0,1.227273,0.294816,False
Batangas,2021-05,2020-05,56.0,82410.0,57366.23,4.0,7620.0,74790.0,52.0,13.0,9.814961,False
Camarines Norte,2021-05,2020-05,206.4,180315.0,118017.4,251.8,277390.0,-97075.0,-45.4,-0.180302,-0.349959,False
Camarines Sur,2021-05,2020-05,52.0,19480.0,11161.58,,,,,,,False
Cavite,2021-05,2020-05,59.0,54435.41,45294.67,173.0,63778.4,-9342.99,-114.0,-0.65896,-0.146491,False
Marinduque,2021-05,2020-05,174.0,108316.0,65115.38,,,,,,,False
Quezon,2021-05,2020-05,621.0,491088.95,351896.07,56.0,48922.5,442166.45,565.0,10.089286,9.0381,False
Batangas,2021-06,2020-06,86.98,81572.89,61553.81,141.0,107623.0,-26050.11,-54.02,-0.383121,-0.24205,False
Camarines Norte,2021-06,2020-06,60.3,24530.0,13737.5,65.16,-26398.5,50928.5,-4.86,-0.074586,,False
Camarines Sur,2021-06,2020-06,50.0,37047.0,23414.3,,,,,,,False
Cavite,2021-06,2020-06,131.0,49597.13,33260.9,340.0,141304.18,-91707.05,-209.0,-0.614706,-0.649005,False
Marinduque,2021-06,2020-06,22.0,22385.0,11535.34,167.0,88568.38,-66183.38,-145.0,-0.868263,-0.747257,False
Quezon,2021-06,2020-06,189.0,123769.5,78692.42,456.0,321805.5,-198036.0,-267.0,-0.585526,-0.61539,False
Batangas,2021-07,2020-07,163.0,162239.0,117168.38,228.0,212762.2,-50523.2,-65.0,-0.285088,-0.237463,False
Camarines Norte,2021-07,2020-07,171.4,136824.32,88074.32,151.46,182069.4,-45245.08,19.94,0.131652,-0.248505,False
Camarines Sur,2021-07,2020-07,21.61,18247.5,12870.08,51.0,53390.0,-35142.5,-29.39,-0.576275,-0.658223,False
Cavite,2021-07,2020-07,120.0,127708.84,91466.44,581.33,248901.59,-121192.75,-461.33,-0.793577,-0.48691,False
Laguna,2021-07,2020-07,84.0,37160.0,21130.0,,,,,,,False
Marinduque,2021-07,2020-07,125.0,82926.0,54390.64,368.0,177225.75,-94299.75,-243.0,-0.660326,-0.532088,False
Quezon,2021-07,2020-07,466.6,250994.96,177655.4,351.0,246966.93,4028.03,115.6,0.329345,0.01631,False
Batangas,2021-08,2020-08,88.0,76869.0,54863.5,182.0,144930.0,-68061.0,-94.0,-0.516484,-0.469613,False
Camarines Norte,2021-08,2020-08,272.6,207895.0,140212.0,,,,,,,False
Camarines Sur,2021-08,2020-08,99.0,29782.0,20869.3,159.0,80168.0,-50386.0,-60.0,-0.377358,-0.628505,False
Cavite,2021-08,2020-08,214.0,91451.68,65730.28,474.0,202795.0,-111343.32,-260.0,-0.548523,-0.549044,False
Marinduque,2021-08,2020-08,1046.0,339555.0,231082.0,156.0,110298.75,229256.25,890.0,5.705128,2.078503,False
Quezon,2021-08,2020-08,349.0,203745.5,136906.55,46.0,46302.0,157443.5,303.0,6.586957,3.400361,False
Albay,2021-09,2020-09,1067.0,489078.37,328020.87,,,,,,,False
Batangas,2021-09,2020-09,145.0,191574.0,136486.97,83.0,60410.0,131164.0,62.0,0.746988,2.17123,False
Camarines Norte,2021-09,2020-09,164.2,110150.0,71289.22,,,,,,,False
Camarines Sur,2021-09,2020-09,19.0,22770.0,18923.65,,,,,,,False
Cavite,2021-09,2020-09,183.0,83981.07,57711.56,479.0,158407.23,-74426.16,-296.0,-0.617954,-0.469841,False
Quezon,2021-09,2020-09,434.0,334181.5,245777.45,186.0,111093.5,223088.0,248.0,1.333333,2.00811,False
Batangas,2021-10,2020-10,97.0,158044.0,115267.4,55.0,49146.0,108898.0,42.0,0.763636,2.215806,False
Camarines Norte,2021-10,2020-10,32.2,40400.0,27500.0,457.6,396690.0,-356290.0,-425.4,-0.929633,-0.898157,False
Camarines Sur,2021-10,2020-10,333.95,144729.0,94333.7,287.64,156428.0,-11699.0,46.31,0.161,-0.074788,False
Cavite,2021-10,2020-10,324.0,226604.07,171076.64,178.0,67821.35,158782.72,146.0,0.820225,2.341191,False
Laguna,2021-10,2020-10,4061.0,1339778.0,497056.1,1445.67,555004.1,784773.9,2615.33,1.809078,1.413997,False
Marinduque,2021-10,2020-10,234.0,310900.0,114018.72,,,,,,,False
Quezon,2021-10,2020-10,354.0,272218.7,186752.14,193.0,116050.5,156168.2,161.0,0.834197,1.345692,False
Batangas,2021-11,2020-11,66.0,72775.0,51047.5,234.0,224300.0,-151525.0,-168.0,-0.717949,-0.675546,False
Camarines Norte,2021-11,2020-11,197.4,130269.0,86637.95,85.8,91810.4,38458.6,111.6,1.300699,0.418892,False
Camarines Sur,2021-11,2020-11,82.0,45938.0,30378.7,,,,,,,False
Cavite,2021-11,2020-11,300.0,133349.54,96451.82,220.0,128124.18,5225.36,80.0,0.363636,0.040784,False
Marinduque,2021-11,2020-11,94.0,78180.0,48385.78,91.0,75082.0,3098.0,3.0,0.032967,0.041262,False
Quezon,2021-11,2020-11,520.0,384420.96,266911.26,765.0,346176.46,38244.5,-245.0,-0.320261,0.110477,False
Batangas,2021-12,2020-12,51.0,93635.5,67488.99,49.0,39230.0,54405.5,2.0,0.040816,1.386834,False
Camarines Norte,2021-12,2020-12,193.6,115546.0,61353.5,,,,,,,False
Camarines Sur,2021-12,2020-12,136.0,86646.0,57798.4,63.0,30807.0,55839.0,73.0,1.15873,1.812543,False
Cavite,2021-12,2020-12,100.0,43983.46,35067.11,167.33,222545.93,-178562.47,-67.33,-0.402379,-0.802362,False
Laguna,2021-12,2020-12,27.0,7690.0,3330.0,,,,,,,False
Quezon,2021-12,2020-12,405.0,216785.2,150245.22,289.0,209986.15,6799.05,116.0,0.401384,0.032379,False
Batangas,2022-01,2021-01,73.0,101612.0,70840.58,146.46,153369.01,-51757.01,-73.46,-0.50157,-0.337467,False
Camarines Norte,2022-01,2021-01,132.0,81690.0,48480.0,186.0,197690.0,-116000.0,-54.0,-0.290323,-0.586777,False
Cavite,2022-01,2021-01,65.0,36597.49,26467.37,77.0,63075.0,-26477.51,-12.0,-0.155844,-0.419778,False
Marinduque,2022-01,2021-01,196.0,83155.0,47776.8,427.0,126852.65,-43697.65,-231.0,-0.540984,-0.344476,False
Quezon,2022-01,2021-01,173.0,106226.5,76743.73,318.0,261698.5,-155472.0,-145.0,-0.455975,-0.594088,False
Batangas,2022-02,2021-02,236.0,194227.0,129716.56,53.0,116895.0,77332.0,183.0,3.45283,0.661551,False
Camarines Norte,2022-02,2021-02,291.0,198074.0,107835.5,104.8,108220.0,89854.0,186.2,1.776718,0.83029,False
Camarines Sur,2022-02,2021-02,137.0,59020.0,42684.96,213.0,38962.0,20058.0,-76.0,-0.356808,0.514809,False
Cavite,2022-02,2021-02,126.0,31185.87,23937.25,265.0,163845.4,-132659.53,-139.0,-0.524528,-0.809663,False
Marinduque,2022-02,2021-02,2040.0,2610866.25,1436095.75,,,,,,,False
Quezon,2022-02,2021-02,464.0,341899.0,233272.91,415.0,275866.94,66032.06,49.0,0.118072,0.239362,False
Batangas,2022-03,2021-03,154.0,165956.0,115526.24,133.0,90580.0,75376.0,21.0,0.157895,0.832148,False
Camarines Norte,2022-03,2021-03,238.0,162336.0,85626.0,81.4,58075.0,104261.0,156.6,1.923833,1.795282,False
Camarines Sur,2022-03,2021-03,517.3,232512.0,167412.5,86.0,36741.0,195771.0,431.3,5.015116,5.328407,False
Cavite,2022-03,2021-03,156.0,67185.0,44677.25,32.0,8079.75,59105.25,124.0,3.875,7.315233,False
Marinduque,2022-03,2021-03,86.0,376608.8,191876.8,90.0,77333.0,299275.8,-4.0,-0.044444,3.869962,False
Quezon,2022-03,2021-03,494.0,335825.5,221832.95,395.1,269866.75,65958.75,98.9,0.250316,0.244412,False
Batangas,2022-04,2021-04,82.0,100394.0,71301.1,53.0,45700.0,54694.0,29.0,0.54717,1.196805,False
Camarines Norte,2022-04,2021-04,224.0,202645.0,122802.0,231.4,141116.0,61529.0,-7.4,-0.031979,0.436017,False
Camarines Sur,2022-04,2021-04,134.44,63822.0,43470.44,46.0,16466.0,47356.0,88.44,1.922609,2.875987,False
Cavite,2022-04,2021-04,33.0,24947.74,17923.62,137.4,128599.74,-103652.0,-104.4,-0.759825,-0.806005,False
Laguna,2022-04,2021-04,45.67,20961.4,13660.9,,,,,,,False
Marinduque,2022-04,2021-04,60.0,17500.0,14710.0,,,,,,,False
Quezon,2022-04,2021-04,385.62,227784.5,154176.03,245.0,147997.5,79787.0,140.62,0.573959,0.53911,False
Batangas,2022-05,2021-05,146.0,198264.0,138294.21,56.0,82410.0,115854.0,90.0,1.607143,1.405825,False
Camarines Norte,2022-05,2021-05,154.0,86186.0,45607.0,206.4,180315.0,-94129.0,-52.4,-0.253876,-0.522025,False
Camarines Sur,2022-05,2021-05,100.0,63530.0,40975.4,52.0,19480.0,44050.0,48.0,0.923077,2.261294,False
Cavite,2022-05,2021-05,58.0,51474.12,39379.62,59.0,54435.41,-2961.29,-1.0,-0.016949,-0.0544,False
Marinduque,2022-05,2021-05,1623.0,887989.0,604466.09,174.0,108316.0,779673.0,1449.0,8.327586,7.198133,False
Quezon,2022-05,2021-05,252.0,138204.0,87041.8,621.0,491088.95,-352884.95,-369.0,-0.594203,-0.718576,False
Batangas,2022-06,2021-06,152.0,156770.0,110227.7,86.98,81572.89,75197.11,65.02,0.747528,0.921839,False
Camarines Norte,2022-06,2021-06,198.0,79348.0,47826.0,60.3,24530.0,54818.0,137.7,2.283582,2.234733,False
Camarines Sur,2022-06,2021-06,168.0,114785.0,77565.0,50.0,37047.0,77738.0,118.0,2.36,2.098362,False
Cavite,2022-06,2021-06,162.0,112095.94,82798.88,131.0,49597.13,62498.81,31.0,0.236641,1.26013,False
Laguna,2022-06,2021-06,34.0,16912.0,11704.0,,,,,,,False
Marinduque,2022-06,2021-06,212.0,87030.0,50579.2,22.0,22385.0,64645.0,190.0,8.636364,2.887871,False
Quezon,2022-06,2021-06,619.0,379094.22,262361.21,189.0,123769.5,255324.72,430.0,2.275132,2.062905,False
Albay,2022-07,2021-07,8.0,22018.4,11009.2,,,,,,,False
Batangas,2022-07,2021-07,236.0,332752.0,237800.79,163.0,162239.0,170513.0,73.0,0.447853,1.050999,False
Camarines Norte,2022-07,2021-07,331.0,252611.0,155414.28,171.4,136824.32,115786.68,159.6,0.931155,0.846243,False
Camarines Sur,2022-07,2021-07,353.0,185712.0,116949.98,21.61,18247.5,167464.5,331.39,15.33503,9.177394,False
Cavite,2022-07,2021-07,176.0,73409.44,53482.76,120.0,127708.84,-54299.4,56.0,0.466667,-0.425181,False
Laguna,2022-07,2021-07,90.0,41340.0,25790.0,84.0,37160.0,4180.0,6.0,0.071429,0.112487,False
Marinduque,2022-07,2021-07,465.0,219166.0,118006.12,125.0,82926.0,136240.0,340.0,2.72,1.642911,False
Quezon,2022-07,2021-07,320.0,203354.0,128937.3,466.6,250994.96,-47640.96,-146.6,-0.314188,-0.189808,False
Batangas,2022-08,2021-08,365.0,389470.0,232254.18,88.0,76869.0,312601.0,277.0,3.147727,4.066672,False
Camarines Norte,2022-08,2021-08,154.0,106925.0,71185.0,272.6,207895.0,-100970.0,-118.6,-0.43507,-0.485678,False
Camarines Sur,2022-08,2021-08,61.0,48695.0,30758.3,99.0,29782.0,18913.0,-38.0,-0.383838,0.635048,False
Cavite,2022-08,2021-08,129.0,84619.7,54248.52,214.0,91451.68,-6831.98,-85.0,-0.397196,-0.074706,False
Marinduque,2022-08,2021-08,30.0,20685.0,14333.08,1046.0,339555.0,-318870.0,-1016.0,-0.971319,-0.939082,False
Quezon,2022-08,2021-08,628.0,337514.5,227292.56,349.0,203745.5,133769.0,279.0,0.799427,0.656549,False
Batangas,2022-09,2021-09,283.0,189499.76,128534.56,145.0,191574.0,-2074.24,138.0,0.951724,-0.010827,False
Camarines Norte,2022-09,2021-09,120.0,63784.0,38662.0,164.2,110150.0,-46366.0,-44.2,-0.269184,-0.420935,False
Camarines Sur,2022-09,2021-09,164.0,40194.0,24754.28,19.0,22770.0,17424.0,145.0,7.631579,0.765217,False
Cavite,2022-09,2021-09,104.0,43263.66,29900.62,183.0,83981.07,-40717.41,-79.0,-0.431694,-0.48484,False
Marinduque,2022-09,2021-09,87.0,91180.0,52459.58,,,,,,,False
Quezon,2022-09,2021-09,748.0,495397.25,342428.68,434.0,334181.5,161215.75,314.0,0.723502,0.48242,False
Batangas,2022-10,2021-10,515.0,387176.0,238361.88,97.0,158044.0,229132.0,418.0,4.309278,1.449799,False
Camarines Norte,2022-10,2021-10,214.0,115700.0,67590.0,32.2,40400.0,75300.0,181.8,5.645963,1.863861,False
Camarines Sur,2022-10,2021-10,103.0,59890.0,39919.3,333.95,144729.0,-84839.0,-230.95,-0.691571,-0.586192,False
Cavite,2022-10,2021-10,213.0,126394.22,83425.19,324.0,226604.07,-100209.85,-111.0,-0.342593,-0.442224,False
Marinduque,2022-10,2021-10,1016.0,329511.0,187240.08,234.0,310900.0,18611.0,782.0,3.34188,0.059862,False
Quezon,2022-10,2021-10,409.63,211173.2,136218.05,354.0,272218.7,-61045.5,55.63,0.157147,-0.224252,False
Batangas,2022-11,2021-11,153.0,246292.0,178173.06,66.0,72775.0,173517.0,87.0,1.318182,2.384294,False
Camarines Norte,2022-11,2021-11,32.0,17900.0,8170.0,197.4,130269.0,-112369.0,-165.4,-0.837893,-0.862592,False
Cavite,2022-11,2021-11,134.0,54500.0,42797.5,300.0,133349.54,-78849.54,-166.0,-0.553333,-0.5913,False
Marinduque,2022-11,2021-11,118.0,78730.0,48090.0,94.0,78180.0,550.0,24.0,0.255319,0.007035,False
Quezon,2022-11,2021-11,417.0,264463.0,170556.65,520.0,384420.96,-119957.96,-103.0,-0.198077,-0.312048,False
Batangas,2022-12,2021-12,170.0,247648.0,173495.4,51.0,93635.5,154012.5,119.0,2.333333,1.644809,False
Camarines Norte,2022-12,2021-12,270.0,123518.0,72389.7,193.6,115546.0,7972.0,76.4,0.394628,0.068994,False
Camarines Sur,2022-12,2021-12,107.0,61435.0,43429.0,136.0,86646.0,-25211.0,-29.0,-0.213235,-0.290966,False
Cavite,2022-12,2021-12,134.0,35889.13,23412.61,100.0,43983.46,-8094.33,34.0,0.34,-0.184031,False
Marinduque,2022-12,2021-12,1941.0,825395.0,452843.16,,,,,,,False
Quezon,2022-12,2021-12,785.0,543906.0,381736.73,405.0,216785.2,327120.8,380.0,0.938272,1.508963,False
Batangas,2023-01,2022-01,222.0,149430.0,99833.3,73.0,101612.0,47818.0,149.0,2.041096,0.470594,False
Camarines Norte,2023-01,2022-01,64.0,54370.0,36150.0,132.0,81690.0,-27320.0,-68.0,-0.515152,-0.334435,False
Camarines Sur,2023-01,2022-01,122.0,64000.0,45204.8,,,,,,,False
Cavite,2023-01,2022-01,2.0,2520.0,1860.0,65.0,36597.49,-34077.49,-63.0,-0.969231,-0.931143,False
Marinduque,2023-01,2022-01,3459.0,837631.7,530888.7,196.0,83155.0,754476.7,3263.0,16.647959,9.073137,False
Quezon,2023-01,2022-01,465.0,300234.5,204297.17,173.0,106226.5,194008.0,292.0,1.687861,1.826362,False
Batangas,2023-02,2022-02,260.0,133512.6,88775.93,236.0,194227.0,-60714.4,24.0,0.101695,-0.312595,False
Camarines Norte,2023-02,2022-02,47.39,37141.0,27630.4,291.0,198074.0,-160933.0,-243.61,-0.837148,-0.812489,False
Camarines Sur,2023-02,2022-02,67.2,46611.0,39716.45,137.0,59020.0,-12409.0,-69.8,-0.509489,-0.210251,False
Cavite,2023-02,2022-02,2.0,2160.0,1500.0,126.0,31185.87,-29025.87,-124.0,-0.984127,-0.930738,False
Marinduque,2023-02,2022-02,123.0,56413.4,35073.74,2040.0,2610866.25,-2554452.85,-1917.0,-0.939706,-0.978393,False
Quezon,2023-02,2022-02,148.5,119308.5,70778.12,464.0,341899.0,-222590.5,-315.5,-0.679957,-0.651042,False
Batangas,2023-03,2022-03,534.4,220250.96,151124.9,154.0,165956.0,54294.96,380.4,2.47013,0.327165,False
Marinduque,2023-03,2022-03,123.0,99645.0,59375.0,86.0,376608.8,-276963.8,37.0,0.430233,-0.735415,False
Quezon,2023-03,2022-03,462.0,319648.0,217205.48,494.0,335825.5,-16177.5,-32.0,-0.064777,-0.048172,False
Batangas,2023-04,2022-04,213.1,187383.05,123410.21,82.0,100394.0,86989.05,131.1,1.59878,0.866477,False
Camarines Sur,2023-04,2022-04,5.0,5500.0,2425.0,134.44,63822.0,-58322.0,-129.44,-0.962809,-0.913823,False
Cavite,2023-04,2022-04,54.0,63610.0,48717.04,33.0,24947.74,38662.26,21.0,0.636364,1.54973,False
Laguna,2023-04,2022-04,2.0,9600.0,5856.0,45.67,20961.4,-11361.4,-43.67,-0.956208,-0.542015,False
Marinduque,2023-04,2022-04,111.0,49335.4,27926.56,60.0,17500.0,31835.4,51.0,0.85,1.819166,False
Quezon,2023-04,2022-04,535.3,192784.5,114359.4,385.62,227784.5,-35000.0,149.68,0.388154,-0.153654,False
Batangas,2023-05,2022-05,287.0,304103.0,208267.93,146.0,198264.0,105839.0,141.0,0.965753,0.533829,False
Marinduque,2023-05,2022-05,24.0,3060.0,1752.0,1623.0,887989.0,-884929.0,-1599.0,-0.985213,-0.996554,False
Quezon,2023-05,2022-05,921.0,734789.3,496548.41,252.0,138204.0,596585.3,669.0,2.654762,4.316701,False
Batangas,2023-06,2022-06,3367.4,317956.12,762584.43,152.0,156770.0,161186.12,3215.4,21.153947,1.028169,False
Camarines Norte,2023-06,2022-06,954.49,0.0,436898.0,198.0,79348.0,-79348.0,756.49,3.820657,-1.0,False
Camarines Sur,2023-06,2022-06,222.8,0.0,41095.49,168.0,114785.0,-114785.0,54.8,0.32619,-1.0,False
Cavite,2023-06,2022-06,910.3,0.0,271107.05,162.0,112095.94,-112095.94,748.3,4.619136,-1.0,False
Laguna,2023-06,2022-06,33.75,0.0,92438.0,34.0,16912.0,-16912.0,-0.25,-0.007353,-1.0,False
Marinduque,2023-06,2022-06,86.0,55970.0,28568.08,212.0,87030.0,-31060.0,-126.0,-0.59434,-0.356888,False
Quezon,2023-06,2022-06,6357.53,479987.66,1980920.84,619.0,379094.22,100893.44,5738.53,9.270646,0.266143,False
Batangas,2023-07,2022-07,606.0,519679.2,352617.51,236.0,332752.0,186927.2,370.0,1.567797,0.561761,False
Camarines Norte,2023-07,2022-07,42.3,82787.5,51677.5,331.0,252611.0,-169823.5,-288.7,-0.872205,-0.672273,False
Laguna,2023-07,2022-07,2.0,9600.0,5856.0,90.0,41340.0,-31740.0,-88.0,-0.977778,-0.767779,False
Marinduque,2023-07,2022-07,75.0,26100.0,15684.48,465.0,219166.0,-193066.0,-390.0,-0.83871,-0.880912,False
Quezon,2023-07,2022-07,565.0,329904.7,214761.91,320.0,203354.0,126550.7,245.0,0.765625,0.622317,False
Batangas,2023-08,2022-08,388.0,255690.0,170452.4,365.0,389470.0,-133780.0,23.0,0.063014,-0.343492,False
Cavite,2023-08,2022-08,12.0,4660.0,2853.4,129.0,84619.7,-79959.7,-117.0,-0.906977,-0.94493,False
Quezon,2023-08,2022-08,571.0,368415.1,232296.72,628.0,337514.5,30900.6,-57.0,-0.090764,0.091553,False
Batangas,2023-09,2022-09,234.0,247706.0,118123.68,283.0,189499.76,58206.24,-49.0,-0.173145,0.307157,False
