territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Quezon,2025-06,2024-06,585.5,1965817.1,765728.67,499.0,893053.25,1072763.85,86.5,0.173347,1.201232,True
Batangas,2025-07,2024-07,255.0,222415.5,153651.16,240.0,265146.0,-42730.5,15.0,0.0625,-0.161158,True
Marinduque,2025-07,2024-07,176.0,1061152.0,367106.48,36.0,16770.0,1044382.0,140.0,3.888889,62.276804,True
Quezon,2025-07,2024-07,570.0,14671395.1,9616409.8,345.0,1356968.0,13314427.1,225.0,0.652174,9.811895,True
Batangas,2025-08,2024-08,303.0,326556.0,228386.38,306.0,245097.0,81459.0,-3.0,-0.009804,0.332354,True
Marinduque,2025-08,2024-08,34.0,49154.0,28149.0,50.0,32350.0,16804.0,-16.0,-0.32,0.519444,True
Quezon,2025-08,2024-08,419.0,1681777.5,681325.29,331.0,1277297.76,404479.74,88.0,0.265861,0.316668,True
Batangas,2025-09,2024-09,292.0,293362.0,209235.59,262.0,259151.75,34210.25,30.0,0.114504,0.132009,True
Quezon,2025-09,2024-09,710.5,416549.0,233057.16,324.0,1191009.41,-774460.41,386.5,1.192901,-0.650255,True
Batangas,2025-10,2024-10,312.0,272557.9,186537.98,372.0,152810.4,119747.5,-60.0,-0.16129,0.783634,True
Marinduque,2025-10,2024-10,50.0,298905.0,116166.76,,,,,,,True
Quezon,2025-10,2024-10,749.0,814504.1,158836.49,359.5,823357.0,-8852.9,389.5,1.083449,-0.010752,True
Batangas,2025-11,2024-11,285.0,214885.5,146470.74,408.0,303455.25,-88569.75,-123.0,-0.301471,-0.291871,True
Quezon,2025-11,2024-11,414.0,15172270.75,6488431.7,643.0,1389921.0,13782349.75,-229.0,-0.356143,9.915923,True
Batangas,2025-12,2024-12,237.0,178760.5,122068.25,238.0,235030.0,-56269.5,-1.0,-0.004202,-0.239414,True
Quezon,2025-12,2024-12,386.0,6229574.55,2178500.09,487.0,12804166.85,-6574592.3,-101.0,-0.207392,-0.513473,True
