canonical_sku,region,period,quantity,source_rows,observation_status,in_evaluation_window
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-05,30.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-06,40.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-07,93.0,18,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-08,39.0,10,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-09,49.0,9,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-10,53.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-11,30.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2022-12,24.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-01,31.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-02,18.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-03,16.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-04,29.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-05,21.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-06,65.0,12,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-07,43.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-08,26.0,10,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-09,42.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-10,26.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-11,16.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2023-12,20.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-01,32.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-02,25.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-03,9.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-04,26.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-05,42.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-06,21.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-07,23.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-08,17.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-09,29.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-10,13.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-11,20.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2024-12,26.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-01,16.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-02,33.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-03,20.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-04,16.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-05,10.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-06,1.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-07,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-08,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-09,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2025-10,0.3707,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-01,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-02,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-03,186.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-04,7.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-05,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-06,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-07,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-08,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-09,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2017-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-01,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-02,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-03,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-04,4.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-05,6.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-06,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-07,4.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-08,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-09,7.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-10,9.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-11,13.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2018-12,5.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-01,12.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-02,7.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-03,1.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-04,7.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-05,6.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-06,11.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-07,10.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-08,18.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-09,5.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2019-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-01,13.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-02,13.33,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-03,27.33,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-04,10.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-05,3.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-06,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-07,39.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-08,8.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-09,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-10,31.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-11,2.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2020-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-01,11.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-02,8.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-03,7.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-04,7.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-05,5.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-06,13.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-07,5.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-08,3.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-09,2.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-10,36.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-11,12.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2021-12,15.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-01,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-02,3.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-03,17.0,4,observed,False
