product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
T SHIRT WITH PRINT,1683.7099,8856150.29,4128253.71,102,25,91,1,0.466145,0.017907,0.017907,A,ABC/Pareto using Net CP (net_cost) revenue,draft
MONOWEL 1G IV,12600.2024,8194477.43,2375819.02,13,6,2,2,0.289929,0.016569,0.034476,A,ABC/Pareto using Net CP (net_cost) revenue,draft
DR#0157 SI 0181,1.0,7933995.0,7933995.0,1,1,0,3,1.0,0.016042,0.050518,A,ABC/Pareto using Net CP (net_cost) revenue,draft
CORRECTION TAPE JOY,270.8336,7027470.22,3854837.24,61,23,53,4,0.548538,0.014209,0.064728,A,ABC/Pareto using Net CP (net_cost) revenue,draft
EVAPROST 250MCG/ML,1754.7328,5982211.64,7288252.22,214,62,3,5,1.218321,0.012096,0.076824,A,ABC/Pareto using Net CP (net_cost) revenue,draft
CLEAR BOOK LEGAL/LONG,49.675,5547700.54,2983401.45,69,25,62,6,0.537773,0.011217,0.088041,A,ABC/Pareto using Net CP (net_cost) revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,488.9911,5372062.5,2998294.59,77,22,67,7,0.558127,0.010862,0.098903,A,ABC/Pareto using Net CP (net_cost) revenue,draft
BUPIRIGHT AMPULE,7550.0,4711236.74,3458391.74,178,33,0,8,0.734073,0.009526,0.108429,A,ABC/Pareto using Net CP (net_cost) revenue,draft
HAIXONE WITH DILUENT 1G,53617.2359,4706006.15,2112017.57,40,11,15,9,0.448792,0.009515,0.117945,A,ABC/Pareto using Net CP (net_cost) revenue,draft
SITIXON 1G,18481.0,4651618.78,4442122.18,88,42,0,10,0.954963,0.009405,0.12735,A,ABC/Pareto using Net CP (net_cost) revenue,draft
JUBI -R 100MG,750.0,4592500.0,2217500.0,5,4,0,11,0.482852,0.009286,0.136636,A,ABC/Pareto using Net CP (net_cost) revenue,draft
HARD COPY SUB#20 A4,282.7772,4351584.42,2491487.58,63,22,54,12,0.572547,0.008799,0.145435,A,ABC/Pareto using Net CP (net_cost) revenue,draft
RECORD BOOK 500PAGES (VALIANT),44.7953,4018088.29,2124235.82,50,19,44,13,0.528668,0.008124,0.153559,A,ABC/Pareto using Net CP (net_cost) revenue,draft
EUROXONE 1G,20373.0,3996086.95,5521958.05,239,58,0,14,1.381841,0.00808,0.161639,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ANTITET 1500IU/0.7ML,1448.9014,3968272.54,2122448.83,22,6,8,15,0.534855,0.008024,0.169663,A,ABC/Pareto using Net CP (net_cost) revenue,draft
BATHROOM TISSUE 2PLY 12'S (FEMME),116.1536,3813904.95,1897531.0,60,25,39,16,0.49753,0.007712,0.177375,A,ABC/Pareto using Net CP (net_cost) revenue,draft
STAPLE WIRE #35,235.9435,3693077.1,2061275.2,39,18,33,17,0.558146,0.007467,0.184842,A,ABC/Pareto using Net CP (net_cost) revenue,draft
MERAZOL 40MG,1421.33,3394924.25,3750021.75,116,41,0,18,1.104597,0.006864,0.191707,A,ABC/Pareto using Net CP (net_cost) revenue,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7934.0962,3387166.13,1906241.49,55,28,5,19,0.562784,0.006849,0.198555,A,ABC/Pareto using Net CP (net_cost) revenue,draft
BOND PAPER LONG (HARDCOPY),40.7195,3350772.91,1726261.05,51,18,47,20,0.515183,0.006775,0.205331,A,ABC/Pareto using Net CP (net_cost) revenue,draft
INK EPSON #003 YELLOW,72.336,3191750.98,1821788.06,40,19,35,21,0.57078,0.006454,0.211784,A,ABC/Pareto using Net CP (net_cost) revenue,draft
PROFUREX 750MG,31760.0,3117654.4,5740944.54,30,24,0,22,1.841431,0.006304,0.218088,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ENOXAGET-40 40MG/0.4ML,2145.9482,3100203.47,1415286.29,17,9,7,23,0.456514,0.006269,0.224357,A,ABC/Pareto using Net CP (net_cost) revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,11.9449,3096968.58,1463381.07,46,18,43,24,0.47252,0.006262,0.230619,A,ABC/Pareto using Net CP (net_cost) revenue,draft
MAXIFER 20MG/ML,2906.0,3091980.0,4548482.33,113,52,0,25,1.471058,0.006252,0.236871,A,ABC/Pareto using Net CP (net_cost) revenue,draft
NUTRIBOARD WITHOUT BAG,106.7204,3070600.3,1516495.7,31,7,30,26,0.493876,0.006209,0.243079,A,ABC/Pareto using Net CP (net_cost) revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2975310.0,970810.0,5,5,0,27,0.326289,0.006016,0.249095,A,ABC/Pareto using Net CP (net_cost) revenue,draft
TRIVASC 35MG MR,5128.9672,2922281.29,2095204.6,361,69,2,28,0.716976,0.005909,0.255004,A,ABC/Pareto using Net CP (net_cost) revenue,draft
TROYNOXA-60 60MG/0.6ML,2770.0,2887032.5,1767952.5,4,4,0,29,0.612377,0.005838,0.260842,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ZINACARE 750MG W/ DILUENT,42103.4289,2849044.34,1241872.07,30,7,11,30,0.435891,0.005761,0.266602,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ALBUMINAR-20 20% 50ML,1000.0,2697000.0,1297000.0,1,1,0,31,0.480905,0.005453,0.272056,A,ABC/Pareto using Net CP (net_cost) revenue,draft
"QMC 787,170",8.5623,2684145.89,904184.82,28,9,27,32,0.336861,0.005427,0.277483,A,ABC/Pareto using Net CP (net_cost) revenue,draft
DANOXIME 750MG,13485.0,2622930.0,2737337.5,21,15,0,33,1.043618,0.005304,0.282786,A,ABC/Pareto using Net CP (net_cost) revenue,draft
GYNE-TOCIN 10IU/ML,5046.0,2588225.5,3291598.12,99,46,0,34,1.271759,0.005233,0.28802,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ANTIZOAL 5MG/ML,34514.3266,2491353.47,2876605.77,248,65,2,35,1.154636,0.005037,0.293057,A,ABC/Pareto using Net CP (net_cost) revenue,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,2424824.95,1439224.95,3,2,0,36,0.593538,0.004903,0.29796,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ABHAY-TOX 40IU/0.5ML VIAL,828.9702,2402500.75,984949.65,28,8,9,37,0.409969,0.004858,0.302818,A,ABC/Pareto using Net CP (net_cost) revenue,draft
MICROPORE 1X10 2.5CMX9.1M (3M),629.8129,2389003.72,831101.21,40,9,12,38,0.347886,0.004831,0.307649,A,ABC/Pareto using Net CP (net_cost) revenue,draft
DOLO JAGA 500MG/50MG/100MG/100MCG,1868.6858,2296377.07,1750738.99,487,66,2,39,0.762392,0.004643,0.312292,A,ABC/Pareto using Net CP (net_cost) revenue,draft
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,25894.8517,2276442.99,1296240.96,110,32,16,40,0.569415,0.004603,0.316895,A,ABC/Pareto using Net CP (net_cost) revenue,draft
LACTAMOX 500MG/125MG TAB,1461.77,2253676.78,2612048.72,510,69,0,41,1.159017,0.004557,0.321452,A,ABC/Pareto using Net CP (net_cost) revenue,draft
FACE MASK,5737.0,2230638.58,2033926.07,55,24,0,42,0.911813,0.00451,0.325962,A,ABC/Pareto using Net CP (net_cost) revenue,draft
