area_type,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,4927,0,0,931,1473,74987.16,15889879.76,22917604.1,28164002.43,503220.96,36006091.95,0.81372
customer_type,12705,0,0,3439,2265,1124257.8,153579946.87,243423964.77,299538991.74,4263.1,358434034.16,0.812662
territory,18896,1250,0,1578,10040,235574.15,90057413.83,118895601.06,146433221.4,3426099.67,197285604.84,0.811944
unmapped,812,480,0,206,259,4145.81,13569475.24,8679958.23,20428493.04,116416.82,21627714.47,0.424895
