MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty,CP/UNIT,TOTAL CP,Discount,NET CP,TP/UNIT,Total TP,Net Income,,,,,,,,
17111,2018-05-30,Laguna,B-LACT,24,320,7680,0,7680,145,3480,4200,,,,,,,,
17111,2018-05-30,Laguna,C-ZETT 600mg,5,600,3000,0,3000,170,850,2150,,,,,,,,
17112,2018-05-30,Laguna,ANTIZOAL 5mg/ml,240,90,21600,0,21600,22,5280,16320,,,,,,,,
17112,2018-05-30,Laguna,ACIPRO 2mg,50,880,44000,0,44000,30,1500,42500,,,,,,,,
17112,2018-05-30,Laguna,TERMAGEN 250MG,12,37,444,0,444,23,276,168,,,,,,,,
17112,2018-05-30,Laguna,INHIBITA 40mg,3,760,2280,0,2280,90,270,2010,,,,,,,,
17112,2018-05-30,Laguna,SALRESP,10,1365,13650,0,13650,405,4050,9600,,,,,,,,
17112,2018-05-30,Laguna,Ketero,4,5000,20000,0,20000,80,320,19680,,,,,,,,
17112,2018-05-30,Laguna,SPITONE 25MG,2,840,1680,0,1680,180,360,1320,,,,,,,,
17115,2018-06-01,Laguna,AMBITOCYN,6,275,1650,0,1650,15,90,1560,,,,,,,,
17115,2018-06-01,Laguna,CEFAZOBAS,25,170,4250,0,4250,30,750,3500,,,,,,,,
17115,2018-06-01,Laguna,SITIXON 1G,50,264,13200,0,13200,25,1250,11950,,,,,,,,
17116,2018-06-04,Laguna,MEFECOD 50mg,3,3800,11400,0,11400,1035,3105,8295,,,,,,,,
17116,2018-06-04,Laguna,EVENING PRIMROSE SOFTGEL,10,1440,14400,0,14400,869,8690,5710,,,,,,,,
17117,2018-06-04,Laguna,EUROXONE 1g,50,190,9500,0,9500,73,3650,5850,,,,,,,,
17117,2018-06-04,Laguna,CEPROTRON 500mg,2,1225,2450,0,2450,415,830,1620,,,,,,,,
17118,2018-06-04,Laguna,OMCARE 40mg,1,2550,2550,0,2550,390,390,2160,,,,,,,,
17118,2018-06-04,Laguna,FEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17118,2018-06-04,Laguna,ROSEMIDE 10mg,1,824,824,0,824,70.8,70.8,753.2,,,,,,,,
17118,2018-06-04,Laguna,ATOVAS 20mg,2,682.2,1364.4,0,1364.4,202,404,960.4000000000001,,,,,,,,
17119,2018-06-06,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17119,2018-06-06,Laguna,CEPROTRON 500mg,3,1225,3675,0,3675,415,1245,2430,,,,,,,,
17119,2018-06-06,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17120,2018-06-11,Laguna,CEFEXIL 250mg/5ml,10,198,1980,0,1980,65,650,1330,,,,,,,,
17120,2018-06-11,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17121,2018-06-11,Laguna,CEPROTRON 500mg,2,1225,2450,0,2450,415,830,1620,,,,,,,,
17121,2018-06-11,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17122,2018-06-13,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17122,2018-06-13,Laguna,EUROXONE 1g,20,190,3800,0,3800,73,1460,2340,,,,,,,,
17123,2018-06-20,Laguna,MAXIFER 20mg/ml,4,2450,9800,0,9800,818,3272,6528,,,,,,,,
17124,2018-06-21,Laguna,CLAVIC 250mg/62.5mg/5ml,12,320,3840,0,3840,130,1560,2280,,,,,,,,
17124,2018-06-21,Laguna,APROCARE 150mg,4,870,3480,0,3480,219,876,2604,,,,,,,,
17125,2018-06-21,Laguna,CLAXIC 250mg/62.5mg/5ml,10,300,3000,0,3000,130,1300,1700,,,,,,,,
17125,2018-06-21,Laguna,LACTAMOX 500mg/125mg,1,2800,2800,0,2800,1174,1174,1626,,,,,,,,
17126,2018-06-21,Laguna,OMCARE 40mg,1,2550,2550,0,2550,450,450,2100,,,,,,,,
17126,2018-06-21,Laguna,CEFEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17127,2018-06-18,Laguna,EUROXONE 1g,50,190,9500,0,9500,73,3650,5850,,,,,,,,
