MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,
13568,2019-02-04,Admin,AEROVENT 1mg/ml,3,390,1170,0,1170,122.5,367.5,802.5,
13568,2019-02-04,Admin,Face Mask Earloop,2,75,150,0,150,45,90,60,
13568,2019-02-04,Admin,CENDALEX 125mg/5ml,3,52.5,157.5,0,157.5,35,105,52.5,
13568,2019-02-04,Admin,"MICROPORE 1"" - 3M",1,540,540,0,540,380,380,160,
13568,2019-02-04,Admin,GLOVES (S) - Dr. Choice,2,195,390,0,390,130,260,130,
13568,2019-02-04,Admin,JAGA 300MG/100MG/100MCG,1,795,795,0,795,530,530,265,
13568,2019-02-04,Admin,INTRAPLEM 500mg,1,420,420,0,420,280,280,140,
13569,2019-02-04,Admin,PHILSTAT 20mg,1,144,144,0,144,96,96,48,
13569,2019-02-04,Admin,Microscot 20mg/g,6,123,738,0,738,79,474,264,
13569,2019-02-04,Admin,ELAVIL 300mg,1,33.5,33.5,0,33.5,,,33.5,
13569,2019-02-04,Admin,EXEL 100mg,10,21.23,212.3,0,212.3,13.75,137.5,74.80000000000001,
13569,2019-02-04,Admin,EXEL 250mg/5ml sus,10,38.25,382.5,0,382.5,25.5,255,127.5,
13571,2019-02-06,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
13571,2019-02-06,Admin,XYNETIN 1500mg/200iu,7,678.57142,4749.99994,0,4749.99994,310,2170,2579.9999399999997,
13571,2019-02-06,Admin,Hyclens 0.2% Wound Spray 60ml,20,229.32,4586.4,0,4586.4,128.796,2575.92,2010.4799999999996,
13571,2019-02-06,Admin,Isoprine 10mg,7,671.42857,4699.99999,0,4699.99999,215,1505,3194.9999900000003,
13572,2019-02-06,Admin,NITROFURANTOIN 100mg CAP,0.36,1000,360,108,252,190,68.39999999999999,183.60000000000002,
13574/ SI 2175,2019-02-08,Hospital,APROCARE 150mg,1,870,870,0,870,219,219,651,
13574/ SI 2175,2019-02-08,Hospital,DIFLOSID 75mg/3ml,5,750,3750,0,3750,142.25,711.25,3038.75,
13574/ SI 2175,2019-02-08,Hospital,ATOVAS 20mg,1,750,750,0,750,174.49666666666667,174.49666666666667,575.5033333333333,
13574/ SI 2175,2019-02-08,Hospital,CEFZIME 750mg,5,3000,15000,0,15000,765,3825,11175,
13574/ SI 2175,2019-02-08,Hospital,CEPROTRON 500mg,2,1750,3500,0,3500,500,1000,2500,
13574/ SI 2175,2019-02-08,Hospital,Ranirex 25mg/ml,3,800,2400,0,2400,40,120,2280,
13574/ SI 2175,2019-02-08,Hospital,BUPIRIGHT 5mg/ml,4,3100,12400,0,12400,,,12400,
13574/ SI 2175,2019-02-08,Hospital,EVAPROST 125mcg/ml,2,3960,7920,0,7920,1872,3744,4176,
13574/ SI 2175,2019-02-08,Hospital,EUROXONE 1g,40,480,19200,0,19200,73,2920,16280,
13574/ SI 2175,2019-02-08,Hospital,ALGICAP 500mg CAP,1,780,780,0,780,227.5,227.5,552.5,
13576,2019-02-08,Admin,Pregnancy test - Rejoice,150,30,4500,0,4500,,,4500,
13576,2019-02-08,Admin,Ultrasound Gel (Gallon),1,1800,1800,0,1800,,,1800,
13577,2019-02-11,Admin,Isoprine 10mg,7,671.42857,4699.99999,0,4699.99999,215,1505,3194.9999900000003,
13577,2019-02-11,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
13577,2019-02-11,Admin,Folacid 5MG,7,464.28571,3249.99997,0,3249.99997,196.88,1378.1599999999999,1871.83997,
13578,2019-02-11,Admin,ERGON 125mcg,2,2000,4000,1200,2800,90.66600000000001,181.33200000000002,2618.668,
13578,2019-02-11,Admin,CEPROTRON 500mg,3,1750,5250,1575,3675,500,1500,2175,
13578,2019-02-11,Admin,ZAFEX 500mg,2,3000,6000,1800,4200,1000,2000,2200,
13578,2019-02-11,Admin,CORSTAPH 500mg,4,1500,6000,1800,4200,435,1740,2460,
13583,2019-02-16,Admin,TRANCE 500MG,2,2100,4200,0,4200,125,250,3950,
13583,2019-02-16,Admin,FERGLOBIN 250mg,7,517.85714,3624.9999799999996,0,3624.9999799999996,215,1505,2119.9999799999996,
13584,2019-02-16,Admin,ERGON 125mcg,2,2000,4000,1200,2800,90.66600000000001,181.33200000000002,2618.668,
13584,2019-02-16,Admin,CORSTAPH 500mg,2,1500,3000,900,2100,435,870,1230,
13584,2019-02-16,Admin,XYNETIN 1500mg/200iu,4,950,3800,1140,2660,310,1240,1420,
13586,2019-02-18,Admin,EUROXIME 250mg/5ml,3,209.18,627.54,0,627.54,139.45,418.34999999999997,209.19,
13586,2019-02-18,Admin,Face Mask Earloop,5,75,375,0,375,45,225,150,
13586,2019-02-18,Admin,BROXIL-M 15mg/5ml,6,44.21,265.26,0,265.26,29.47,176.82,88.44,
13586,2019-02-18,Admin,HAV C 500mg,2,93,186,0,186,60,120,66,
13586,2019-02-18,Admin,INTRAPLEM 50mg/ml - Drops,6,40.43,242.57999999999998,0,242.57999999999998,29.95,179.7,62.879999999999995,
13586,2019-02-18,Admin,CORSTAPH 500mg,1,652.5,652.5,0,652.5,435,435,217.5,
13586,2019-02-18,Admin,ALGICAP 50mg/5ml SUS,6,48.2,289.20000000000005,0,289.20000000000005,24.61,147.66,141.54000000000005,
13587/ SI 2198,2019-02-19,Quezon,ERGON 125mcg,2,1100,2200,0,2200,90.66600000000001,181.33200000000002,2018.668,
13587/ SI 2198,2019-02-19,Quezon,PHYTOMEN 10mg/ml,30,780,23400,0,23400,190,5700,17700,
13588,2019-02-19,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
13588,2019-02-19,Admin,Isoprine 10mg,14,671.42857,9399.99998,0,9399.99998,215,3010,6389.9999800000005,
13589,2019-02-19,Admin,GLOVES (S) - Dr. Choice,4,450,1800,0,1800,130,520,1280,
13590,2019-02-19,Admin,CEPROTRON 500mg,2,1750,3500,1050,2450,500,1000,1450,
13590,2019-02-19,Admin,Bloxol 30mg,2,670,1340,402,938,,,938,
13590,2019-02-19,Admin,ANEROCIN 300mg,1,3800,3800,1140,2660,890,890,1770,
13590,2019-02-19,Admin,CALCIUM CARBONATE,3,950,2850,855,1995,,,1995,
13590,2019-02-19,Admin,XYNETIN 1500mg/200iu,0.4,950,380,114,266,310,124,142,
13591,2019-02-21,Admin,Folacid 5MG,7,464.28571,3249.99997,0,3249.99997,196.88,1378.1599999999999,1871.83997,
13591,2019-02-21,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
13593,2019-02-28,Admin,HAV C 500mg,7,135.71428,949.99996,0,949.99996,60,420,529.99996,
13594,2019-02-28,Admin,Isoprine 10mg,6,940,5640,1692,3948,215,1290,2658,
13594,2019-02-28,Admin,VONWELT TRANEXAMIC ACID,2,2100,4200,1260,2940,320,640,2300,
13595,2019-03-01,Pharma,APREZAL 20MG/ML AMP,3,3900,11700,0,11700,1083.1666666666667,3249.5,8450.5,
13596,2019-02-28,Admin,GENTAM 40mg,1,9.75,9.75,0,9.75,5.91,5.91,3.84,
13596,2019-02-28,Admin,JAGA 300MG/100MG/100MCG,2,795,1590,0,1590,530,1060,530,
13596,2019-02-28,Admin,JAGAPLEX TAB,2,592.5,1185,0,1185,263.3333333333333,526.6666666666666,658.3333333333334,
13598,2019-02-28,Admin,APROCARE 150mg,3,328.5,985.5,0,985.5,219,657,328.5,
13598,2019-02-28,Admin,SAPHLECOX 200mg,0.14,300,42.00000000000001,0,42.00000000000001,168,23.520000000000003,18.480000000000004,
13599,2019-03-09,Admin,LACTAMOX 500mg/125mg TAB,1,1760.4,1760.4,0,1760.4,1173.2,1173.2,587.2,
13599,2019-03-09,Admin,Face Mask Earloop,1,75,75,0,75,45,45,30,
13599,2019-03-09,Admin,Digital Thermometer - Surgitech,1,90,90,0,90,50,50,40,
13600,2019-02-28,Admin,FOCID 5mg,1,393.75,393.75,0,393.75,,,393.75,
13600,2019-02-28,Admin,JAGAPLEX OB,1,346.5,346.5,0,346.5,165,165,181.5,
14038,2018-03-07,Admin,MAXXIVIT PLUS,7,1000,7000,0,7000,440,3080,3920,
14038,2018-03-07,Admin,XYNETIN 1500mg/200iu,7,750,5250,0,5250,310,2170,3080,
14038,2018-03-07,Admin,OB-DILAN 10mg,14,785.714285714,10999.999999996,0,10999.999999996,,,10999.999999996,
14038,2018-03-07,Admin,FERGLOBIN 250mg,7,517.857142857,3624.999999999,0,3624.999999999,215,1505,2119.999999999,
14498,2018-11-12,Admin,MULTILEM CAP,12,26.25,315,0,315,26,312,3,
14498,2018-11-12,Admin,CINNABLOC 25mg,2,199.5,399,0,399,133,266,133,
14498,2018-11-12,Admin,SOLVASC 5MG,2,645,1290,0,1290,383.93,767.86,522.14,
14498,2018-11-12,Admin,Cardizar 50mg,2,240,480,0,480,142.86,285.72,194.27999999999997,
14498,2018-11-12,Admin,ATOVAS 20mg,1,327.02,327.02,0,327.02,174.49666666666667,174.49666666666667,152.5233333333333,
14498,2018-11-12,Admin,K-LYTE 600mg - delte,1,1192.5,1192.5,0,1192.5,852.5,852.5,340,
14498,2018-11-12,Admin,Prometin,1,69,69,0,69,46,46,23,
14498,2018-11-12,Admin,STEEROMETZ 5mg,1,156.75,156.75,0,156.75,104.5,104.5,52.25,
14499,2018-11-19,Admin,PROPHALAN,2,547.5,1095,0,1095,365,730,365,
