MEDSHIELD PHARMA CORP,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,
AS OF DECEMBER 2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income
Admin,21184,2020-01-18,DOPAMET 250MG TAB,5,780,3900,0,3900,196.63,983.13,2916.87
Admin,21184,2020-01-18,HYCLENS WOUND SPRAY 60ML.,20,229.32,4586.4,0,4586.4,137.15,2743.04,1843.3599999999997
Admin,21184,2020-01-18,"MICROPORE 1"" - 3M",1,1080,1080,0,1080,380,380,700
Admin,21181,2020-01-18,FACE MASK,2,150,300,0,300,514.44,1028.89,-728.8900000000001
Admin,21181,2020-01-18,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,21181,2020-01-18,EVEROSE 1000MG CAP,7,691.07,4837.5,0,4837.5,381,2667,2170.5
Admin,21000,2020-01-18,FACE MASK,10,75,750,0,750,514.44,5144.44,-4394.44
Admin,21180,2020-01-18,PREGNANCY TEST SUREGUARD,2,750,1500,0,1500,500,1000,500
Admin,21180,2020-01-18,FACE MASK,40,75,3000,0,3000,514.44,20577.78,-17577.78
Admin,21178,2020-01-18,FACE MASK,86,75,6450,0,6450,514.44,44242.22,-37792.22
Admin,21179,2020-01-18,FACE MASK,4,150,600,0,600,514.44,2057.78,-1457.7800000000002
Admin,21185,2020-01-18,MEDRIZINE 2.5MG/ML Drops,9,33.98,305.78,0,305.78,22.65,203.85,101.92999999999998
Admin,21185,2020-01-18,"MICROPORE 1"" - 3M",1,570,570,0,570,380,380,190
Admin,21185,2020-01-18,MICROPORE 1/2 IN - 3M,1,540,540,0,540,372.5,372.5,167.5
Admin,21185,2020-01-18,PHILCLOX 500MG,1,363,363,0,363,247.47,247.47,115.53
Admin,21216,2020-01-11,CLOVAS 75MG,24,1350,32400,0,32400,403.2,9676.8,22723.2
Admin,21216,2020-01-11,GLOVEDOL 6.25MG,24,836,20064,0,20064,83.5,2004,18060
