MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
12199,2017-04-26,CAM NORTE,#REF!,1,3000,3000,,,1,1450,1450,1550
12199,2017-04-26,CAM NORTE,#REF!,1,1200,1200,,,1,345,345,855
12199,2017-04-26,CAM NORTE,#REF!,1,2800,2800,,,1,1173.6,1173.6,1626.4
12199,2017-04-26,CAM NORTE,#REF!,1,1600,1600,,,1,480.9,480.9,1119.1
12200,2017-04-21,CAM NORTE,#REF!,2,750,1500,,,2,227.5,455,1045
12399,2017-05-19,GOVERNMENT,#REF!,800,510,408000,,0,800,73,58400,349600
12765,2017-04-18,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
12765,2017-04-18,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
12765,2017-04-18,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
12780,2017-05-02,LAGUNA,#REF!,2,990,1980,,0,2,384,768,1212
12780,2017-05-02,LAGUNA,#REF!,2,2269.8,4539.6,,0,2,630,1260,3279.6000000000004
12780,2017-05-02,LAGUNA,#REF!,5,2546,12730,,0,5,680,3400,9330
12780,2017-05-02,LAGUNA,#REF!,2,4000,8000,,0,2,650,1300,6700
12781,2017-05-03,LAGUNA,#REF!,100,380,38000,,0,100,45,4500,33500
12781,2017-05-03,LAGUNA,#REF!,50,120,6000,,0,50,42,2100,3900
12782,2017-05-13,LAGUNA,#REF!,2,3000,6000,,0,2,650,1300,4700
12783,2017-05-09,LAGUNA,#REF!,40,73,2920,,0,40,73,2920,0
12783,2017-05-09,LAGUNA,#REF!,2,1450,2900,,0,2,1450,2900,0
12783,2017-05-09,LAGUNA,#REF!,2,415,830,,0,2,415,830,0
12784,2017-05-10,LAGUNA,#REF!,2,1800,3600,,0,2,540,1080,2520
12785,2017-05-10,LAGUNA,#REF!,12,310,3720,,0,12,129.7,1556.3999999999999,2163.6000000000004
12785,2017-05-10,LAGUNA,#REF!,6,190,1140,,0,6,75.6,453.59999999999997,686.4000000000001
12786,2017-05-10,LAGUNA,#REF!,12,200,2400,,0,12,155,1860,540
12787,2017-05-10,LAGUNA,#REF!,1,2800,2800,,0,1,1173.6,1173.6,1626.4
12787,2017-05-10,LAGUNA,#REF!,1,3000,3000,,0,1,1450,1450,1550
12788,2017-05-10,LAGUNA,#REF!,10,120,1200,,0,10,25,250,950
12789,2017-05-10,LAGUNA,#REF!,10,279.99,2799.9,,0,10,81,810,1989.9
12789,2017-05-10,LAGUNA,#REF!,10,600,6000,,0,10,170,1700,4300
12790,2017-05-11,LAGUNA,#REF!,4,480,1920,,0,4,207,828,1092
12791,2017-05-12,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
