feature,importance
demand_lag1,0.27390677666309143
abd_cases_norm,0.1439244673352896
disease_lag1,0.11618653675148789
demand_lag2,0.08353052883950077
disease_intensity_index,0.07080376293875563
season_pre_monsoon,0.06758869523369326
month_cos,0.06319712626314901
typhoid_cases_norm,0.060263255642721905
leptospirosis_cases_norm,0.04224778582947994
ili_cases_norm,0.04218503047029527
season_monsoon,0.01718186092110368
dengue_cases_norm,0.013605996342477536
month_sin,0.002388664470462594
season_holiday,0.0022099279894426194
season_typhoon,0.00048129276365070466
season_amihan,0.00015106900614544032
season_summer,0.0001472225392526147
