feature,importance
demand_lag1,0.31493691382153755
abd_cases_norm,0.16305686994611032
demand_lag2,0.11037393604271403
month_cos,0.09618498044480576
ili_cases_norm,0.08560638561234221
typhoid_cases_norm,0.0801686758795392
leptospirosis_cases_norm,0.03180369296341483
season_pre_monsoon,0.031509106228165225
disease_intensity_index,0.02492270454154368
typhoon_flag,0.018849144601347383
season_monsoon,0.01790072570700483
dengue_cases_norm,0.01449183990928402
season_amihan,0.004408499350501796
season_holiday,0.0043247736851361965
month_sin,0.0011281437838787775
season_summer,0.00024619461324840896
season_typhoon,8.741286942594572e-05
rainfall_norm,0.0
temp_norm,0.0
rainfall_severity,0.0
