product,quantity,revenue,gross_margin,row_count,active_months,rank,revenue_share,cumulative_revenue_share,abc_class,model_code,model_version,review_status
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,7,1,0.033409,0.033409,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 250MCG/ML,1192.2947,4587511.68,4542500.5,116,35,2,0.026514,0.059924,A,ABC_PARETO,sales_only_v1,draft
SORBIFER 310MG,3845.6297,3200473.28,3067153.49,35,23,3,0.018498,0.078421,A,ABC_PARETO,sales_only_v1,draft
SHARJVAX 1500 I.U. / 0.7ML,2617.361,2529112.56,1859704.19,33,15,4,0.014617,0.093039,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 125MCG/0.5ML,1089.4216,2389652.52,1937676.85,63,24,5,0.013811,0.10685,A,ABC_PARETO,sales_only_v1,draft
JUBI -R 100MG,750.0,2375000.0,2217500.0,5,4,6,0.013727,0.120577,A,ABC_PARETO,sales_only_v1,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,7,0.011585,0.132162,A,ABC_PARETO,sales_only_v1,draft
BUPIRIGHT AMPULE,7553.8986,1948969.01,3770355.26,196,39,8,0.011264,0.143426,A,ABC_PARETO,sales_only_v1,draft
ANTITET 1500IU/0.7ML,1448.5902,1856413.99,2143819.5,20,5,9,0.010729,0.154156,A,ABC_PARETO,sales_only_v1,draft
"MICROPORE 1"" - 1530-1 - 3M",1751.8816,1631166.63,1488763.79,79,32,10,0.009428,0.163583,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 250MCG/ML IV,287.6221,1570479.09,1020618.99,57,23,11,0.009077,0.17266,A,ABC_PARETO,sales_only_v1,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7933.5703,1494974.36,1907522.03,54,24,12,0.00864,0.1813,A,ABC_PARETO,sales_only_v1,draft
RANICLAV 625MG,4037.6382,1483348.57,1294942.17,57,26,13,0.008573,0.189874,A,ABC_PARETO,sales_only_v1,draft
HAIXONE WITH DILUENT 1G,53614.3374,1425484.65,1362364.87,27,5,14,0.008239,0.198112,A,ABC_PARETO,sales_only_v1,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,15,0.008091,0.206204,A,ABC_PARETO,sales_only_v1,draft
ENOXAGET-40 40MG/0.4ML,2145.0,1372800.0,1285798.8,10,4,16,0.007934,0.214138,A,ABC_PARETO,sales_only_v1,draft
LACTAMOX 500MG/125MG,553.064,1299511.32,1366309.63,155,24,17,0.007511,0.221649,A,ABC_PARETO,sales_only_v1,draft
CETHERGO 200MCG/ML,881.6,1234240.0,1241115.0,22,7,18,0.007133,0.228782,A,ABC_PARETO,sales_only_v1,draft
MERAZOL 40MG,744.9632,1209762.98,2663361.48,58,26,19,0.006992,0.235774,A,ABC_PARETO,sales_only_v1,draft
SITIXON 1G,11332.3538,1153586.1,2984717.75,42,23,20,0.006667,0.242442,A,ABC_PARETO,sales_only_v1,draft
ZINACARE 750MG W/ DILUENT,42100.147,1128912.57,990936.48,20,6,21,0.006525,0.248966,A,ABC_PARETO,sales_only_v1,draft
TROYNOXA-60 60MG/0.6ML,2770.0,1119080.0,1767952.5,4,3,22,0.006468,0.255434,A,ABC_PARETO,sales_only_v1,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7200.0,1116000.0,405144.0,12,1,23,0.00645,0.261884,A,ABC_PARETO,sales_only_v1,draft
ANTIZOAL 5MG/ML,22857.9662,1081485.98,2258862.75,143,37,24,0.006251,0.268135,A,ABC_PARETO,sales_only_v1,draft
TRIVASC 35MG MR,2345.9449,1076497.06,1614963.12,207,36,25,0.006222,0.274357,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 125MCG/ML,448.2676,1046316.0,1098422.27,81,35,26,0.006047,0.280404,A,ABC_PARETO,sales_only_v1,draft
HIVENT PLUS,2691.3196,1037916.48,1100643.51,41,18,27,0.005999,0.286403,A,ABC_PARETO,sales_only_v1,draft
CLIN-GEN 300MG,3062.0,1026295.0,1077183.75,16,10,28,0.005932,0.292334,A,ABC_PARETO,sales_only_v1,draft
KN95 FACEMASK (PIECE),8553.0,995624.0,550778.05,12,8,29,0.005754,0.298089,A,ABC_PARETO,sales_only_v1,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,985600.0,1439224.95,3,2,30,0.005696,0.303785,A,ABC_PARETO,sales_only_v1,draft
PPE SET,2510.0,978900.0,1101850.0,3,3,31,0.005658,0.309443,A,ABC_PARETO,sales_only_v1,draft
HYCLENS SKIN CLEANSER (60ML),8535.0,967869.0,1382262.6,16,12,32,0.005594,0.315037,A,ABC_PARETO,sales_only_v1,draft
HYCLENS WOUND SPRAY (60ML),7872.6313,923944.64,1205538.22,250,46,33,0.00534,0.320377,A,ABC_PARETO,sales_only_v1,draft
PROFUREX 750MG,4760.0,882266.0,914348.4,8,7,34,0.005099,0.325476,A,ABC_PARETO,sales_only_v1,draft
MATERNITY PADS 8S (MAXIFREE),14258.0,863360.0,431471.2,15,6,35,0.00499,0.330466,A,ABC_PARETO,sales_only_v1,draft
ENDOPROST 250MCG/ML,646.0,855950.0,784750.0,9,4,36,0.004947,0.335413,A,ABC_PARETO,sales_only_v1,draft
LUPINSULIN 30:70,1821.0,816272.0,632878.53,20,16,37,0.004718,0.340131,A,ABC_PARETO,sales_only_v1,draft
NUTRIBOARD WITHOUT BAG,102.7037,809655.54,298890.81,13,3,38,0.00468,0.34481,A,ABC_PARETO,sales_only_v1,draft
ABHAY-TOX 40IU/0.5ML VIAL,829.4228,803341.88,326664.49,26,6,39,0.004643,0.349453,A,ABC_PARETO,sales_only_v1,draft
ZEFXON 40MG,2700.0,792102.92,648077.08,14,10,40,0.004578,0.354031,A,ABC_PARETO,sales_only_v1,draft
MAXIFER 20MG/ML,742.6066,791645.83,1498759.06,46,29,41,0.004575,0.358607,A,ABC_PARETO,sales_only_v1,draft
ANTITET 1500IU,762.5,766507.5,351744.18,15,13,42,0.00443,0.363037,A,ABC_PARETO,sales_only_v1,draft
GIOZOLE 40MG W/ DILUENT,14611.2336,762806.66,416022.58,16,7,43,0.004409,0.367446,A,ABC_PARETO,sales_only_v1,draft
PHYTOMEN 10MG/ML,1249.0891,750934.28,1101612.26,94,34,44,0.00434,0.371786,A,ABC_PARETO,sales_only_v1,draft
PROHAB 10MG/ML 20ML,500.0,750000.0,1360000.0,1,1,45,0.004335,0.376121,A,ABC_PARETO,sales_only_v1,draft
"HEPA B 10MCG/0.5ML MULTIDOSE, PEDIATRIC",4.0,750000.0,649400.0,2,2,46,0.004335,0.380455,A,ABC_PARETO,sales_only_v1,draft
DOLO JAGA 500MG/50MG/100MG/100MCG,1088.6398,748948.32,1098336.97,253,36,47,0.004329,0.384784,A,ABC_PARETO,sales_only_v1,draft
HYCLENS WOUND SPRAY 2% 60ML,3750.0433,739848.77,812067.23,189,27,48,0.004276,0.38906,A,ABC_PARETO,sales_only_v1,draft
AEROX 500MG,7561.0,721255.0,877384.0,12,5,49,0.004169,0.393229,A,ABC_PARETO,sales_only_v1,draft
LACTAMOX 500MG/125MG TAB,566.1712,715893.94,1050281.59,167,41,50,0.004138,0.397366,A,ABC_PARETO,sales_only_v1,draft
CANCARE IV CANNULA G24,700.0,714000.0,606000.0,2,1,51,0.004127,0.401493,A,ABC_PARETO,sales_only_v1,draft
EUROXONE 1G,8968.8814,709327.71,2778891.13,81,32,52,0.0041,0.405593,A,ABC_PARETO,sales_only_v1,draft
JACKIE DISINFECT SPRAY 500ML,48.399,696693.32,1116397.85,16,8,53,0.004027,0.409619,A,ABC_PARETO,sales_only_v1,draft
MONOWEL 1G,1550.0,696354.0,574820.0,7,4,54,0.004025,0.413644,A,ABC_PARETO,sales_only_v1,draft
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,25893.6381,694417.68,1068054.47,110,26,55,0.004013,0.417657,A,ABC_PARETO,sales_only_v1,draft
LOMOH-60 60MG/0.6ML,1750.0,691250.0,1132687.5,4,2,56,0.003995,0.421653,A,ABC_PARETO,sales_only_v1,draft
EPOGEN 4000IU/0.4ML,1905.0,685800.0,441102.75,5,1,57,0.003964,0.425616,A,ABC_PARETO,sales_only_v1,draft
MODULAR TENT 79X17X79,150.0,675000.0,742425.0,1,1,58,0.003901,0.429518,A,ABC_PARETO,sales_only_v1,draft
CARDOWIN 1MG,934.8963,672653.5,1058664.53,25,14,59,0.003888,0.433405,A,ABC_PARETO,sales_only_v1,draft
DOCOR 250MG VIAL,838.0,666720.0,338820.0,5,5,60,0.003853,0.437259,A,ABC_PARETO,sales_only_v1,draft
CEFUSAPH,3760.9968,641166.13,1259244.49,63,25,61,0.003706,0.440964,A,ABC_PARETO,sales_only_v1,draft
TRIOPHIL 35MG,2043.3,637509.6,665686.4,10,3,62,0.003685,0.444649,A,ABC_PARETO,sales_only_v1,draft
ALCOHOL ETHYL 70% - ALCORADE,1912.0,630960.0,903740.0,11,6,63,0.003647,0.448296,A,ABC_PARETO,sales_only_v1,draft
KOVENT SF 25MCG/250MCG MDI,1955.0,625500.0,359720.0,13,8,64,0.003615,0.451911,A,ABC_PARETO,sales_only_v1,draft
EPIX BY 10'S,1150.1858,580423.13,1040848.54,79,26,65,0.003355,0.455265,A,ABC_PARETO,sales_only_v1,draft
AEROVENT 1MG 30'S,2185.85,579249.19,553061.42,16,7,66,0.003348,0.458613,A,ABC_PARETO,sales_only_v1,draft
ZEFTACARE 1G IV,12930.0,569100.0,245335.5,18,7,67,0.003289,0.461903,A,ABC_PARETO,sales_only_v1,draft
OPREX 40MG IV,2981.2143,560803.01,593583.58,31,16,68,0.003241,0.465144,A,ABC_PARETO,sales_only_v1,draft
"GENVAC-B 10MCG/0.5ML MONODOSE, PEDIATRIC",28.6,559990.0,655860.0,5,4,69,0.003237,0.46838,A,ABC_PARETO,sales_only_v1,draft
CIMEX 500MG,490.394,557891.31,958667.68,25,19,70,0.003224,0.471605,A,ABC_PARETO,sales_only_v1,draft
AZCORE 500MG,2297.87,544100.77,863363.1,20,9,71,0.003145,0.474749,A,ABC_PARETO,sales_only_v1,draft
MORNEM 500MG,3300.0,528000.0,340700.0,6,3,72,0.003052,0.477801,A,ABC_PARETO,sales_only_v1,draft
SPIROCARE-25 25MG,2005.0,525310.0,529770.0,3,1,73,0.003036,0.480837,A,ABC_PARETO,sales_only_v1,draft
MICROPORE 1X10 2.5CMX9.1M (3M),657.5653,521755.38,296143.01,36,8,74,0.003016,0.483853,A,ABC_PARETO,sales_only_v1,draft
"QMC 787,170",1.0,514720.0,228640.0,1,1,75,0.002975,0.486828,A,ABC_PARETO,sales_only_v1,draft
EXEL 100MG,331.203,512250.6,471172.57,25,17,76,0.002961,0.489788,A,ABC_PARETO,sales_only_v1,draft
CANCARE IV CANNULA G22,500.5,510510.0,451140.0,2,2,77,0.002951,0.492739,A,ABC_PARETO,sales_only_v1,draft
LOMOH-40 40MG/0.4ML,1550.0,496000.0,464566.0,4,3,78,0.002867,0.495606,A,ABC_PARETO,sales_only_v1,draft
AMBIDOL 50MG/ML (100MG/2ML) 2ML,325.4192,494209.1,588557.33,55,23,79,0.002856,0.498462,A,ABC_PARETO,sales_only_v1,draft
NYSECOD 50MG,854.0,484260.0,481105.0,8,6,80,0.002799,0.501261,A,ABC_PARETO,sales_only_v1,draft
SAPHLECOX 200MG,479.1308,482520.57,817208.09,47,23,81,0.002789,0.50405,A,ABC_PARETO,sales_only_v1,draft
DOLO-JAGA 500MG/50MG/100MG/100MCG,540.0402,475536.31,659074.22,149,25,82,0.002748,0.506798,A,ABC_PARETO,sales_only_v1,draft
ISORANE 100% V/V 100ML,259.0,470300.0,596300.0,39,19,83,0.002718,0.509516,A,ABC_PARETO,sales_only_v1,draft
MYGEL BLACK,76.6115,469185.17,315618.41,23,13,84,0.002712,0.512228,A,ABC_PARETO,sales_only_v1,draft
NITROFIX SR 30MG,854.0,444180.0,454530.0,17,11,85,0.002567,0.514795,A,ABC_PARETO,sales_only_v1,draft
ANGEL-50 50MG,625.6701,436544.28,464573.27,36,19,86,0.002523,0.517318,A,ABC_PARETO,sales_only_v1,draft
HYTRIX 100MG,1345.88,436442.01,323447.03,25,12,87,0.002522,0.519841,A,ABC_PARETO,sales_only_v1,draft
DIFLOSID 25MG/ML 3ML,388.3913,434075.59,488254.97,73,22,88,0.002509,0.522349,A,ABC_PARETO,sales_only_v1,draft
ISOLATION GOWN STERILE (GDR),3600.0,432000.0,1049535.39,3,2,89,0.002497,0.524846,A,ABC_PARETO,sales_only_v1,draft
PPE COVER ALL SET,2013.0,422730.0,1448933.5,3,2,90,0.002443,0.527289,A,ABC_PARETO,sales_only_v1,draft
FLUARIX TETRA SH2021,700.0,420000.0,479624.95,1,1,91,0.002427,0.529717,A,ABC_PARETO,sales_only_v1,draft
ATROPINE,50.5,417130.0,413245.0,3,2,92,0.002411,0.532128,A,ABC_PARETO,sales_only_v1,draft
KZIDINE 35MG,679.1378,412057.82,351756.21,57,14,93,0.002382,0.534509,A,ABC_PARETO,sales_only_v1,draft
IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CATHULA),187.2,411840.0,220896.0,7,3,94,0.00238,0.53689,A,ABC_PARETO,sales_only_v1,draft
GENTAM 40MG,620.214,410176.75,383272.84,60,31,95,0.002371,0.53926,A,ABC_PARETO,sales_only_v1,draft
LYSOL PROFESSIONAL DISINFECTANT LIQUID 5L,150.0,409090.5,88909.5,1,1,96,0.002364,0.541625,A,ABC_PARETO,sales_only_v1,draft
EXECORE 500MG TAB,5223.0,408138.0,550047.0,40,17,97,0.002359,0.543984,A,ABC_PARETO,sales_only_v1,draft
VESSEL COMPARATOR,203.0,406000.0,253710.0,3,3,98,0.002347,0.54633,A,ABC_PARETO,sales_only_v1,draft
SYVIR 400,200.0,400000.0,840000.0,1,1,99,0.002312,0.548642,A,ABC_PARETO,sales_only_v1,draft
CORSIN-300 150MG/ML (300MG/2ML) 2ML,6660.2413,392637.67,549831.44,14,7,100,0.002269,0.550911,A,ABC_PARETO,sales_only_v1,draft
PPE LAB.,600.0,390000.0,329400.0,1,1,101,0.002254,0.553165,A,ABC_PARETO,sales_only_v1,draft
SMACK LABORATORY GOWN,2600.0,390000.0,517400.0,2,2,102,0.002254,0.555419,A,ABC_PARETO,sales_only_v1,draft
GYNE-TOCIN 10IU/ML,2535.0775,389846.34,1552387.15,57,26,103,0.002253,0.557673,A,ABC_PARETO,sales_only_v1,draft
GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM),1534.0,389795.0,806007.07,28,9,104,0.002253,0.559925,A,ABC_PARETO,sales_only_v1,draft
HYDROCORTIBAS 100MG VIAL,1470.0,376320.0,144736.0,12,5,105,0.002175,0.5621,A,ABC_PARETO,sales_only_v1,draft
PPE - COLORED (GDR),1500.0,375000.0,510000.0,1,1,106,0.002167,0.564268,A,ABC_PARETO,sales_only_v1,draft
MECID 500MG,335.9437,372929.65,456368.55,26,14,107,0.002155,0.566423,A,ABC_PARETO,sales_only_v1,draft
IV CANNULA WITH INJECTION PORT LUER LOCK G24 0.7X19MM (CATHULA),156.18,367632.0,160256.4,11,4,108,0.002125,0.568548,A,ABC_PARETO,sales_only_v1,draft
IV CANNULA WITH WINGS LUER LOCK G18 1.5X38MM (CATHULA),166.2,365640.0,197596.0,10,5,109,0.002113,0.570661,A,ABC_PARETO,sales_only_v1,draft
UNDERPADS ANTIBACTERIAL X-LARGE (HEXACARE),3460.0,363418.98,367679.02,6,2,110,0.0021,0.572762,A,ABC_PARETO,sales_only_v1,draft
FACE MASK,5153.3443,362685.16,1707922.16,35,19,111,0.002096,0.574858,A,ABC_PARETO,sales_only_v1,draft
ISOLATION GOWN,3852.0,360760.0,1252308.6,9,5,112,0.002085,0.576943,A,ABC_PARETO,sales_only_v1,draft
SII-TO-VAC 0.5ML,650.0,357500.0,140750.0,2,2,113,0.002066,0.579009,A,ABC_PARETO,sales_only_v1,draft
CUROXIM 750MG WITH DILUENT,13200.0,356400.0,294360.0,9,2,114,0.00206,0.581069,A,ABC_PARETO,sales_only_v1,draft
SANOMAX - FA,633.0,354480.0,230819.34,97,32,115,0.002049,0.583118,A,ABC_PARETO,sales_only_v1,draft
BICARBISAPH 84MG/ML,62.0,351900.0,61900.0,3,3,116,0.002034,0.585152,A,ABC_PARETO,sales_only_v1,draft
CORPILYN 500MG,25770.0,348777.0,238836.5,31,13,117,0.002016,0.587167,A,ABC_PARETO,sales_only_v1,draft
CHROMOGENIC ENZYME SUBSTRATE TEST (COLIKAT RAPID),12.0,345600.0,138790.0,4,3,118,0.001997,0.589165,A,ABC_PARETO,sales_only_v1,draft
MERAZOL-40 40MG,1651.0,330200.0,291306.0,7,5,119,0.001908,0.591073,A,ABC_PARETO,sales_only_v1,draft
BUNNY SUIT MICROFIBER,1200.0,330000.0,268200.0,2,2,120,0.001907,0.592981,A,ABC_PARETO,sales_only_v1,draft
D5W 250ML (EUROMED),3000.0,330000.0,330000.0,1,1,121,0.001907,0.594888,A,ABC_PARETO,sales_only_v1,draft
ENOX 6000 ANTI-XA IU/0.6ML (KULANIMA HAZIR ENJEKTOR) STERIL - ENOKSAPARIN SODIUM,800.0,328000.0,655760.0,4,3,122,0.001896,0.596784,A,ABC_PARETO,sales_only_v1,draft
K-LYTE 600MG TABLET,290.0,324800.0,44950.0,4,1,123,0.001877,0.598661,A,ABC_PARETO,sales_only_v1,draft
PHIZOLIN 1G,1798.0,322172.5,326952.5,13,8,124,0.001862,0.600523,A,ABC_PARETO,sales_only_v1,draft
HBW SCISSORS,44.7286,320256.48,-177822.2,9,7,125,0.001851,0.602374,A,ABC_PARETO,sales_only_v1,draft
ENOCEE 500MG,1466.4684,317648.96,534128.0,60,21,126,0.001836,0.60421,A,ABC_PARETO,sales_only_v1,draft
ENHAMOX 500MG/125MG,264.8912,317085.95,536001.66,70,6,127,0.001833,0.606042,A,ABC_PARETO,sales_only_v1,draft
DISPOSABLE DIAPER ADULT XL (HEXACARE),1554.0,315546.26,58029.74,7,5,128,0.001824,0.607866,A,ABC_PARETO,sales_only_v1,draft
JAGA 300MG/100MG/100MCG,589.44,312403.2,557607.8,162,34,129,0.001806,0.609672,A,ABC_PARETO,sales_only_v1,draft
RENITE XL,1000.0,308000.0,308470.0,3,2,130,0.00178,0.611452,A,ABC_PARETO,sales_only_v1,draft
TRIZEF 100MG,222.0,303163.8,805436.2,56,26,131,0.001752,0.613204,A,ABC_PARETO,sales_only_v1,draft
X-RAY FILM 14X14 (FUJI),10.2309,299494.58,-79023.55,4,1,132,0.001731,0.614935,A,ABC_PARETO,sales_only_v1,draft
SPASBASCINE,1584.0,295090.0,710035.0,28,19,133,0.001706,0.61664,A,ABC_PARETO,sales_only_v1,draft
RELAXSAPH 500MCG+2.5MG/2.5ML,428.4946,294261.92,177644.46,6,4,134,0.001701,0.618341,A,ABC_PARETO,sales_only_v1,draft
IV CANNULA WITH WINGS LUER LOCK G22 .8X25MM (CATHULA),132.2,290840.0,155996.0,8,3,135,0.001681,0.620022,A,ABC_PARETO,sales_only_v1,draft
HEPABIG 100I.U/0.5ML IV,100.0,290000.0,67300.0,3,2,136,0.001676,0.621698,A,ABC_PARETO,sales_only_v1,draft
AMCETAM 150MG/2ML,566.3293,288944.98,538645.51,22,11,137,0.00167,0.623368,A,ABC_PARETO,sales_only_v1,draft
GLOVES BLUE VINYL/NITRILE BLEND (LARGE),1130.0,287760.0,441754.27,12,8,138,0.001663,0.625031,A,ABC_PARETO,sales_only_v1,draft
CIUMADE,629.0,283050.0,165159.61,107,33,139,0.001636,0.626667,A,ABC_PARETO,sales_only_v1,draft
ZINACARE 750MG WITH DILUENT,10495.126,278652.29,836290.33,14,10,140,0.001611,0.628278,A,ABC_PARETO,sales_only_v1,draft
GLOVES BLUE VINYL/NITRILE BLEND (SMALL),1090.0,276900.0,527025.12,13,7,141,0.0016,0.629878,A,ABC_PARETO,sales_only_v1,draft
OLXARIN 6000IU/0.6ML 60MG/0.6ML,355.0,276900.0,463104.5,2,1,142,0.0016,0.631479,A,ABC_PARETO,sales_only_v1,draft
PHYTOBAS 10MG/ML IV,1031.4749,276433.47,809587.21,65,18,143,0.001598,0.633076,A,ABC_PARETO,sales_only_v1,draft
DEXAMAX 4MG/ML (8MG/2ML) 2ML,219.1108,276084.52,305259.88,35,18,144,0.001596,0.634672,A,ABC_PARETO,sales_only_v1,draft
XRAY FILM 11X14 (FUJI),7.3872,272848.29,-73355.74,5,1,145,0.001577,0.636249,A,ABC_PARETO,sales_only_v1,draft
PPE WHITE W/ BLUE STRIPES - M/L/XL,705.0,272100.0,432435.6,2,2,146,0.001573,0.637822,A,ABC_PARETO,sales_only_v1,draft
BENERVA FORTE CAP,517.6,271740.0,319398.2,54,25,147,0.001571,0.639392,A,ABC_PARETO,sales_only_v1,draft
TRIVASC 35MG,589.337,269077.75,416445.16,51,16,148,0.001555,0.640947,A,ABC_PARETO,sales_only_v1,draft
X-RAY FIXER: POWDER MANUAL FUJI,16.378,268954.62,-80441.44,5,1,149,0.001554,0.642502,A,ABC_PARETO,sales_only_v1,draft
OMCARE 40MG WITH DILUENT,8050.0,265650.0,129104.5,7,3,150,0.001535,0.644037,A,ABC_PARETO,sales_only_v1,draft
ENOX 4000 ANTI-XA IU/0.4ML (KULANIMA HAZIR ENJEKTOR) STERIL - ENOKSAPARIN SODIUM,840.0,260400.0,910250.0,4,4,151,0.001505,0.645542,A,ABC_PARETO,sales_only_v1,draft
CIXTOR-Z 500MG,1215.0768,257813.81,635401.92,134,35,152,0.00149,0.647032,A,ABC_PARETO,sales_only_v1,draft
MAXXIVIT PLUS,453.97,254223.2,185311.58,67,17,153,0.001469,0.648502,A,ABC_PARETO,sales_only_v1,draft
SODAMPEN 1G IM/IV,5596.6683,254059.1,482129.13,39,21,154,0.001468,0.64997,A,ABC_PARETO,sales_only_v1,draft
LIFERZIN 250MG,814.5249,249533.6,244933.42,24,15,155,0.001442,0.651412,A,ABC_PARETO,sales_only_v1,draft
LUNCHEONMEAT - LIBERTY,166.67,233324.67,136675.33,1,1,156,0.001349,0.652761,A,ABC_PARETO,sales_only_v1,draft
SANOMAX-FA,416.0,232960.0,166059.36,66,21,157,0.001346,0.654107,A,ABC_PARETO,sales_only_v1,draft
LYSOL 340G,624.0,232758.0,198666.0,3,3,158,0.001345,0.655452,A,ABC_PARETO,sales_only_v1,draft
DANOXIME 750MG W/ DILUENT,1600.1691,232622.89,32658.56,3,1,159,0.001344,0.656797,A,ABC_PARETO,sales_only_v1,draft
OLXARIN 4000IU/0.4ML (40MG/0.4ML),375.0,232500.0,232290.0,3,2,160,0.001344,0.658141,A,ABC_PARETO,sales_only_v1,draft
OPTRYL EYE OINTMENT 0.5% 5G,2162.0,231334.0,332210.0,7,5,161,0.001337,0.659478,A,ABC_PARETO,sales_only_v1,draft
RAXIDINE 25MG/ML 2ML,810.8551,229720.88,539527.96,54,23,162,0.001328,0.660805,A,ABC_PARETO,sales_only_v1,draft
ATORSAPH 20MG TAB,2290.0,228805.0,249778.13,20,14,163,0.001322,0.662128,A,ABC_PARETO,sales_only_v1,draft
HYPHEN 50MG,745.5361,223790.73,412915.2,42,22,164,0.001293,0.663421,A,ABC_PARETO,sales_only_v1,draft
NINGBO DAVID STAND ALONE PHOTOTHERAPY,2.0,220000.0,224842.0,2,2,165,0.001272,0.664693,A,ABC_PARETO,sales_only_v1,draft
EMLOR PLUS 5MG/50MG,1017.0,219672.0,378989.5,132,24,166,0.00127,0.665962,A,ABC_PARETO,sales_only_v1,draft
CLOXANE 500MG,390.7188,219458.79,113715.21,18,7,167,0.001268,0.667231,A,ABC_PARETO,sales_only_v1,draft
AFENAX 100MG TAB,280.5836,217295.7,413883.01,87,25,168,0.001256,0.668487,A,ABC_PARETO,sales_only_v1,draft
MECLOP 5MG\ML,689.5539,215865.43,224414.51,37,23,169,0.001248,0.669734,A,ABC_PARETO,sales_only_v1,draft
DEXAMAX 4MG,897.8,214330.0,430282.6,17,10,170,0.001239,0.670973,A,ABC_PARETO,sales_only_v1,draft
EUROXONE 1G IV,1010.4445,213841.3,311163.98,28,17,171,0.001236,0.672209,A,ABC_PARETO,sales_only_v1,draft
SUCTION SET POOLE ABDOMINAL DRAIN - SIMPLEX,1200.0,213500.0,83100.0,6,5,172,0.001234,0.673443,A,ABC_PARETO,sales_only_v1,draft
BP APPARATUS ANEROID SPHYGMOMANOMETER (BAXTEL),86.1115,212965.21,41691.79,13,8,173,0.001231,0.674674,A,ABC_PARETO,sales_only_v1,draft
SITIXON 1G 10ML,3253.185,212807.41,214538.35,27,13,174,0.00123,0.675904,A,ABC_PARETO,sales_only_v1,draft
FERGLOBIN 250MG,654.6,212745.0,141032.51,103,32,175,0.00123,0.677133,A,ABC_PARETO,sales_only_v1,draft
URINE BAG 2000ML ADULT PIECE,11130.0,211600.0,105670.0,3,2,176,0.001223,0.678356,A,ABC_PARETO,sales_only_v1,draft
ERGON 125MCG,164.7462,210449.47,271950.08,58,25,177,0.001216,0.679573,A,ABC_PARETO,sales_only_v1,draft
TRIDEN 160MG TAB,292.0,210240.0,497324.0,88,25,178,0.001215,0.680788,A,ABC_PARETO,sales_only_v1,draft
XYNETRIX CHEWABLE TABLET,464.0,208800.0,126599.96,81,18,179,0.001207,0.681994,A,ABC_PARETO,sales_only_v1,draft
ALLECUR 10MG,408.1282,207311.82,447883.95,29,17,180,0.001198,0.683193,A,ABC_PARETO,sales_only_v1,draft
AMBILIN 500,865.5451,204824.08,421695.76,19,11,181,0.001184,0.684376,A,ABC_PARETO,sales_only_v1,draft
IV CANNULA WITHOUT INJECTION PORT LUER LOCK G26 0.6X19MM (CATHULA),88.22,204528.0,93655.6,6,4,182,0.001182,0.685559,A,ABC_PARETO,sales_only_v1,draft
LUPINSULIN R,440.0,204010.0,145415.5,6,5,183,0.001179,0.686738,A,ABC_PARETO,sales_only_v1,draft
DEHYDROSOL 250ML,259.7037,202768.48,158286.76,24,16,184,0.001172,0.68791,A,ABC_PARETO,sales_only_v1,draft
DESKTOP PCX LFH,5.0,201475.0,198500.0,1,1,185,0.001164,0.689074,A,ABC_PARETO,sales_only_v1,draft
BENERVA PLUS 500MG/50MG/100MG/100MCG,328.0,199770.0,293516.0,82,18,186,0.001155,0.690229,A,ABC_PARETO,sales_only_v1,draft
AHBAY-TOX 40IU/0.5ML IM,264.5117,197986.94,112603.04,9,5,187,0.001144,0.691373,A,ABC_PARETO,sales_only_v1,draft
BCG VACCINE 500MG/ML+1ML DILUENT IN AMPULE,6.68,197060.0,176926.0,2,1,188,0.001139,0.692512,A,ABC_PARETO,sales_only_v1,draft
METMIC 500MG,193.5315,197025.4,184718.49,83,30,189,0.001139,0.693651,A,ABC_PARETO,sales_only_v1,draft
ANMUM MATERNA PLAIN 180G,1000.0,196750.0,82250.0,1,1,190,0.001137,0.694788,A,ABC_PARETO,sales_only_v1,draft
NAXCIL-600 600MG,1060.0,196100.0,167710.8,4,4,191,0.001133,0.695921,A,ABC_PARETO,sales_only_v1,draft
DIUFED 10MG/ML (20MG/2ML) 2ML,4053.0,194544.0,140782.1,10,5,192,0.001124,0.697045,A,ABC_PARETO,sales_only_v1,draft
AMCETAM 150MG/ML 2ML,1944.301,192198.14,151361.23,25,14,193,0.001111,0.698156,A,ABC_PARETO,sales_only_v1,draft
MUCORIGHT 600MG,220.5922,191206.53,61758.33,8,3,194,0.001105,0.699261,A,ABC_PARETO,sales_only_v1,draft
ATOVAS 20MG,1045.726,191155.74,587065.74,40,20,195,0.001105,0.700366,A,ABC_PARETO,sales_only_v1,draft
EROXIME 750MG IV,242.4202,190937.47,443537.57,49,22,196,0.001104,0.70147,A,ABC_PARETO,sales_only_v1,draft
