period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-01,TRIVASC 35MG MR,Quezon,6,1,6,0,60.0,26250.0,31125.0,57375.0,23625.0,81000.0
2021-01,TRIZEF 100MG,Batangas,2,1,2,0,6.0,7636.38,24763.62,32400.0,0.0,32400.0
2021-01,TRIZINE SYRUP,Marinduque,2,1,2,0,60.0,11700.0,6900.0,18600.0,0.0,18600.0
2021-01,VOXOLL 15MG/5ML SYR,Quezon,1,1,1,0,2.0,46.0,864.0,910.0,390.0,1300.0
2021-01,XYNETRIX CHEWABLE TABLET,Batangas,1,1,1,0,1.0,450.0,500.0,950.0,0.0,950.0
2021-01,XYNETRIX CHEWABLE TABLET,Quezon,1,1,1,0,3.0,1350.0,2250.0,3600.0,0.0,3600.0
2021-02,AFENAX 100MG,Batangas,1,1,1,0,3.0,1785.0,4155.0,5940.0,0.0,5940.0
2021-02,AMPI-1,Camarines Norte,1,1,1,0,2.0,250.0,2180.0,2430.0,0.0,2430.0
2021-02,ANEROCIN 300MG,Batangas,1,1,1,0,3.0,2937.0,9663.0,12600.0,0.0,12600.0
2021-02,ANTIZOAL 5MG/ML,Cavite,2,1,2,0,100.0,2100.0,6900.0,9000.0,0.0,9000.0
2021-02,BERCEF 250MG/5ML SUS,Quezon,1,1,1,0,30.0,4046.7,2703.3,6750.0,0.0,6750.0
2021-02,BROADMETZ 100MG/ML DROPS,Camarines Sur,1,1,1,0,12.0,372.72,227.28,600.0,600.0,1200.0
2021-02,BROADMETZ 500MG CAP,Camarines Norte,1,1,1,0,7.0,2233.0,5257.0,7490.0,0.0,7490.0
2021-02,BUPIRIGHT AMPULE,Camarines Norte,2,1,2,0,28.0,5180.0,7820.0,13000.0,0.0,13000.0
2021-02,CARDIZAR 50MG,Cavite,2,1,2,0,4.0,571.44,828.56,1400.0,0.0,1400.0
2021-02,CEFUSAPH,Laguna,2,1,2,0,50.0,5600.0,8400.0,14000.0,0.0,14000.0
2021-02,CENDALEX 100MG/ML DROPS,Quezon,2,1,2,0,39.0,1209.0,3276.0,4485.0,0.0,4485.0
2021-02,CEPROTRON 500MG,Batangas,2,1,2,0,9.0,4950.0,12375.0,17325.0,0.0,17325.0
2021-02,CINNABLOC 25MG,Batangas,2,1,2,0,5.0,665.0,2085.0,2750.0,0.0,2750.0
2021-02,CINNABLOC 25MG,Camarines Norte,1,1,1,0,3.0,399.0,1101.0,1500.0,0.0,1500.0
2021-02,CINNABLOC 25MG,Quezon,1,1,1,0,2.0,266.0,434.0,700.0,300.0,1000.0
2021-02,CINNABLOC 75MG,Quezon,1,1,1,0,10.0,400.0,720.0,1120.0,480.0,1600.0
2021-02,CLOVAS 75MG,Quezon,1,1,1,0,36.0,12420.0,11880.0,24300.0,0.0,24300.0
2021-02,CORBAL 100MG,Cavite,3,1,3,0,11.0,2310.0,7890.0,10200.0,0.0,10200.0
2021-02,CORBAL 250MG,Cavite,1,1,1,0,1.0,500.0,1900.0,2400.0,0.0,2400.0
2021-02,DOLO JAGA 500MG/50MG/100MG/100MCG,Batangas,2,1,2,0,7.0,4305.0,8295.0,12600.0,0.0,12600.0
2021-02,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Norte,1,1,1,0,3.0,1845.0,2955.0,4800.0,0.0,4800.0
2021-02,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Sur,1,1,1,0,5.0,3075.0,2425.0,5500.0,0.0,5500.0
2021-02,DOLO JAGA 500MG/50MG/100MG/100MCG,Quezon,1,1,1,0,2.0,1230.0,1570.0,2800.0,1200.0,4000.0
