territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Quezon,2021-04,2020-04,245.0,45128.17,110.0,38370.51,1.227273,0.176116,False
Batangas,2021-05,2020-05,56.0,25043.77,4.0,2350.13,13.0,9.656334,False
Camarines Norte,2021-05,2020-05,206.4,62297.6,251.8,99828.28,-0.180302,-0.375952,False
Camarines Sur,2021-05,2020-05,52.0,8318.42,,,,,False
Cavite,2021-05,2020-05,59.0,15665.74,173.0,41096.29,-0.65896,-0.618804,False
Marinduque,2021-05,2020-05,174.0,43200.62,,,,,False
Quezon,2021-05,2020-05,621.0,139192.88,56.0,14462.5,10.089286,8.6244,False
Batangas,2021-06,2020-06,86.98,31919.08,141.0,35523.33,-0.383121,-0.101461,False
Camarines Norte,2021-06,2020-06,60.3,10792.5,65.16,6518.74,-0.074586,0.655611,False
Camarines Sur,2021-06,2020-06,50.0,13632.7,,,,,False
Cavite,2021-06,2020-06,131.0,16336.23,340.0,35166.37,-0.614706,-0.535459,False
Marinduque,2021-06,2020-06,22.0,10849.66,167.0,60687.77,-0.868263,-0.821222,False
Quezon,2021-06,2020-06,189.0,45085.72,456.0,97724.39,-0.585526,-0.538644,False
Batangas,2021-07,2020-07,163.0,45070.62,228.0,67799.46,-0.285088,-0.335236,False
Camarines Norte,2021-07,2020-07,171.4,48750.0,151.46,67339.62,0.131652,-0.276058,False
