product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
EGG SHELL MATTRESS (URATEX),8,41.00,61700.00,28701.97,46.52,2023,2025
NITROFURANTOIN 100MG,30,89.60,61670.12,53486.64,86.73,2018,2021
CANCARE IV CANNULA G22,2,500.50,61650.00,-448860.00,-728.08,2023,2023
LACTAMOX 156.25MG/5ML,35,296.00,61610.00,33417.80,54.24,2017,2017
"PPDC # 62,500",1,1.00,61550.00,21050.10,34.20,2025,2025
PERISPA 50MG,6,70.00,61427.00,8390.00,13.66,2025,2025
K-LYTE 600MG - DELTE,15,32.00,61380.00,34100.00,55.56,2018,2019
SYRINGE 10CC G23X1 PRIME,4,55.00,61355.00,48305.00,78.73,2023,2023
BAAMCILLIN-250 250MG,4,250.00,61275.00,35025.00,57.16,2025,2025
BETASOL 7.5MG/ML POVIDONE IODINE,4,42.00,61268.00,31568.00,51.52,2021,2023
SAPHARIN 20MG/ML,17,158.00,61253.51,36921.51,60.28,2025,2025
CEFTRINOVA 1G,4,380.00,61200.00,54740.00,89.44,2024,2025
AMIPHIL 25MG/ML AMP,5,104.00,61146.10,45546.10,74.49,2019,2020
MAXIMA IV CANNULA G 26,2,1000.00,61000.00,23000.00,37.70,2018,2018
"PAGBILAO # 61,000",1,1.00,60908.00,9621.29,15.80,2025,2025
ZINCBOS 60ML,8,880.00,60821.20,45047.20,74.07,2022,2023
IV INFUSION SET ADULT (PRIME),3,1900.00,60700.00,13200.00,21.75,2023,2023
ARNIS FLOOR MAT PUZZLE,1,29.00,60610.00,25679.50,42.37,2020,2020
ANESTIN 20MG/ML,10,125.00,60430.00,14260.00,23.60,2022,2023
SAPHCLAZIDE 60 GLICLAZIDE TABLET,1,40.00,60400.00,40600.00,67.22,2023,2023
CEFUROX 250MG/5ML 50ML,3,408.00,60339.12,16275.12,26.97,2025,2025
CLAXIC 500MG/125MG,20,27.00,60136.00,29405.82,48.90,2018,2019
ADULT CPR MANNEQUIN,1,2.00,60000.00,21000.00,35.00,2024,2024
IV CATHETER G.22 B.BRAUN,1,10.00,60000.00,0.00,0.00,2023,2023
OXYGEN TANK 15LBS,1,5.00,60000.00,44000.00,73.33,2020,2020
BACTIGRAS,1,500.00,60000.00,19500.00,32.50,2023,2023
INFANT CPR MANNEQUIN,1,2.00,60000.00,18000.00,30.00,2024,2024
GLOVES (M) - LATEX SURE GUARD,6,55.00,59960.00,48360.00,80.65,2021,2022
ERZIN 500MG TAB,1,50.00,59950.00,37450.00,62.47,2025,2025
STERILE GLOVES 6.5 - GLOMED,1,40.00,59920.00,29520.00,49.27,2023,2023
AIRCON SPLIT TYPE 1.5HP INVERTER (LG),1,1.00,59900.00,22902.00,38.23,2024,2024
CENDALEX 250MG/5ML SUS,31,373.00,59898.20,33544.80,56.00,2020,2023
LAPTOP LENOVO S145-141WL,1,1.00,59850.00,30600.00,51.13,2020,2020
LUBRICATING JELLY - SURGITECH 150G,6,186.00,59830.00,32510.00,54.34,2021,2023
LUBRICATING JELLY 3G (ORMED),1,20.00,59700.00,40700.00,68.17,2025,2025
ISOLATION GOWN QUANTUM,1,752.00,59408.00,22560.00,37.97,2023,2023
ZURENIX 500MG TAB,1,100.00,59400.00,0.00,0.00,2019,2019
IV CANNULA G24 - CAN CARE / BOX,4,12.00,59400.00,35100.00,59.09,2022,2023
ELCILIN,7,194.00,59395.00,21565.00,36.31,2023,2023
MICROPORE 0.5X10 1.25CMX9.1M (3M),5,65.00,59381.00,23631.00,39.80,2023,2024
EMZART 80,15,75.00,59334.00,40062.00,67.52,2023,2023
IV CANNULA 18G - CAREPLUS,1,30.00,59160.00,29160.00,49.29,2025,2025
HARD COPY SUB#20 A4,9,270.00,59050.00,6805.00,11.52,2023,2023
COMPUTER WITH PRINTER,1,1.00,59000.00,0.00,0.00,2019,2019
SAPHIXIME-200 200MG,8,246.67,58849.50,1616.50,2.75,2024,2025
INOX 100MG,1,30.00,58800.00,18870.00,32.09,2025,2025
KETROM 30MG/ML,11,124.00,58781.20,50669.20,86.20,2019,2020
FOLEY CATHETER 2WAY FR16 30ML (PARTNERS),14,1050.00,58700.00,18800.00,32.03,2023,2025
GLOVES (SML) HCD,2,202.00,58600.00,27900.00,47.61,2020,2022
GLOVES (S) - DR. CHOICE,33,175.00,58550.00,35800.00,61.14,2018,2020
ZINACARE W/O DILUENT,8,610.00,58460.00,47480.00,81.22,2018,2018
KLARITHIX 500MG TAB,8,32.80,58316.00,52618.25,90.23,2019,2020
ZYOM 40MG,2,300.00,58200.00,47700.00,81.96,2023,2023
STERILE WATER FOR INJECTION 50ML,1,50.00,58000.00,0.00,0.00,2019,2019
ROCIEM 10MG/ML (50MG/5ML) IV,1,10.00,58000.00,19000.00,32.76,2023,2023
LACTATED RINGERS SOLUTION EUROMED,3,840.00,57960.00,0.00,0.00,2023,2023
ENOCEE 500MG TAB,3,201.00,57900.00,47572.56,82.16,2023,2025
FACE SHIELD 150PHP,1,385.00,57750.00,48125.00,83.33,2021,2021
NEBULIZER MASK ADULT,1,350.00,57750.00,42000.00,72.73,2022,2022
BERCEF 50MG/ML,35,409.00,57721.00,40543.00,70.24,2018,2023
GLOVES (MD) HCD,1,200.00,57600.00,27600.00,47.92,2020,2020
HYOSUR 20MG/ML,4,169.00,57460.00,27547.00,47.94,2024,2025
"PAGBILAO # 57,540",1,1.00,57330.00,19600.28,34.19,2025,2025
BECOME PLEX,7,117.00,57220.00,42478.00,74.24,2020,2022
LATEX FOLEY BALLOON CATHETER SILICONE COATED 2 WAY FR.16 - SIMPLEX,2,745.00,57115.00,27315.00,47.82,2022,2023
ZINC VITA SYRUP,7,813.00,57027.28,42084.63,73.80,2019,2020
OFLOBIZ 3MG/ML (0.3%) 5ML,1,200.00,57000.00,17600.00,30.88,2025,2025
CEFAZOBAS,9,381.00,56930.00,14000.00,24.59,2018,2019
METOCLOR 10MG/2ML AMP,10,682.00,56855.00,1595.13,2.81,2019,2019
NICTRAM 50MG/ML,38,60.50,56794.50,24370.00,42.91,2018,2019
ROST-20 20MGTAB,12,66.00,56553.00,14694.50,25.98,2019,2023
TRIZEF 200MG,5,6.00,56500.00,46900.00,83.01,2022,2023
OMEPZOL 20MG,12,35.00,56297.00,52937.00,94.03,2019,2021
MYREFEN 500MG,6,111.00,56275.00,47655.00,84.68,2020,2023
DISPOSABLE SYRINGE 3CC - TERUMO,4,53.50,56250.00,29283.33,52.06,2020,2023
GIOCILLIN 500MG,2,200.00,56195.00,29195.00,51.95,2025,2025
DIGITAL BP - OMRON,3,7.00,56047.60,31547.60,56.29,2020,2020
NERVAPLEX 500MG/50MG/100MG/100MCG,14,33.00,56025.00,37269.90,66.52,2017,2017
CLINDEX 150MG/ML,2,15.00,56015.00,47315.00,84.47,2020,2020
KOXIB 200MG CAP,4,20.00,56000.00,37500.00,66.96,2025,2025
NOVAMOL 100MG,9,1471.00,55966.00,37772.50,67.49,2019,2021
0.9% SODIUM CHLORIDE,3,711.00,55940.00,27855.50,49.80,2022,2023
"PHO # 56,500-1",1,1.00,55935.00,19129.77,34.20,2025,2025
EMICOX 200MG CAP,11,184.00,55910.50,18646.50,33.35,2024,2025
"PAGBILAO # 56,239",1,1.00,55768.00,19072.66,34.20,2025,2025
LIFERZIN 250MG IV,6,80.00,55750.00,41830.00,75.03,2023,2024
RAHMACIN 500MG,4,45.60,55750.00,27734.00,49.75,2021,2023
AZITAS 200MG/5ML,2,150.00,55600.00,45050.00,81.03,2022,2023
CLAVIC 500MG,9,197.00,55550.00,32078.00,57.75,2017,2017
EPROSENZ SYRINGE 4000IU/0.5ML,1,3.00,55500.00,39000.00,70.27,2019,2019
POVIDONE IODINE 7.5% - MEDICROSS,4,45.00,55430.00,26180.00,47.23,2021,2023
"PESO # 55,000.00",1,1.00,55350.00,18929.70,34.20,2025,2025
MYREMOL 250MG,3,448.00,55311.36,46015.36,83.19,2019,2019
"IV CANNULA G.24 WINGED G24 X 1/4"" - B BRAUN",1,8.00,55200.00,37600.00,68.12,2023,2023
ROSVA 10-10MG,14,75.00,55155.00,36405.00,66.00,2025,2025
ROSULIP 20MG,16,80.00,55038.25,34118.25,61.99,2018,2020
EMICOX 200MG,7,107.00,55000.00,35794.00,65.08,2023,2024
LUPINSULIN 30:70 (30IU/70IU/ML) 10ML,1,100.00,55000.00,9800.00,17.82,2023,2023
DISPOSABLE SYRINGE WITH NEEDLE 25GX5/8 1CC/ML SUREGUARD,1,50.00,55000.00,42500.00,77.27,2023,2023
TOOTHBRUSH KIDDIE COLGATE,2,1400.00,54950.00,35980.00,65.48,2023,2023
AMOLTEX 2MG/5ML SYR,38,1517.00,54843.85,1051.00,1.92,2018,2023
SAPHLOR-100,6,130.00,54800.00,34400.00,62.77,2022,2023
LAZICARE 10MG,11,90.00,54778.80,50408.80,92.02,2022,2023
CO-AMOXICARE 500MG/125MG,7,109.00,54683.00,14782.62,27.03,2020,2021
ERZOL 5MG/ML (500MG/100ML) 100ML,4,2250.00,54580.00,20830.00,38.16,2025,2025
EXAMINATION LATEX GLOVES MEDIUM,2,205.00,54525.00,17625.00,32.32,2023,2023
LEIVICLOX 250MG,14,330.00,54480.00,32040.00,58.81,2018,2018
ZANTRACID 25MG/ML,5,37.10,54470.00,53171.50,97.62,2018,2019
SANOVIZ OB PLUS,6,33.00,54461.00,37136.00,68.19,2022,2025
LOPIDEX 25MG,2,70.00,54450.00,0.00,0.00,2019,2019
HYDROBET 250MG,8,26.00,54400.00,46960.95,86.33,2018,2020
KETOLOG 600MG,4,8.00,54400.00,20000.00,36.76,2018,2018
OPRA-40 40MG,9,37.00,54396.00,37579.50,69.09,2024,2025
IV CANNULA G22 - CATHULA,3,17.00,54300.00,19300.00,35.54,2022,2023
SORBIFER DURULES 310MG,4,47.00,54250.00,15092.42,27.82,2023,2025
HYCLENS WOUND SPRAY 2% 120ML BOV,7,107.00,54230.00,12286.00,22.66,2024,2025
ROSADOC 20MG,7,339.00,54180.00,38020.00,70.17,2017,2018
ALCOHOL 500ML,3,456.00,54020.00,0.00,0.00,2019,2019
TORVASTATIN 40MG,4,120.00,54000.00,35400.00,65.56,2025,2025
BP APPARATUS STAND TYPE,1,3.00,54000.00,45600.00,84.44,2022,2022
TOOTHBRUSH COLGATE ADULT,1,1200.00,53962.44,39790.44,73.74,2021,2021
CLAVIC 125MG/31.25MG/5ML,31,259.00,53872.00,32504.40,60.34,2017,2019
INHIBITA 40MG CAP,8,106.00,53857.00,18347.00,34.07,2023,2025
MUPIROW 20MG,1,500.00,53850.00,29850.00,55.43,2022,2022
DULXATIVE 10MG,8,468.00,53840.00,-116044.00,-215.53,2023,2025
PARA500,22,329.00,53781.50,33383.50,62.07,2022,2023
AERO-VENT 1MG/ML (2.5MG/2.5ML),9,125.66,53777.50,20382.50,37.90,2023,2024
"PAGBILAO # 54,000.00",1,1.00,53595.00,16865.00,31.47,2025,2025
ACURIUM 10MG/ML,5,36.00,53040.00,18540.00,34.95,2018,2019
ATV PLUS 5MG/10MG,3,53.00,53000.00,42750.00,80.66,2024,2025
PROCARV,4,49.00,53000.00,35115.00,66.25,2017,2017
BIOMEF 500MG TAB,4,45.00,52925.00,49775.00,94.05,2020,2020
"PAGBILAO # 53,000",1,1.00,52920.00,18098.64,34.20,2025,2025
ULTREINAC-200 200MG SOL,2,278.00,52820.00,30580.00,57.89,2019,2019
GLUTARALDEHYDE SOL. AIDEX GAL,1,20.00,52800.00,0.00,0.00,2019,2019
ROSEMIDE 10MG/ML (20MG/2ML) 2ML,13,96.00,52760.00,47192.00,89.45,2023,2024
ZONROX COLOR SAFE 900ML,3,473.00,52738.00,25191.05,47.77,2021,2023
FORTIS VITAMIN,6,170.00,52695.00,44365.00,84.19,2022,2023
KELLY CURVED 8'' (OLTEN),3,66.00,52650.00,20442.00,38.83,2025,2025
KELLY STRAIGHT 8'' (OLTEN),3,66.00,52620.00,20412.00,38.79,2025,2025
PIDCLIN 100MG,1,300.00,52500.00,7500.00,14.29,2024,2024
MULTIMEEDS,10,1135.00,52468.00,41452.00,79.00,2017,2019
AZITHROM,16,210.33,52403.00,29438.00,56.18,2022,2023
"T-SHIRT ORDINARY (S,M,L,XL,2XL)",1,150.00,52350.00,19350.00,36.96,2023,2023
"PAGBILAO # 52,500.00",1,1.00,52312.50,17890.87,34.20,2025,2025
FENO-T6 160MG,1,67.00,52253.30,44883.30,85.90,2025,2025
TRIZINE FORTE,7,18.00,52200.00,27900.00,53.45,2018,2018
DISPOSABLE INFUSION SET ADULT 20MACRODROPS/ML (HEXACARE),7,1850.00,52114.50,36574.50,70.18,2025,2025
ISOPROPHYL ALCOHOL 70% GALLON (ALCORADE),1,100.00,52100.00,29100.00,55.85,2023,2023
NYESECOD 50MG,3,28.00,51975.00,32515.00,62.56,2022,2022
LOSAGAN 50MG,2,10.30,51970.00,11930.00,22.96,2019,2020
CETICIT 10MG,13,65.00,51947.00,49597.00,95.48,2021,2022
ULTREINAC 200MG,4,130.00,51897.16,41497.16,79.96,2020,2022
TOOTHPASTE COLGATE 37G,1,700.00,51800.00,20300.00,39.19,2023,2023
TOOTHPASTE CLOSE UP RED 50ML,1,700.00,51800.00,0.00,0.00,2023,2023
LACTAMOX 312.5MG/5ML,19,155.00,51762.00,30436.30,58.80,2017,2017
MYREVIT 100MG 60ML SYRU[,2,1045.00,51700.00,38115.00,73.72,2019,2019
CO-AMOXISAPH 250MG,3,91.00,51670.00,47083.50,91.12,2019,2020
"PAGBILAO # 51,675.00",1,1.00,51428.00,17588.38,34.20,2025,2025
BROADMETZ 250MG/5ML,36,504.00,51415.00,31421.25,61.11,2017,2020
GIOCILLIN 1G,5,52.00,51360.00,35017.96,68.18,2023,2023
CLINDOLLEN 150MG/ML (300MG/2ML) 2ML,1,20.00,51300.00,38320.00,74.70,2024,2024
LUBRICATING JELLY 3G SACHET - SURGITECH,17,34.00,51245.00,30495.00,59.51,2018,2023
"QMC # 51,320",1,1.00,51240.00,25580.00,49.92,2025,2025
CLIN-GEN 300MG CAP,9,80.00,51238.75,23188.75,45.26,2023,2025
"PAGBILAO # 51,261.00 LOT 1",1,1.00,51160.00,21732.95,42.48,2024,2024
REGIVIT 60ML,6,688.00,50978.00,16390.00,32.15,2019,2021
STERICORT 250MG,2,28.00,50906.80,24459.40,48.05,2018,2018
NITROFURANTOIN 100MG CAP,28,71.79,50869.71,37229.61,73.19,2018,2019
NEEDLE HOLDER SIZE 6'' (OLTEN),2,40.00,50800.00,36000.00,70.87,2025,2025
EVENING PRIMROSE SOFTGEL,5,30.00,50752.00,5710.00,11.25,2018,2019
DISPOSABLE DIAPER ADULT LARGE (HEXACARE),3,210.00,50708.80,9968.80,19.66,2024,2025
PORSROSE 20MG/ML (100MG/5ML) 5ML,3,120.00,50706.00,16506.00,32.55,2025,2025
STERILE WATER 50ML PARENTERAL,18,570.80,50659.00,34962.00,69.01,2018,2020
ZONROX ORIGINAL 1/2 GALON,1,460.00,50600.00,18565.60,36.69,2021,2021
SURE GUARD LATEX SURGICAL GLOVES 7.0,3,37.00,50531.00,22781.00,45.08,2023,2023
X-RAY FILM 14X14 (FUJI),3,10.00,50465.00,4205.00,8.33,2025,2025
ACCEDIAZINE 10MG/G (1% W/W) 25G,1,365.00,50370.00,27375.00,54.35,2025,2025
"PAGBILAO # 34,405.00",2,2.00,50365.00,6009.00,11.93,2024,2024
MULTI-GROW 30ML,11,272.00,50356.00,31316.00,62.19,2023,2025
FLUCYSTEINE-600 600MG 6G,7,300.00,50160.00,21920.00,43.70,2023,2025
SILVERDEX 10MG,7,272.00,50134.00,35446.00,70.70,2022,2023
IV CANNULALUER LOCK G26 0.6X19MM (BD),2,5.00,50000.00,30000.00,60.00,2024,2024
GANG CHAIR 5 SEATER,1,2.00,50000.00,33000.00,66.00,2022,2022
PERSONAL PROTECTIVE EQUIPMENT COVER ALL (3M),1,50.00,50000.00,20000.00,40.00,2023,2023
"PAGBILAO # 50,000-1",1,1.00,49950.00,17082.90,34.20,2025,2025
GROCERY PRODUCT (RICE/CANNED GOODS),1,50.00,49950.00,23680.00,47.41,2023,2023
AFFORVIT,34,63.00,49842.00,37053.00,74.34,2017,2019
CLODIN 75MG TAB,10,25.00,49832.00,35718.60,71.68,2019,2020
"PPDC # 50,000",1,1.00,49820.00,17038.44,34.20,2025,2025
"PAGBILAO # 50,000",1,1.00,49810.00,17035.02,34.20,2025,2025
SQCEF 125MG,3,202.00,49800.00,31304.00,62.86,2020,2022
GALAXY TABLET S7 FESM-T733NLGEXTC,1,1.00,49800.00,20310.00,40.78,2023,2023
E-DOL AMPULE,1,30.00,49800.00,0.00,0.00,2020,2020
COCINE 250MG/ML (500MG/2ML),4,93.00,49662.50,-4277.50,-8.61,2025,2025
"PAGBILAO # 49,960",1,1.00,49624.50,21845.00,44.02,2025,2025
CORSIN-600 150MG/ML (600MG/4ML) 4ML,8,170.00,49605.00,35155.00,70.87,2023,2024
PARTEN 50MG,43,86.00,49550.88,18848.44,38.04,2018,2019
"PPDC # 50,000.00",1,1.00,49500.00,0.00,0.00,2025,2025
EXAMINATION LATEX GLOVES SMALL,1,200.00,49400.00,13400.00,27.13,2023,2023
RICHARDSON EASTMAN RETRACTOR SET OF 2PCS,3,20.00,49370.00,21950.00,44.46,2025,2025
IV CANNULA 22G - HEXACARE,3,25.00,49300.00,31800.00,64.50,2025,2025
DOTHIX 100MG,4,170.00,49290.00,24470.00,49.65,2024,2025
INSULIN SYRINGE WITH NEEDLE 1CC 29GX1/2 TERUMO,9,50.00,49237.00,11187.00,22.72,2021,2023
"PAGBILAO # 49,290",1,1.00,49120.00,15272.46,31.09,2025,2025
EUROZYLLIN 250MG,2,2000.00,49020.00,19020.00,38.80,2025,2025
CLOBECHEM 500MCG/G (0.05% W/W) 5G,1,700.00,49000.00,14140.00,28.86,2025,2025
HEPARIN LOCKS,3,7.00,49000.00,41500.00,84.69,2021,2022
KETERO,4,62.00,49000.00,44040.00,89.88,2018,2018
AMBILIN 500-500MG,1,100.00,49000.00,37000.00,75.51,2025,2025
GLOVES 7 PROTEXIS,2,17.00,48900.00,5600.00,11.45,2019,2020
CELEKOP 200MG,4,90.00,48700.00,37000.00,75.98,2023,2023
METACORT 4MG/ML (8MG/2ML) 2ML,3,160.00,48595.00,-31405.00,-64.63,2025,2025
NASOGASTRIC TUBE FR 16 (PARTNERS),1,150.00,48591.00,24591.00,50.61,2024,2024
NASOGASTRIC TUBE FR 18 (PARTNERS),1,150.00,48591.00,24591.00,50.61,2024,2024
"GULANG GULANG # 48,525.00",1,1.00,48525.00,16175.00,33.33,2025,2025
BABY WASH 100ML (JOHNSON),19,585.00,48485.00,14851.25,30.63,2023,2025
APULDON 10MG,16,50.00,48430.70,44385.70,91.65,2020,2022
DISPOSABLE SYRINGE (10CC/ML) 23GX1 LUER LOCK - DELCARE,4,35.00,48380.00,39630.00,81.91,2022,2023
ACCEDOME 1MG/ML,4,341.00,48349.00,32845.00,67.93,2020,2022
"QMC # 130,994.00",1,1.00,48262.00,-44567.00,-92.34,2025,2025
"LEUKOPLAST 2"" (5CMX5M)",11,110.00,48240.00,16275.00,33.74,2018,2020
4 BURNER ELECTRIC OVEN - PO G2680,1,1.00,48200.00,37560.00,77.93,2020,2020
KIDNEY BASIN STAINLESS STEEL 10'' (OLTEN),2,50.00,48085.00,23185.00,48.22,2025,2025
"IV CANNULA WINGED G.22 X 1"" INTROCAN SAFETY - B BRAUN",1,8.00,48000.00,11600.00,24.17,2023,2023
NEBULIZER KIT ORMED,1,10.00,48000.00,20500.00,42.71,2020,2020
RETABETASOL 500MCG/G(0.5%W/W),1,150.00,48000.00,41400.00,86.25,2025,2025
ALCORIGHT ISOPROPYL ALCOHOL,1,400.00,48000.00,12000.00,25.00,2023,2023
GLOVES 7.5 ( STERILE / POWDERED) - DR. CARE,1,20.00,47940.00,30940.00,64.54,2021,2021
"PAGBILAO # 48,000",1,1.00,47928.00,16391.38,34.20,2025,2025
TOOTHPASTE CLOSE-UP GREEN 50ML,3,650.00,47889.00,18151.50,37.90,2021,2021
CLINDAPHIL-600 150MG/ML (600MG/4ML) 4ML,1,40.00,47888.00,20488.00,42.78,2025,2025
DEXTROSE 50ML,2,26.00,47780.00,13980.00,29.26,2022,2023
"PAGBILAO # 88,528.00 LOT 3",1,1.00,47751.00,-579.50,-1.21,2024,2024
HYOSAPH 10MG TAB,18,64.50,47637.00,22850.34,47.97,2018,2023
STERILE LATEX SURGICAL GLOVES #7,2,30.00,47550.00,25050.00,52.68,2022,2022
ZETIFEN 250MG/5ML SYR,59,566.00,47528.30,1886.35,3.97,2018,2021
MOP - ORDINARY,1,96.00,47520.00,32640.00,68.69,2021,2021
"PAGBILAO # 69,660.00",1,1.00,47520.00,9755.50,20.53,2024,2024
DULCOLAX 10MG (ADULT),2,1000.00,47500.00,0.00,0.00,2019,2019
DULCOLAX 10MG (PEDIA),2,1000.00,47500.00,0.00,0.00,2019,2019
KEEF 250,4,156.00,47476.00,37195.00,78.34,2018,2019
VICOLAX 50MG/1MG/5ML SYR,34,592.00,47465.30,25691.54,54.13,2018,2020
EXECORE 500MG,8,474.00,47306.00,27518.00,58.17,2023,2023
CLONIN 75MCG,5,94.00,47290.50,16806.00,35.54,2018,2019
BETASOL 10% SOLUTION ANTISEPTIC,4,36.00,47290.00,25610.00,54.16,2021,2022
CATAMED 75MCG,8,42.00,47274.00,35506.00,75.11,2023,2025
DEXTAR-S 4MG/ML 2ML,4,130.00,47243.00,-7357.00,-15.57,2025,2025
BUTADIL 2MG/5ML,24,650.00,47138.00,8066.64,17.11,2018,2021
TOOTHBRUSH - COLGATE CLASSIC CHILD,2,1100.00,47100.00,18635.00,39.56,2021,2022
OSTEO-PRO 750MG/10IU/10MG,29,41.00,47003.00,29897.99,63.61,2017,2019
BLOOD URIC ACID TEST STRIPS (EASYTOUCH),2,43.00,47003.00,13463.00,28.64,2023,2024
"PAGBILAO # 71,000",1,1.00,46945.00,16055.19,34.20,2025,2025
HARBIPEN 1M,5,116.00,46930.00,29928.00,63.77,2017,2018
"PAGBILAO # 47,375",1,1.00,46896.25,31171.25,66.47,2024,2024
"ALLIS TEETH 5X6, 7 1/2''",2,60.00,46800.00,17520.00,37.44,2025,2025
DIGITAL CAMERA - 24.1 MP CANON,1,1.00,46750.00,30755.00,65.79,2020,2020
KALIGEN 750MG,3,12.00,46690.00,33409.20,71.56,2024,2025
AEROX 500MG TAB,1,150.00,46485.00,32535.00,69.99,2025,2025
MONTESUR 10MG,4,71.67,46474.00,2559.00,5.51,2019,2020
MULTILEM 100MG-DROPS,8,1262.00,46368.00,23672.00,51.05,2020,2023
TERMAGEN 100MG/ML,43,656.00,46348.00,27070.73,58.41,2018,2022
MOLNUPIRAVIR 400MG,10,180.00,46300.00,13900.00,30.02,2022,2022
ALVICA TRAUMA RECOVERY GEL ICE,29,115.00,46217.23,31701.33,68.59,2018,2019
NERVCARE 1G,4,14.00,46200.00,15660.00,33.90,2017,2018
GENERIC CEFIXIME 20MG DROPS,3,343.00,46149.00,25209.00,54.63,2020,2022
OXYGEN CANNULA ADULT HEXACARE,2,620.00,46070.00,32430.00,70.39,2023,2024
CEFIXIME 100MG/5ML SUSP EMACIF,1,400.00,46000.00,9200.00,20.00,2023,2023
CORBIMAX 500MG,1,200.00,46000.00,36400.00,79.13,2025,2025
PAPER TOWEL 175PULL-UPS (FEMME),15,550.00,45995.00,16815.00,36.56,2023,2025
"PAGBILAO # 325,000.00",1,1.00,45990.00,-169176.75,-367.86,2024,2024
"QMC # 49,855.00",1,1.00,45912.50,12278.50,26.74,2024,2024
PLAZIMIDE,3,149.00,45900.00,40163.50,87.50,2019,2019
"PAGBILAO # 46,000.00",1,1.00,45800.00,10200.00,22.27,2024,2024
REGIVIT 120ML,2,360.00,45734.40,36014.40,78.75,2021,2021
"TOURISM # 45,820",1,1.00,45550.00,13335.20,29.28,2025,2025
VALERI 1MG/G (0.1% W/W) 10G,2,650.00,45500.00,24700.00,54.29,2025,2025
FACEMASK BLUE,10,294.00,45218.00,33578.00,74.26,2023,2023
"PAGBILAO # 45,500.00",1,1.00,45110.00,18269.55,40.50,2024,2024
TOLLMAN 20MG,3,260.00,45020.00,26400.00,58.64,2020,2023
UNDERPADS MEDPRO,1,150.00,45000.00,0.00,0.00,2019,2019
ZICEF,1,300.00,45000.00,39750.00,88.33,2017,2017
CANON PRINTER,1,3.00,44985.00,24000.00,53.35,2022,2022
ZINLUM 10MG/ML SYRUP (ORAL DROPS),7,523.00,44949.04,35657.04,79.33,2021,2022
MEOXICLAV-DS 457MG/5ML 70ML,8,148.00,44863.75,21682.75,48.33,2023,2025
"PAGBILAO # 45,000",1,1.00,44850.00,31050.00,69.23,2025,2025
BROADMETZ 500MG CAP,16,44.00,44764.00,31047.00,69.36,2021,2023
FULVAST 40MG,3,22.00,44680.00,38256.00,85.62,2020,2021
BLOOD CONNECTING YELLOW TOP,4,39.00,44542.00,28824.00,64.71,2022,2023
TOSYLAM 375MG,7,15.00,44500.00,7810.00,17.55,2017,2018
TERMAGEN 250MG/5ML,48,2519.00,44422.80,27666.65,62.28,2017,2019
NUPIRA 1MG/ML (4MG/4ML),2,22.00,44360.00,14160.00,31.92,2023,2025
X-RAY CASETTE : 14X14 WITH INTENSIFY SCREEN FUJI,2,2.00,44245.00,9055.00,20.47,2025,2025
HEMAQUICK STAIN - MEDIC,5,7.00,44234.00,24038.00,54.34,2020,2023
"PAGBILAO # 443,131.29",1,1.00,44132.00,-219173.35,-496.63,2024,2024
"GULANG GULANG # 44,080.00",1,1.00,44080.00,9404.00,21.33,2025,2025
GENERIC AMLODIPINE 5MG,5,50.00,44028.00,43178.00,98.07,2020,2020
CINNABLOC 25MG TAB,23,81.19,43971.00,27733.00,63.07,2023,2024
"PAGBILAO # 43,790.00",1,1.00,43790.00,18288.28,41.76,2024,2024
TOOTHPASTE CLOSE-UP RED 50ML,2,718.00,43708.50,11039.50,25.26,2021,2022
COFFEE GREAT TASTE PREMIUM 25G,1,2000.00,43700.00,9700.00,22.20,2021,2021
ISOLYTE 30MG TAB,9,76.00,43685.25,24965.25,57.15,2024,2025
FREDTOR 40MG,5,89.00,43586.00,28241.00,64.79,2023,2025
EUROZINE 20MG,10,78.00,43500.00,30580.00,70.30,2021,2023
CORVI PLUS 1MG/50MG,38,393.00,43479.00,15926.40,36.63,2017,2019
IV CANNULA 24G - HEXACARE,3,22.00,43384.00,25784.00,59.43,2025,2025
GAUZE PAD STERILE 4''X8''X8PLY 28X24 MESH (PARTNERS),2,158.00,43370.00,22830.00,52.64,2025,2025
"PAGBILAO # 500,000.00",1,1.00,43200.00,-183526.00,-424.83,2024,2024
MAZINE 10MG,3,567.00,43192.00,13708.00,31.74,2023,2023
TRANCE 500MG,10,77.00,43180.00,33555.00,77.71,2018,2019
POVIDONE 10% SOLUTION ANTISEPTIC (BETASOL ),4,35.00,43140.00,13390.00,31.04,2023,2023
PREGNANCY TEST,9,754.00,43092.50,6720.00,15.59,2018,2019
ALGICAP 50MG/5ML SUS,61,585.00,43074.92,28678.07,66.58,2018,2019
BUFEN 200MG/5ML,25,372.00,43047.85,25377.85,58.95,2023,2025
UNDER PADS FOR ADULTS,2,220.00,43000.00,14400.00,33.49,2023,2023
ERCEFLORA 5ML,5,51.00,42972.00,13020.00,30.30,2018,2019
"PAGBILAO # 147,528.00",1,1.00,42944.00,-53751.00,-125.17,2025,2025
TRANSPORE 3M 1527-1,4,33.00,42900.00,16500.00,38.46,2021,2021
JAGAPLEX 120ML,25,274.00,42870.00,29475.00,68.75,2017,2023
NASAL OXYGEN CANNULA ADULT (HEXACARE),3,1350.00,42788.00,13088.00,30.59,2023,2025
