product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
IV CANNULA WITH INJECTION PORT LUER LOCK G24 0.7X19MM (CATHULA),11,156.18,527888.40,160256.40,30.36,2024,2025
DIFLOSID 75MG/3ML,94,833.00,523316.00,335593.71,64.13,2018,2023
RAXIDINE 25MG/ML 2ML,50,810.00,521342.50,433592.50,83.17,2023,2025
HYDROCORTIBAS 100MG VIAL,12,1470.00,521056.00,144736.00,27.78,2024,2025
EMZART-80 80MG,65,605.00,521018.00,361298.00,69.34,2023,2025
COVER ALL SUIT,1,180.00,520020.00,356220.00,68.50,2020,2020
MUCOLIFAR 500MG,62,156.00,517800.00,388100.00,74.95,2022,2025
SMACK LABORATORY GOWN,2,1300.00,517400.00,322400.00,62.31,2022,2023
ZELEX 200MG CAP,70,193.00,513250.00,334725.00,65.22,2023,2025
HYPRO 10MG/20ML,29,1035.00,511525.00,320725.00,62.70,2018,2023
APCEE 500MG,16,766.00,507952.50,320282.50,63.05,2020,2021
NUTRIBOARD WITHOUT BAG,1,100.00,499900.00,129900.00,25.99,2024,2024
SII-TO-VAC 0.5ML,2,650.00,498250.00,140750.00,28.25,2025,2025
LYSOL PROFESSIONAL DISINFECTANT LIQUID 5L,1,150.00,498000.00,88909.50,17.85,2021,2021
"PAGBILAO # 500,000",1,1.00,498000.00,179162.00,35.98,2025,2025
ROCIN 150,38,252.00,496350.00,328730.00,66.23,2018,2019
BENERVA PLUS 500MG/50MG/100MG/100MCG,82,328.00,493286.00,293516.00,59.50,2023,2025
HYPHEN 50MG AMP,11,501.00,485280.50,34355.85,7.08,2018,2019
CHROMOGENIC ENZYME SUBSTRATE TEST (COLIKAT RAPID),4,12.00,484390.00,138790.00,28.65,2024,2025
DIGITAL THERMOMETER - ADVAN,14,2026.00,483720.00,358772.00,74.17,2021,2023
UV LIGHT GERMICIDAL STERILIZER - TROLLEY,2,13.00,479500.00,413053.00,86.14,2021,2022
ENOCEE 500MG,65,1496.00,467820.33,393240.97,84.06,2020,2023
ENCLOXIL 500MG,112,484.00,467025.26,189332.26,40.54,2017,2025
MULTI GROW 120ML,152,2427.00,464923.20,240901.53,51.82,2017,2023
OLXARIN 4000IU/0.4ML (40MG/0.4ML),3,375.00,464790.00,232290.00,49.98,2025,2025
JAGA 300MG/100MG/100MCG CAP,127,338.00,464402.50,285262.50,61.43,2023,2025
ZAFEX 500MG,100,189.00,463115.00,236765.00,51.12,2018,2019
VITASTRONG SOFTGEL,46,190.00,459293.00,299573.00,65.22,2017,2019
HYCLENS 0.12% GARGLE 60ML,28,1794.00,456638.51,340093.51,74.48,2019,2020
LANTIDIN 50MG,12,32.30,456525.60,389895.28,85.40,2018,2020
AMCETAM 150MG/2ML,43,1519.70,453540.94,387121.45,85.36,2018,2023
EUROXIME 500MG,97,203.00,451960.00,143272.30,31.70,2017,2018
IM70 PATIENT MONITOR W/ CAPNOGRAPH,1,1.00,450000.00,170000.00,37.78,2021,2021
SPASMOCIN 20MG/1ML AMP,8,2089.00,447130.00,268710.00,60.10,2019,2023
IV CANNULA WITH WINGS LUER LOCK G22 .8X25MM (CATHULA),8,132.20,446836.00,155996.00,34.91,2024,2025
IMATET,18,473.50,446745.00,171420.00,38.37,2019,2021
MULTI GROW OB PLUS,93,387.00,444560.50,265676.88,59.76,2017,2023
CIUMADE,108,629.00,443709.61,162909.61,36.72,2022,2025
CLOXANE 500MG CAP,59,661.00,442352.19,305285.39,69.01,2018,2023
"PAGBILAO # 444,400.00",1,1.00,442288.00,154888.00,35.02,2024,2024
EXEL 500MG CAP,26,563.00,441709.00,96889.90,21.94,2019,2023
VITACORE 100MG,42,440.00,437603.00,370734.00,84.72,2018,2023
EPIX 1MG/ML IV,44,616.00,436625.00,335935.00,76.94,2023,2025
KETOROBAS 30MG,34,418.00,435768.78,183528.78,42.12,2018,2023
LYSOL 340G,3,624.00,431424.00,198666.00,46.05,2021,2022
DALINC 150MG/ML (600MG/4ML) 4ML,4,720.00,430992.00,250992.00,58.24,2025,2025
EXEL 100MG,22,362.00,428259.30,327278.30,76.42,2019,2023
ENERGEL SOFTGEL,84,245.75,427680.80,288356.15,67.42,2017,2021
SHARJVAX 3000 I.U. / 0.95ML,1,150.00,427500.00,247500.00,57.89,2021,2021
"QMC # 559,400.00",1,1.00,424760.00,145060.00,34.15,2025,2025
RENOKET 600MG,13,90.86,424164.29,186861.48,44.05,2018,2020
APREZAL 20MG/ML AMP,30,135.00,423400.00,192643.73,45.50,2018,2023
CLOVAS 75MG TAB,15,305.00,422508.00,311735.40,73.78,2023,2025
CEFOLAN 1G,7,2140.00,422400.00,360180.00,85.27,2018,2020
AMBILIN 500,16,855.00,420990.00,346090.00,82.21,2021,2023
CEFEXIL 500MG,77,241.24,418948.40,156100.00,37.26,2017,2018
BICOTEX,10,1593.40,418092.00,219767.00,52.56,2018,2020
POPICIN,10,893.50,412965.00,343782.50,83.25,2019,2021
METMIC 500MG,247,580.00,412791.25,280089.38,67.85,2017,2023
