data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2023,7,6,Batangas,DR 025238,2023-02-18,SITIXON 1G,60,54,3240,0,3240,36,2160,1080,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2023,8,6,Batangas,DR 025238,2023-02-18,OPREX 40MG,5,500,2500,0,2500,250,1250,1250,0.5
raw_sales_report,Sales Report.xlsx,2023,9,6,Batangas,DR 025238,2023-02-18,ZINACARE 750MG WITH DILUENT,80,52,4160,0,4160,26,2080,2080,0.5
raw_sales_report,Sales Report.xlsx,2023,10,6,Batangas,DR 025237,2023-02-18,TRIZEF 100MG,3,5400,16200,0,16200,1400,4200,12000,0.7407407407407407
raw_sales_report,Sales Report.xlsx,2023,11,6,Batangas,DR 025236,2023-02-18,DOLO JAGA 500MG/50MG/100MG/100MCG,5,1800,9000,0,9000,615,3075,5925,0.6583333333333333
raw_sales_report,Sales Report.xlsx,2023,12,6,Batangas,DR 025246,2023-02-25,ZELEX 200MG,2,2500,5000,0,5000,925,1850,3150,0.63
raw_sales_report,Sales Report.xlsx,2023,13,6,Batangas,DR 025245,2023-02-25,ZELEX 200MG,2,2500,5000,0,5000,925,1850,3150,0.63
raw_sales_report,Sales Report.xlsx,2023,14,6,Batangas,DR 025244,2023-02-25,BENERVA FORTE CAP,2,1500,3000,0,3000,525,1050,1950,0.65
raw_sales_report,Sales Report.xlsx,2023,15,6,Batangas,DR 025243,2023-02-25,BENERVA FORTE CAP,2,1500,3000,0,3000,525,1050,1950,0.65
raw_sales_report,Sales Report.xlsx,2023,16,6,Batangas,DR 025242,2023-02-25,HYCLENS GARGLE (60ML),10,153,1530,0,1530,65,650,880,0.5751633986928104
raw_sales_report,Sales Report.xlsx,2023,17,6,Batangas,DR 025241,2023-02-25,DOLO JAGA 500MG/50MG/100MG/100MCG,3,1800,5400,0,5400,615,1845,3555,0.6583333333333333
raw_sales_report,Sales Report.xlsx,2023,18,6,Batangas,DR 025241,2023-02-25,TRIZEF 200MG,2,9500,19000,0,19000,1600,3200,15800,0.8315789473684211
raw_sales_report,Sales Report.xlsx,2023,19,6,Batangas,DR 025240,2023-02-25,TRIZEF 100MG,3,5400,16200,0,16200,1400,4200,12000,0.7407407407407407
raw_sales_report,Sales Report.xlsx,2023,20,6,Batangas,DR 025240,2023-02-25,VOXOLL 30MG TAB,3,715,2145,0,2145,168,504,1641,0.765034965034965
