data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2022,7,6,Admin,DR 20316,2022-08-04,MOLNUPIRAVIR 400MG,40,250,10000,0,10000,180,7200,2800,0.28
raw_sales_report,Sales Report.xlsx,2022,8,6,Admin,DR 20317,2022-08-05,CLOXANE 500MG CAP,7,1071.43,7499.99,0,7499.99,195,1365,6134.99,0.8179997573330098
raw_sales_report,Sales Report.xlsx,2022,9,6,Admin,DR 20317,2022-08-05,CIXTOR-Z 500mg,14,630,8820,0,8820,210,2940,5880,0.6666666666666666
raw_sales_report,Sales Report.xlsx,2022,10,6,Admin,DR 20317,2022-08-05,SOLVAPRINE 10MG,14,671.43,9400,0,9400,150,2100,7300,0.776595744680851
raw_sales_report,Sales Report.xlsx,2022,11,6,Admin,DR 20317,2022-08-05,HYCLENS WOUND SPRAY (60ML),20,150,3000,0,3000,114.66,2293.2,706.8000000000002,0.23560000000000006
raw_sales_report,Sales Report.xlsx,2022,12,6,Admin,DR 20318,2022-08-08,"MICROPORE 1"" - 1530-1 - 3M",2,760,1520,0,1520,500,1000,520,0.34210526315789475
raw_sales_report,Sales Report.xlsx,2022,13,6,Admin,DR 023190,2022-01-03,TERMAGEN 500MG,5,126,630,0,630,105,525,105,0.16666666666666666
raw_sales_report,Sales Report.xlsx,2022,14,6,Admin,DR 023191,2022-01-03,TEMPAID 500mg,10,126,1260,0,1260,75,750,510,0.40476190476190477
raw_sales_report,Sales Report.xlsx,2022,15,6,Admin,DR 023192,2022-01-11,FERGLOBIN 250MG,2,487.5,975,0,975,325,650,325,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,16,6,Admin,DR 023192,2022-01-11,SAPHLOPID 75MG,2,108,216,0,216,118,236,-20,-0.09259259259259259
raw_sales_report,Sales Report.xlsx,2022,17,6,Admin,DR 023192,2022-01-11,SAPHLECOX 200MG,2,252,504,0,504,135,270,234,0.4642857142857143
raw_sales_report,Sales Report.xlsx,2022,18,6,Admin,DR 023192,2022-01-11,LOSARTRIXX 50mg,5,190,950,0,950,95,475,475,0.5
raw_sales_report,Sales Report.xlsx,2022,19,6,Admin,DR MS 001126,2022-01-10,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,450,3150,1600,0.3368421052631579
raw_sales_report,Sales Report.xlsx,2022,20,6,Admin,DR MS 001126,2022-01-10,MAXXIVIT PLUS,7,857.14,6000,0,6000,560,3920,2080,0.3466666666666667
raw_sales_report,Sales Report.xlsx,2022,21,6,Admin,DR MS 001126,2022-01-10,FOLACID 5MG,7,464.29,3250,0,3250,236.25,1653.75,1596.25,0.49115384615384616
raw_sales_report,Sales Report.xlsx,2022,22,6,Admin,DR MS 001126,2022-01-10,SOLVAPRINE 10MG,14,671.43,9400,0,9400,150,2100,7300,0.776595744680851
raw_sales_report,Sales Report.xlsx,2022,23,6,Admin,DR MS 001126,2022-01-10,CIXTOR-Z 500mg,14,630,8820,0,8820,210,2940,5880,0.6666666666666666
raw_sales_report,Sales Report.xlsx,2022,24,6,Admin,DR MS 001126,2022-01-10,APCELAC 500MG HERBAL FOOD SUPPLEMENT,14,655,9170,0,9170,400,5600,3570,0.3893129770992366
raw_sales_report,Sales Report.xlsx,2022,25,6,Admin,DR 023197,2022-01-10,COMOX 625MG,7,2800,19600,5880,13720,1047.8,7334.6,6385.4,0.3257857142857143
raw_sales_report,Sales Report.xlsx,2022,26,6,Admin,DR 023197,2022-01-10,FERGLOBIN FA 60MG/400MCG,7,642.86,4500,0,4500,325,2275,2225,0.49444444444444446
raw_sales_report,Sales Report.xlsx,2022,27,6,Admin,DR 023314,2022-01-17,AZITHROM,30,90,2700,0,2700,45,1350,1350,0.5
raw_sales_report,Sales Report.xlsx,2022,28,6,Admin,DR 023311,2022-01-17,IVERMECTIN15MG DR ZENS,0.2,3200,640,0,640,2430,486,154,0.240625
raw_sales_report,Sales Report.xlsx,2022,29,6,Admin,DR 023200,2022-01-17,FERN-D 120's,2,850,1700,0,1700,680,1360,340,0.2
raw_sales_report,Sales Report.xlsx,2022,30,6,Admin,DR 023317,2022-01-24,MAXXIVIT PLUS,7,857.14,6000,0,6000,560,3920,2080,0.3466666666666667
raw_sales_report,Sales Report.xlsx,2022,31,6,Admin,DR 023317,2022-01-24,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,450,3150,1600,0.3368421052631579
raw_sales_report,Sales Report.xlsx,2022,32,6,Admin,DR 023317,2022-01-24,SOLVAPRINE 10MG,7,671.43,4700,0,4700,150,1050,3650,0.776595744680851
raw_sales_report,Sales Report.xlsx,2022,33,6,Admin,DR 023317,2022-01-24,CIXTOR-Z 500mg,14,450,6300,0,6300,210,2940,3360,0.5333333333333333
raw_sales_report,Sales Report.xlsx,2022,34,6,Admin,DR 023317,2022-01-24,CEPROTRON 500MG,2,1750,3500,0,3500,550,1100,2400,0.6857142857142857
raw_sales_report,Sales Report.xlsx,2022,35,6,Admin,DR 023317,2022-01-24,HEMOSTAP 500mg,3,2100,6300,0,6300,405,1215,5085,0.8071428571428572
raw_sales_report,Sales Report.xlsx,2022,36,6,Admin,DR 023317,2022-01-24,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM),3,630,1890,0,1890,250,750,1140,0.6031746031746031
raw_sales_report,Sales Report.xlsx,2022,37,6,Admin,DR 023325,2022-01-31,ENCLOXIL 500MG,7,1392.86,9750,0,9750,1100,7700,2050,0.21025641025641026
raw_sales_report,Sales Report.xlsx,2022,38,6,Admin,DR 023325,2022-01-31,SOLVAPRINE 10MG,7,1342.86,9400,0,9400,150,1050,8350,0.8882978723404256
raw_sales_report,Sales Report.xlsx,2022,39,6,Admin,DR 023325,2022-01-31,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,450,3150,1600,0.3368421052631579
raw_sales_report,Sales Report.xlsx,2022,40,6,Admin,DR 023325,2022-01-31,MAXXIVIT PLUS,7,857.14,6000,0,6000,560,3920,2080,0.3466666666666667
raw_sales_report,Sales Report.xlsx,2022,41,6,Admin,DR 023325,2022-01-31,CIXTOR-Z 500mg,14,450,6300,0,6300,210,2940,3360,0.5333333333333333
raw_sales_report,Sales Report.xlsx,2022,42,6,Admin,DR 023325,2022-01-31,ENOCEE 500mg,-14,107.14,-1500,0,-1500,55.44,-776.16,-723.84,0.48256000000000004
raw_sales_report,Sales Report.xlsx,2022,43,6,Admin,DR 023315,2022-01-31,PARA500,10,110,1100,0,1100,70,700,400,0.36363636363636365
raw_sales_report,Sales Report.xlsx,2022,44,6,Admin,DR 023318,2022-01-31,BIOGESIC 500MG,120,4,480,0,480,3.5,420,60,0.125
raw_sales_report,Sales Report.xlsx,2022,45,6,Admin,DR 023318,2022-01-31,CIXTOR-Z 500mg,2,330,660,0,660,210,420,240,0.36363636363636365
raw_sales_report,Sales Report.xlsx,2022,46,6,Admin,DR 023319,2022-01-31,CIXTOR-Z 500mg,2,330,660,0,660,210,420,240,0.36363636363636365
raw_sales_report,Sales Report.xlsx,2022,47,6,Admin,DR 023319,2022-01-31,PARA500,2,150,300,0,300,70,140,160,0.5333333333333333
raw_sales_report,Sales Report.xlsx,2022,48,6,Admin,DR 023319,2022-01-31,IVERMECTIN15MG DR ZENS,2,3200,6400,0,6400,2430,4860,1540,0.240625
raw_sales_report,Sales Report.xlsx,2022,49,6,Admin,DR 023321,2022-01-31,CIXTOR-Z 500mg,2,310,620,0,620,210,420,200,0.3225806451612903
raw_sales_report,Sales Report.xlsx,2022,50,6,Admin,DR 023320,2022-01-31,ENOCEE 500mg,80,95,7600,0,7600,55.44,4435.2,3164.8,0.41642105263157897
raw_sales_report,Sales Report.xlsx,2022,51,6,Admin,DR 024701,2022-01-17,MOLNUPIRAVIR 400MG,10,300,3000,0,3000,180,1800,1200,0.4
raw_sales_report,Sales Report.xlsx,2022,52,6,Admin,DR 023313,2022-01-17,PARA500,5,150,750,0,750,70,350,400,0.5333333333333333
raw_sales_report,Sales Report.xlsx,2022,53,6,Admin,DR 023196,2022-01-31,PARA500,10,110,1100,0,1100,70,700,400,0.36363636363636365
raw_sales_report,Sales Report.xlsx,2022,54,6,Admin,DR 023193,2022-01-31,PARA500,10,140,1400,0,1400,70,700,700,0.5
raw_sales_report,Sales Report.xlsx,2022,55,6,Admin,DR 023194,2022-01-31,PARA500,30,140,4200,0,4200,70,2100,2100,0.5
raw_sales_report,Sales Report.xlsx,2022,56,6,Admin,DR MS 001134,2022-01-10,PARA500,3,150,450,0,450,70,210,240,0.5333333333333333
raw_sales_report,Sales Report.xlsx,2022,57,6,Admin,DR MS 001134,2022-01-10,MULTIVIT PLUS,3,150,450,0,450,62,186,264,0.5866666666666667
raw_sales_report,Sales Report.xlsx,2022,58,6,Admin,DR MS 001127,2022-01-31,PARASAPH 500MG,10,61.5,615,0,615,200,2000,-1385,-2.252032520325203
raw_sales_report,Sales Report.xlsx,2022,59,6,Admin,DR MS 001129,2022-01-31,PARA500,5,110,550,0,550,70,350,200,0.36363636363636365
raw_sales_report,Sales Report.xlsx,2022,60,6,Admin,DR MS 001129,2022-01-31,MECID 500MG,5,120,600,0,600,71,355,245,0.4083333333333333
raw_sales_report,Sales Report.xlsx,2022,61,6,Admin,DR MS 001129,2022-01-31,OFPLEMED 600mg,1,300,300,0,300,195,195,105,0.35
raw_sales_report,Sales Report.xlsx,2022,62,6,Admin,DR MS 001129,2022-01-31,AMBIMOX 500MG,1,170,170,0,170,118,118,52,0.3058823529411765
raw_sales_report,Sales Report.xlsx,2022,63,6,Admin,DR 023333,2022-02-11,MAYOR 40mg,1,420,420,0,420,280,280,140,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,64,6,Admin,DR 023333,2022-02-11,UNISOL - M,1,577.5,577.5,0,577.5,385,385,192.5,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,65,6,Admin,DR 023333,2022-02-11,MAXXIVIT PLUS,1,840,840,0,840,560,560,280,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,66,6,Admin,DR 023333,2022-02-11,CLOVAS 75MG,0.63,517.5,326.03,0,326.03,345,217.35,108.67999999999998,0.3333435573413489
raw_sales_report,Sales Report.xlsx,2022,67,6,Admin,DR 023332,2022-02-11,SYRINGE WITH NEEDLE 21GX1 5CC/ML TERUMO,1,13.5,13.5,0,13.5,9,9,4.5,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,68,6,Admin,DR 023332,2022-02-11,MERAZOL 40MG,1.03,375,386.25,0,386.25,350,360.5,25.75,0.06666666666666667
raw_sales_report,Sales Report.xlsx,2022,69,6,Admin,DR 023332,2022-02-11,DISPOSABLE SYRINGE - 5CC PRIME,0.1,4050,405,0,405,270,27,378,0.9333333333333333
raw_sales_report,Sales Report.xlsx,2022,70,6,Admin,DR 023332,2022-02-11,CEFUSAPH,1,168,168,0,168,78,78,90,0.5357142857142857
raw_sales_report,Sales Report.xlsx,2022,71,6,Admin,DR 023332,2022-02-11,DISPOSABLE SYRINGE W/ NEEDLE 3CC - INDOPLAS,0.1,4500,450,0,450,300,30,420,0.9333333333333333
raw_sales_report,Sales Report.xlsx,2022,72,6,Admin,DR 023332,2022-02-11,DISPOSABLE SYRINGE LUER LOCK 10ML 21Gx1 1/4 CARDINAL CARE,13,9.75,126.75,0,126.75,6.5,84.5,42.25,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2022,73,6,Admin,DR 023328,2022-02-07,FOLACID 5MG,7,327.6,2293.2,0,2293.2,236.25,1653.75,639.4499999999998,0.2788461538461538
raw_sales_report,Sales Report.xlsx,2022,74,6,Admin,DR 023328,2022-02-07,SOLVAPRINE 10MG,7,1342.85,9399.95,0,9399.95,150,1050,8349.95,0.8882972781770115
raw_sales_report,Sales Report.xlsx,2022,75,6,Admin,DR 023328,2022-02-07,BENERVA FORTE CAP,3,1708,5124,0,5124,525,1575,3549,0.6926229508196722
raw_sales_report,Sales Report.xlsx,2022,76,6,Admin,DR 023328,2022-02-07,HYCLENS OB WASH ANTISEPTIC,20,152.5,3050,0,3050,138.6,2772,278,0.09114754098360656
raw_sales_report,Sales Report.xlsx,2022,77,6,Admin,DR 023329,2022-02-07,BIOGESIC 500MG,60,4,240,0,240,3.5,210,30,0.125
raw_sales_report,Sales Report.xlsx,2022,78,6,Admin,DR 023312,2022-02-07,DIACYSTEINE 600mg,4,320,1280,0,1280,187,748,532,0.415625
raw_sales_report,Sales Report.xlsx,2022,79,6,Admin,DR 023312,2022-02-07,MOLNUPIRAVIR 400MG,10,280,2800,0,2800,180,1800,1000,0.35714285714285715
raw_sales_report,Sales Report.xlsx,2022,80,6,Admin,DR 023312,2022-02-07,OFPLEMED 300MG SYRUP 60ML,2,220,440,0,440,24,48,392,0.8909090909090909
raw_sales_report,Sales Report.xlsx,2022,81,6,Admin,DR 023312,2022-02-07,COVID SALIVA TEST,1,5500,5500,0,5500,5500,5500,0,0
raw_sales_report,Sales Report.xlsx,2022,82,6,Admin,DR 023330,2022-02-07,AFENAX 100MG,1,1900,1900,0,1900,595,595,1305,0.6868421052631579
raw_sales_report,Sales Report.xlsx,2022,83,6,Admin,DR 023326,2022-02-14,FACE MASK,6,150,900,0,900,60,360,540,0.6
