data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2024,823,6,Quezon,DR 025449,2024-11-06,MULTI-GROW 30ML,30,185,5550,0,5550,70,2100,3450,0.6216216216216216
raw_sales_report,Sales Report.xlsx,2024,824,6,Quezon,DR 025449,2024-11-06,MULTI-GROW 120ML,28,255,7140,0,7140,90,2520,4620,0.6470588235294118
raw_sales_report,Sales Report.xlsx,2024,825,6,Quezon,DR 025449,2024-11-06,AMOLTEX 2MG/5ML,24,98,2352,0,2352,28,672,1680,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,826,6,Quezon,DR 025450,2024-11-07,JAGA 300MG/100MG/100MCG CAP,5,1078,5390,0,5390,530,2650,2740,0.5083487940630798
raw_sales_report,Sales Report.xlsx,2024,827,6,Quezon,DR 025450,2024-11-07,BENERVA PLUS 500MG/50MG/100MG/100MCG,5,1200,6000,0,6000,615,3075,2925,0.4875
raw_sales_report,Sales Report.xlsx,2024,828,6,Quezon,DR 025451,2024-11-07,EPIX 1MG/ML IV,10,780,7800,0,7800,170,1700,6100,0.782051282051282
raw_sales_report,Sales Report.xlsx,2024,829,6,Quezon,DR 025458,2024-11-19,FERGLOBIN 250MG CAP,10,750,7500,2250,5250,325,3250,2000,0.26666666666666666
raw_sales_report,Sales Report.xlsx,2024,830,6,Quezon,DR 025459,2024-11-20,VOXOLL 15MG/5ML,10,80,800,240,560,33,330,230,0.2875
raw_sales_report,Sales Report.xlsx,2024,831,6,Quezon,DR 025460,2024-11-20,VOXOLL 15MG/5ML,24,80,1920,576,1344,33,792,552,0.2875
raw_sales_report,Sales Report.xlsx,2024,832,6,Quezon,DR 025460,2024-11-20,VOXOLL 30MG,2,800,1600,480,1120,168,336,784,0.49
raw_sales_report,Sales Report.xlsx,2024,833,6,Quezon,DR 025460,2024-11-20,JAGA 300MG/100MG/100MCG CAP,2,1540,3080,924,2156,530,1060,1096,0.35584415584415585
raw_sales_report,Sales Report.xlsx,2024,834,6,Quezon,DR 025461,2024-11-20,HYCLENS OB WASH 1% 100ML,20,326,6520,652,5868,138.6,2772,3096,0.47484662576687114
raw_sales_report,Sales Report.xlsx,2024,835,6,Quezon,DR 025462,2024-11-20,SOLVAPRINE 10MG TAB,2,700,1400,420,980,150,300,680,0.4857142857142857
raw_sales_report,Sales Report.xlsx,2024,836,6,Quezon,DR 025463,2024-11-21,CARVIDA 6.25MG,50,528,26400,0,26400,132,6600,19800,0.75
raw_sales_report,Sales Report.xlsx,2024,837,6,Quezon,DR 025464,2024-11-22,LEPIXA 500-500MG,1,2300,2300,690,1610,920,920,690,0.3
raw_sales_report,Sales Report.xlsx,2024,838,6,Quezon,DR 025465,2024-11-22,DOPAMET 250MG,12,800,9600,0,9600,195,2340,7260,0.75625
raw_sales_report,Sales Report.xlsx,2024,839,6,Quezon,DR 025466,2024-11-22,HYCLENS OB WASH 1% 100ML,6,293,1758,0,1758,138.6,831.6,926.4,0.5269624573378839
raw_sales_report,Sales Report.xlsx,2024,840,6,Quezon,DR 025467,2024-11-22,AMOLTEX 2MG/5ML,20,98,1960,0,1960,28,560,1400,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,841,6,Quezon,DR 025468,2024-11-25,CIUMADE TAB,2,1500,3000,900,2100,450,900,1200,0.4
raw_sales_report,Sales Report.xlsx,2024,842,6,Quezon,DR 025469,2024-11-28,SANOMAX-FA,5,1400,7000,2100,4900,560,2800,2100,0.3
raw_sales_report,Sales Report.xlsx,2024,843,6,Quezon,DR 025470,2024-11-29,FOLACID 5MG CAP,10,615,6150,1845,4305,236.25,2362.5,1942.5,0.31585365853658537
raw_sales_report,Sales Report.xlsx,2024,844,6,Quezon,DR 025470,2024-11-29,PREHEXA,4,945,3780,1134,2646,270,1080,1566,0.4142857142857143
raw_sales_report,Sales Report.xlsx,2024,845,6,Quezon,DR 025471,2024-11-29,AMO-5 5MG,50,315,15750,0,15750,76,3800,11950,0.7587301587301587
raw_sales_report,Sales Report.xlsx,2024,846,6,Quezon,DR 025428,2024-10-07,LACTAMOX 500MG/125MG,2,3900,7800,2340,5460,1115,2230,3230,0.41410256410256413
raw_sales_report,Sales Report.xlsx,2024,847,6,Quezon,DR 025429,2024-10-07,CETHERGO 200MCG/ML IV,1,4375,4375,0,4375,1125,1125,3250,0.7428571428571429
raw_sales_report,Sales Report.xlsx,2024,848,6,Quezon,DR 025429,2024-10-07,SANOMAX-FA,5,1400,7000,2100,4900,560,2800,2100,0.3
raw_sales_report,Sales Report.xlsx,2024,849,6,Quezon,DR 025430,2024-10-07,FOLACID 5MG CAP,10,615,6150,1845,4305,236.25,2362.5,1942.5,0.31585365853658537
raw_sales_report,Sales Report.xlsx,2024,850,6,Marinduque,DR 025431,2024-10-08,BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,50,647,32350,0,32350,185,9250,23100,0.714064914992272
raw_sales_report,Sales Report.xlsx,2024,851,6,Quezon,DR 025432,2024-10-08,JAGA 300MG/100MG/100MCG CAP,2,1000,2000,0,2000,530,1060,940,0.47
raw_sales_report,Sales Report.xlsx,2024,852,6,Quezon,DR 025433,2024-10-08,PREHEXA,3,945,2835,850.5,1984.5,270,810,1174.5,0.4142857142857143
raw_sales_report,Sales Report.xlsx,2024,853,6,Quezon,DR 025434,2024-10-09,VOXOLL 15MG/5ML,15,80,1200,360,840,33,495,345,0.2875
raw_sales_report,Sales Report.xlsx,2024,854,6,Quezon,DR 025435,2024-10-09,CENDALEX 250MG/5ML,10,153,1530,0,1530,62.5,625,905,0.5915032679738562
raw_sales_report,Sales Report.xlsx,2024,855,6,Quezon,DR 025436,2024-10-11,FERGLOBIN 250MG CAP,12,750,9000,2700,6300,325,3900,2400,0.26666666666666666
raw_sales_report,Sales Report.xlsx,2024,856,6,Quezon,DR 025437,2024-10-11,EXECORE 500MG TAB,1,3400,3400,1020,2380,78,78,2302,0.6770588235294117
raw_sales_report,Sales Report.xlsx,2024,857,6,Quezon,DR 025234 (2024),2024-09-10,ZILTEM 25MG,1,2450,2450,612.5,1837.5,1533.33,1533.33,304.1700000000001,0.1241510204081633
raw_sales_report,Sales Report.xlsx,2024,858,6,Quezon,DR 025249,2024-10-08,SANOVIZ OB PLUS CAP,10,1637.5,16375,0,16375,525,5250,11125,0.6793893129770993
raw_sales_report,Sales Report.xlsx,2024,859,6,Quezon,DR 025250 (2024),2024-10-08,SANOMAX-FA,10,1400,14000,0,14000,560,5600,8400,0.6
raw_sales_report,Sales Report.xlsx,2024,860,6,Quezon,DR 025447,2024-10-31,ZILTEM 25MG,1,2450,2450,612.5,1837.5,1533.33,1533.33,304.1700000000001,0.1241510204081633
raw_sales_report,Sales Report.xlsx,2024,861,6,Quezon,DR 025452,2024-11-11,EXECORE 500MG TAB,1,3400,3400,1020,2380,78,78,2302,0.6770588235294117
raw_sales_report,Sales Report.xlsx,2024,862,6,Quezon,DR 025452,2024-11-11,SOLVAPRINE 10MG TAB,1,1000,1000,300,700,150,150,550,0.55
