data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,column_9,QTY,TP,TOTAL,NET INCOME
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,44,5,12199,2017-04-26,CAM NORTE,#REF!,1,2800,2800,,,1,1173.6,1173.6,1626.4
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,45,5,12199,2017-04-26,CAM NORTE,#REF!,1,1600,1600,,,1,480.9,480.9,1119.1
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,46,5,12200,2017-04-21,CAM NORTE,#REF!,2,750,1500,,,2,227.5,455,1045
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,47,5,12399,2017-05-19,GOVERNMENT,#REF!,800,510,408000,,0,800,73,58400,349600
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,48,5,12765,2017-04-18,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,49,5,12765,2017-04-18,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,50,5,12765,2017-04-18,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,51,5,12780,2017-05-02,LAGUNA,#REF!,2,990,1980,,0,2,384,768,1212
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,52,5,12780,2017-05-02,LAGUNA,#REF!,2,2269.8,4539.6,,0,2,630,1260,3279.6000000000004
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,53,5,12780,2017-05-02,LAGUNA,#REF!,5,2546,12730,,0,5,680,3400,9330
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,54,5,12780,2017-05-02,LAGUNA,#REF!,2,4000,8000,,0,2,650,1300,6700
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,55,5,12781,2017-05-03,LAGUNA,#REF!,100,380,38000,,0,100,45,4500,33500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,56,5,12781,2017-05-03,LAGUNA,#REF!,50,120,6000,,0,50,42,2100,3900
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,57,5,12782,2017-05-13,LAGUNA,#REF!,2,3000,6000,,0,2,650,1300,4700
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,58,5,12783,2017-05-09,LAGUNA,#REF!,40,73,2920,,0,40,73,2920,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,59,5,12783,2017-05-09,LAGUNA,#REF!,2,1450,2900,,0,2,1450,2900,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,60,5,12783,2017-05-09,LAGUNA,#REF!,2,415,830,,0,2,415,830,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,61,5,12784,2017-05-10,LAGUNA,#REF!,2,1800,3600,,0,2,540,1080,2520
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,62,5,12785,2017-05-10,LAGUNA,#REF!,12,310,3720,,0,12,129.7,1556.3999999999999,2163.6000000000004
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,63,5,12785,2017-05-10,LAGUNA,#REF!,6,190,1140,,0,6,75.6,453.59999999999997,686.4000000000001
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,64,5,12786,2017-05-10,LAGUNA,#REF!,12,200,2400,,0,12,155,1860,540
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,65,5,12787,2017-05-10,LAGUNA,#REF!,1,2800,2800,,0,1,1173.6,1173.6,1626.4
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,66,5,12787,2017-05-10,LAGUNA,#REF!,1,3000,3000,,0,1,1450,1450,1550
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,67,5,12788,2017-05-10,LAGUNA,#REF!,10,120,1200,,0,10,25,250,950
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,68,5,12789,2017-05-10,LAGUNA,#REF!,10,279.99,2799.9,,0,10,81,810,1989.9
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,69,5,12789,2017-05-10,LAGUNA,#REF!,10,600,6000,,0,10,170,1700,4300
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,70,5,12790,2017-05-11,LAGUNA,#REF!,4,480,1920,,0,4,207,828,1092
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,71,5,12791,2017-05-12,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,72,5,12791,2017-05-12,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,73,5,12791,2017-05-12,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,74,5,12792,2017-05-18,LAGUNA,#REF!,60,380,22800,,0,60,45,2700,20100
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,75,5,12792,2017-05-18,LAGUNA,#REF!,50,264,13200,,0,50,73,3650,9550
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,76,5,12792,2017-05-18,LAGUNA,#REF!,10,95,950,,0,10,24,240,710
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,77,5,12792,2017-05-18,LAGUNA,#REF!,35,110,3850,,0,35,40,1400,2450
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,78,5,12792,2017-05-18,LAGUNA,#REF!,10,2200,22000,,0,10,706,7060,14940
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,79,5,12793,2017-05-19,LAGUNA,#REF!,2,1900,3800,,0,2,595,1190,2610
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,80,5,12793,2017-05-19,LAGUNA,#REF!,2,1425,2850,,0,2,445,890,1960
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,81,5,12794,2017-05-19,LAGUNA,#REF!,2,1500,3000,,0,2,445,890,2110
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,82,5,12794,2017-05-19,LAGUNA,#REF!,2,805,1610,,0,2,210,420,1190
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,83,5,12794,2017-05-19,LAGUNA,#REF!,2,682,1364,,0,2,202.5,405,959
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,84,5,12795,2017-05-19,LAGUNA,#REF!,2,1400,2800,,0,2,900,1800,1000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,85,5,12796,2017-05-18,LAGUNA,#REF!,1,800,800,,0,1,100,100,700
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,86,5,12797,2017-05-22,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,87,5,12797,2017-05-22,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,88,5,12797,2017-05-22,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,89,5,12798,2017-05-23,LAGUNA,#REF!,10,120,1200,,0,10,25,250,950
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,90,5,12799,2017-05-23,LAGUNA,#REF!,20,320,6400,,0,20,45,900,5500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,91,5,12800,2017-05-29,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,92,5,12865,2017-05-04,MARINDUQUE,#REF!,5,975,4875,,0,5,307,1535,3340
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,93,5,12866,2017-05-04,MARINDUQUE,#REF!,2,1800,3600,,0,2,535,1070,2530
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,94,5,12867,2017-05-05,QUEZON,#REF!,12,180,2160,0.3,648,12,48,576,936
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,95,5,12868,2017-05-05,QUEZON,#REF!,10,1100,11000,,0,10,307,3070,7930
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,96,5,12869,2017-05-05,QUEZON,#REF!,8,750,6000,,0,8,202.5,1620,4380
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,97,5,12870,2017-05-09,QUEZON,#REF!,10,190,1900,,0,10,75,750,1150
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,98,5,12870,2017-05-09,QUEZON,#REF!,10,175,1750,,0,10,48,480,1270
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,99,5,12870,2017-05-09,QUEZON,#REF!,,,0,,0,0,,0,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,100,5,12871,2017-05-10,QUEZON,#REF!,12,198,2376,,0,12,65,780,1596
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,101,5,12871,2017-05-10,QUEZON,#REF!,1,1800,1800,,0,1,550,550,1250
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,102,5,12872,2017-05-10,QUEZON,#REF!,4,500,2000,,0,4,133,532,1468
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,103,5,12872,2017-05-10,QUEZON,#REF!,2,900,1800,,0,2,240,480,1320
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,104,5,12873,2017-05-10,QUEZON,#REF!,20,750,15000,,0,20,219,4380,10620
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,105,5,12874,2017-05-25,MARINDUQUE,#REF!,2,1400,2800,,0,2,420,840,1960
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,106,5,12875,2017-05-25,MARINDUQUE,#REF!,10,500,5000,,0,10,158,1580,3420
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,107,5,12876,2017-05-25,MARINDUQUE,#REF!,24,112,2688,,0,24,35,840,1848
