area_type,standard_area,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,Admin,1856,0,332,289,446,12733.37,3940321.94,4819060.76,8644195.46,71213.25,8715408.71,1.223012
business_line,Equipment,107,0,0,56,43,34001.0,5717863.66,8144847.97,13030659.73,0.0,13030659.73,1.424456
business_line,Losses,4,0,0,3,3,17.0,3211.8,4100.12,888.32,0.0,888.32,1.27658
business_line,Personal,7,0,0,7,6,9.0,1962.0,2021.0,3967.0,0.0,3967.0,1.030071
business_line,Supplies,264,0,0,118,87,3613.14,1478308.43,1905927.77,2402522.0,0.0,2402522.0,1.289263
customer_type,Government,5771,0,678,2374,605,535611.86,58913723.25,91023631.29,144800864.84,1090.0,144801954.84,1.545033
customer_type,Hospital,3910,0,849,910,1034,340989.99,63760198.08,69594584.71,101163665.63,0.0,101163665.63,1.091505
customer_type,Pharma,60,0,0,19,53,306.0,135444.87,459010.13,594455.0,0.0,594455.0,3.388907
territory,Batangas,2816,0,542,416,1474,19872.28,5198977.99,10411814.26,14439995.61,59696.05,14499691.66,2.002666
territory,Camarines Norte,402,0,0,52,315,5405.07,1635095.13,2358725.69,3120024.82,56935.5,3176960.32,1.442562
territory,Camarines Sur,388,0,0,85,175,3549.3,572877.96,1149261.52,1634572.5,2496.0,1637068.5,2.006119
territory,Cavite,476,0,0,162,285,4415.7,820321.52,1723232.0,1991113.4,14673.5,2005786.9,2.100679
territory,Laguna,62,0,0,35,23,4573.42,1059773.42,750155.98,1608953.4,0.0,1608953.4,0.707846
territory,Marinduque,487,20,60,190,232,15829.0,4712382.36,5718447.85,10360172.71,477402.94,10837575.65,1.213494
territory,Quezon,2637,0,405,377,1679,34292.28,7708883.18,13948986.69,18280872.23,1743272.21,20024144.44,1.809469
unmapped,Aboitiz,5,5,0,5,1,1.0,44400.0,23907.69,68307.69,0.0,68307.69,0.538461
unmapped,Albay,9,0,0,9,7,1105.0,174300.8,343562.17,517862.97,2056.68,519919.65,1.971088
unmapped,Gulang Gulang,15,15,15,10,3,3.0,80151.0,38704.0,118855.0,0.0,118855.0,0.482889
unmapped,PESO,15,15,10,15,3,3.0,2317160.16,1204359.84,3521520.0,0.0,3521520.0,0.519757
unmapped,PESO Provincial,15,15,15,13,3,3.0,710699.22,359870.78,1070570.0,0.0,1070570.0,0.506362
unmapped,PHO,15,15,0,13,3,3.0,109077.31,57710.69,166788.0,0.0,166788.0,0.529081
unmapped,PPDC,65,65,5,43,13,13.0,614539.86,322389.89,936929.75,0.0,936929.75,0.524604
unmapped,PPOC,5,5,0,5,1,1.0,64000.0,52500.0,116500.0,0.0,116500.0,0.820313
unmapped,Padre Burgos,5,5,0,5,1,1.0,50889.0,23491.0,74380.0,0.0,74380.0,0.461613
unmapped,Pagbilao,1230,1230,450,108,242,246.0,51826339.93,39708600.23,84730621.16,0.0,84730621.16,0.766186
unmapped,Provincial Tourism Office,25,25,10,18,5,5.0,855305.26,373249.74,836410.0,0.0,836410.0,0.436394
unmapped,QMC,255,255,145,61,51,51.0,7530374.88,4749955.72,12052056.6,0.0,12052056.6,0.630773
unmapped,Tourism,55,55,25,28,11,11.0,921686.79,494989.21,1416676.0,0.0,1416676.0,0.537047
