product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
MERAZOL 40MG,744.9632,1209762.98,2663361.48,58,26,9,34,2.201556,0.005475,0.336846,A,ABC/Pareto using total_trade_price revenue,draft
BATHROOM TISSUE 2PLY 12'S (FEMME),114.7712,1192403.29,819281.55,51,18,30,35,0.687084,0.005397,0.342243,A,ABC/Pareto using total_trade_price revenue,draft
SITIXON 1G,11332.3538,1153586.1,2984717.75,42,23,10,36,2.587339,0.005221,0.347464,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 (HARDCOPY),63.0641,1139401.58,678882.29,37,16,34,37,0.595824,0.005157,0.35262,A,ABC/Pareto using total_trade_price revenue,draft
ZINACARE 750MG W/ DILUENT,42100.147,1128912.57,990936.48,20,6,1,38,0.87778,0.005109,0.35773,A,ABC/Pareto using total_trade_price revenue,draft
TROYNOXA-60 60MG/0.6ML,2770.0,1119080.0,1767952.5,4,3,0,39,1.579827,0.005065,0.362794,A,ABC/Pareto using total_trade_price revenue,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7200.0,1116000.0,405144.0,12,1,0,40,0.363032,0.005051,0.367845,A,ABC/Pareto using total_trade_price revenue,draft
ANTIZOAL 5MG/ML,22857.9662,1081485.98,2258862.75,143,37,16,41,2.088666,0.004895,0.372739,A,ABC/Pareto using total_trade_price revenue,draft
TRIVASC 35MG MR,2345.9449,1076497.06,1614963.12,207,36,4,42,1.500202,0.004872,0.377611,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 CYAN,73.6089,1066946.49,877262.21,47,17,42,43,0.822218,0.004829,0.38244,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 125MCG/ML,448.2676,1046316.0,1098422.27,81,35,9,44,1.0498,0.004735,0.387175,A,ABC/Pareto using total_trade_price revenue,draft
HIVENT PLUS,2691.3196,1037916.48,1100643.51,41,18,5,45,1.060436,0.004697,0.391873,A,ABC/Pareto using total_trade_price revenue,draft
CLIN-GEN 300MG,3062.0,1026295.0,1077183.75,16,10,0,46,1.049585,0.004645,0.396518,A,ABC/Pareto using total_trade_price revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,9.0864,999540.71,487943.71,31,13,28,47,0.488168,0.004524,0.401041,A,ABC/Pareto using total_trade_price revenue,draft
KN95 FACEMASK (PIECE),8553.0,995624.0,550778.05,12,8,0,48,0.553199,0.004506,0.405547,A,ABC/Pareto using total_trade_price revenue,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,985600.0,1439224.95,3,2,0,49,1.460253,0.004461,0.410008,A,ABC/Pareto using total_trade_price revenue,draft
PPE SET,2510.0,978900.0,1101850.0,3,3,0,50,1.1256,0.00443,0.414438,A,ABC/Pareto using total_trade_price revenue,draft
AIRCON SPLIT TYPE 2HP INVERTER (CARRIER),6.9464,976482.42,574553.0,19,7,18,51,0.588391,0.004419,0.418857,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS SKIN CLEANSER (60ML),8535.0,967869.0,1382262.6,16,12,0,52,1.428151,0.00438,0.423238,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS WOUND SPRAY (60ML),7872.6313,923944.64,1205538.22,250,46,2,53,1.304773,0.004182,0.427419,A,ABC/Pareto using total_trade_price revenue,draft
PROFUREX 750MG,4760.0,882266.0,914348.4,8,7,0,54,1.036364,0.003993,0.431412,A,ABC/Pareto using total_trade_price revenue,draft
MATERNITY PADS 8S (MAXIFREE),14258.0,863360.0,431471.2,15,6,0,55,0.499758,0.003907,0.435319,A,ABC/Pareto using total_trade_price revenue,draft
ENDOPROST 250MCG/ML,646.0,855950.0,784750.0,9,4,0,56,0.916818,0.003874,0.439193,A,ABC/Pareto using total_trade_price revenue,draft
LUPINSULIN 30:70,1821.0,816272.0,632878.53,20,16,0,57,0.775328,0.003694,0.442887,A,ABC/Pareto using total_trade_price revenue,draft
NUTRIBOARD WITHOUT BAG,102.7037,809655.54,298890.81,13,3,12,58,0.369158,0.003664,0.446552,A,ABC/Pareto using total_trade_price revenue,draft
ABHAY-TOX 40IU/0.5ML VIAL,829.4228,803341.88,326664.49,26,6,7,59,0.406632,0.003636,0.450187,A,ABC/Pareto using total_trade_price revenue,draft
ZEFXON 40MG,2700.0,792102.92,648077.08,14,10,0,60,0.818173,0.003585,0.453772,A,ABC/Pareto using total_trade_price revenue,draft
MAXIFER 20MG/ML,742.6066,791645.83,1498759.06,46,29,9,61,1.893219,0.003583,0.457355,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU,762.5,766507.5,351744.18,15,13,0,62,0.458892,0.003469,0.460824,A,ABC/Pareto using total_trade_price revenue,draft
GIOZOLE 40MG W/ DILUENT,14611.2336,762806.66,416022.58,16,7,4,63,0.545384,0.003452,0.464276,A,ABC/Pareto using total_trade_price revenue,draft
PHYTOMEN 10MG/ML,1249.0891,750934.28,1101612.26,94,34,9,64,1.466989,0.003399,0.467675,A,ABC/Pareto using total_trade_price revenue,draft
PROHAB 10MG/ML 20ML,500.0,750000.0,1360000.0,1,1,0,65,1.813333,0.003394,0.471069,A,ABC/Pareto using total_trade_price revenue,draft
"HEPA B 10MCG/0.5ML MULTIDOSE, PEDIATRIC",4.0,750000.0,649400.0,2,2,0,66,0.865867,0.003394,0.474464,A,ABC/Pareto using total_trade_price revenue,draft
DOLO JAGA 500MG/50MG/100MG/100MCG,1088.6398,748948.32,1098336.97,253,36,3,67,1.466506,0.00339,0.477853,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS WOUND SPRAY 2% 60ML,3750.0433,739848.77,812067.23,189,27,12,68,1.097612,0.003348,0.481201,A,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 300PP,120.9727,728209.25,1110930.22,12,7,8,69,1.525565,0.003296,0.484497,A,ABC/Pareto using total_trade_price revenue,draft
AEROX 500MG,7561.0,721255.0,877384.0,12,5,0,70,1.216469,0.003264,0.487761,A,ABC/Pareto using total_trade_price revenue,draft
LACTAMOX 500MG/125MG TAB,566.1712,715893.94,1050281.59,167,41,5,71,1.467091,0.00324,0.491001,A,ABC/Pareto using total_trade_price revenue,draft
CANCARE IV CANNULA G24,700.0,714000.0,606000.0,2,1,0,72,0.848739,0.003231,0.494233,A,ABC/Pareto using total_trade_price revenue,draft
EUROXONE 1G,8968.8814,709327.71,2778891.13,81,32,4,73,3.917641,0.00321,0.497443,A,ABC/Pareto using total_trade_price revenue,draft
JACKIE DISINFECT SPRAY 500ML,48.399,696693.32,1116397.85,16,8,12,74,1.602424,0.003153,0.500596,A,ABC/Pareto using total_trade_price revenue,draft
MONOWEL 1G,1550.0,696354.0,574820.0,7,4,0,75,0.825471,0.003152,0.503747,A,ABC/Pareto using total_trade_price revenue,draft
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,25893.6381,694417.68,1068054.47,110,26,16,76,1.538058,0.003143,0.50689,A,ABC/Pareto using total_trade_price revenue,draft
