calendar_year,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2021,3412,0,0,671,1319,153137.86,27621527.47,52006524.87,78439820.84,550194.22,78990015.06,1.882826
2022,3999,0,0,840,1598,123677.35,21322949.13,42769055.33,63543889.88,605162.2,64149052.08,2.005776
2023,5323,0,0,1840,1342,267583.57,46746612.45,58157764.18,61416499.43,550754.74,61967254.17,1.244106
2024,3328,615,0,632,1182,51202.8,30506550.5,27713100.78,50422905.88,342281.77,50765187.65,0.908431
2025,4899,1110,3541,1024,1375,421062.83,94760630.25,79120653.54,173881283.79,380443.2,174261726.99,0.834953
