MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty, CP/UNIT , TOTAL CP , Discount , NET CP , TP/UNIT , Total TP , Net Income ,,,,,,,,
17996,20-Jul-18,Hospital,SODAMPEN 1g IM/IV,30,128.00," 3,840.00 ",0.00,"3,840.00",40.00,"1,200.00","2,640.00",,,,,,,,
17996,20-Jul-18,Hospital,APROCARE 150mg,2,870.00," 1,740.00 ",0.00,"1,740.00",219.00,438.00,"1,302.00",,,,,,,,
18000,23-Jul-18,Hospital,MAXIFER 20mg/ml,51,"2,450.00"," 124,950.00 ",0.00,"124,950.00",818.00,"41,718.00","83,232.00",,,,,,,,
18060,25-Jul-18,Hospital,BUPIRIGHT 5mg/ml,6,"3,100.00"," 18,600.00 ",0.00,"18,600.00",825.00,"4,950.00","13,650.00",,,,,,,,
18060,25-Jul-18,Hospital,ERGON 125mcg,2,"2,000.00"," 4,000.00 ",0.00,"4,000.00",128.00,256.00,"3,744.00",,,,,,,,
18060,25-Jul-18,Hospital,CALIBRAL 500mg,1,780.00, 780.00 ,0.00,780.00,235.00,235.00,545.00,,,,,,,,
18060,25-Jul-18,Hospital,AGLOTAC 25mg/ml (50mg/2ml),5,800.00," 4,000.00 ",0.00,"4,000.00",480.00,"2,400.00","1,600.00",,,,,,,,
18060,25-Jul-18,Hospital,CEPROTRON 500mg,3,"1,750.00"," 5,250.00 ",0.00,"5,250.00",415.00,"1,245.00","4,005.00",,,,,,,,
18060,25-Jul-18,Hospital,MAXIFER 20mg/ml,3,"2,450.00"," 7,350.00 ",0.00,"7,350.00",818.00,"2,454.00","4,896.00",,,,,,,,
18060,25-Jul-18,Hospital,NERVAMIN PLUS 500mg/50mg/100mg/100mcg,2,"1,550.00"," 3,100.00 ",0.00,"3,100.00",488.00,976.00,"2,124.00",,,,,,,,
18060,25-Jul-18,Hospital,EVAPROST 125mcg/ml,1,"3,960.00"," 3,960.00 ",0.00,"3,960.00","1,872.00","1,872.00","2,088.00",,,,,,,,
18060,25-Jul-18,Hospital,DIFLOSID 75mg/ml,2,750.00," 1,500.00 ",0.00,"1,500.00",120.00,240.00,"1,260.00",,,,,,,,
18060,25-Jul-18,Hospital,UNIDOL 500mg/ml,1,"6,000.00"," 6,000.00 ",0.00,"6,000.00","1,250.00","1,250.00","4,750.00",,,,,,,,
18063A,22-Oct-18,Hospital,PHYTOMEN 10mg/ml,10,900.00," 9,000.00 ",0.00,"9,000.00",270.00,"2,700.00","6,300.00",,,,,,,,
18067A,25-Oct-18,Hospital,SODAMPEN 1g IM/IV,500,128.00," 64,000.00 ",0.00,"64,000.00",40.00,"20,000.00","44,000.00",,,,,,,,
18067A,25-Oct-18,Hospital,ZEFXON 40mg,300,533.40," 160,020.00 ",0.00,"160,020.00",293.00,"87,900.00","72,120.00",,,,,,,,
18067A,25-Oct-18,Hospital,PROFUREX 750mg ,500,377.44," 188,720.00 ",0.00,"188,720.00",208.00,"104,000.00","84,720.00",,,,,,,,
18068A,25-Oct-18,Hospital,ERGON 125mcg,30,"2,000.00"," 60,000.00 ",0.00,"60,000.00",128.00,"3,840.00","56,160.00",,,,,,,,
18068A,25-Oct-18,Hospital,MAXIFER 20mg/ml,30,"2,450.00"," 73,500.00 ",0.00,"73,500.00",818.00,"24,540.00","48,960.00",,,,,,,,
18068A,25-Oct-18,Hospital,ANTIZOAL 5mg/ml,500,120.00," 60,000.00 ",0.00,"60,000.00",22.00,"11,000.00","49,000.00",,,,,,,,
18070,26-Oct-18,Hospital,UNIDOL 500mg/ml,1,"6,000.00"," 6,000.00 ",0.00,"6,000.00","1,250.00","1,250.00","4,750.00",,,,,,,,
18070,26-Oct-18,Hospital,CEFZIME 750mg,5,"3,000.00"," 15,000.00 ",0.00,"15,000.00",750.00,"3,750.00","11,250.00",,,,,,,,
18070,26-Oct-18,Hospital,Ranirex 25mg/ml,10,800.00," 8,000.00 ",0.00,"8,000.00",50.00,500.00,"7,500.00",,,,,,,,
18070,26-Oct-18,Hospital,LACTAMOX 500mg/125mg,3,"2,800.00"," 8,400.00 ",0.00,"8,400.00","1,174.00","3,522.00","4,878.00",,,,,,,,
18070,26-Oct-18,Hospital,ERGON 125mcg,2,"2,000.00"," 4,000.00 ",0.00,"4,000.00",128.00,256.00,"3,744.00",,,,,,,,
18070,26-Oct-18,Hospital,BUPIRIGHT 5mg/ml,7,"3,100.00"," 21,700.00 ",0.00,"21,700.00",825.00,"5,775.00","15,925.00",,,,,,,,
18070,26-Oct-18,Hospital,DIFLOSID 75mg/ml,5,750.00," 3,750.00 ",0.00,"3,750.00",120.00,600.00,"3,150.00",,,,,,,,
18070,26-Oct-18,Hospital,CEPROTRON 500mg,2,"1,750.00"," 3,500.00 ",0.00,"3,500.00",415.00,830.00,"2,670.00",,,,,,,,
18070,26-Oct-18,Hospital,ATOVAS 20mg,1,750.00, 750.00 ,0.00,750.00,202.00,202.00,548.00,,,,,,,,
18070,26-Oct-18,Hospital,SODAMPEN 1g IM/IV,30,128.00," 3,840.00 ",0.00,"3,840.00",40.00,"1,200.00","2,640.00",,,,,,,,
18071,31-Jul-18,Hospital,Hyclens 0.2% Wound Spray,1080,280.00," 302,400.00 ",0.00,"302,400.00",115.00,"124,200.00","178,200.00",,,,,,,,
18072,31-Jul-18,Hospital,EUROXONE 1g,300,380.00," 114,000.00 ",0.00,"114,000.00",73.00,"21,900.00","92,100.00",,,,,,,,
18073,01-Aug-18,Hospital,Hyclens 0.2% Wound Spray,1080,280.00," 302,400.00 ",0.00,"302,400.00",115.00,"124,200.00","178,200.00",,,,,,,,
