MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Batangas,DR 023853,06/03/2023,CATAMED 75MCG TAB, 2.00 ," 1,200.00 "," 2,400.00 ", -   ," 2,400.00 ", 385.00 , 770.00 ," 1,630.00 ",68%
Batangas,DR 023853,06/03/2023,HYOSAPH 10MG TAB, 2.00 , 520.00 ," 1,040.00 ", -   ," 1,040.00 ", 195.00 , 390.00 , 650.00 ,63%
Batangas,DR 023858,11/03/2023,CALCIUM GLUCONATE - EUROMED, 0.40 ," 5,290.00 "," 2,116.00 ", -   ," 2,116.00 "," 1,680.00 ", 672.00 ," 1,444.00 ",68%
Batangas,DR 023858,11/03/2023,AMPITREX, 20.00 , 54.00 ," 1,080.00 ", -   ," 1,080.00 ", 27.00 , 540.00 , 540.00 ,50%
Batangas,DR 023858,11/03/2023,RYTHMA 50MG/ML, 1.00 ," 4,124.76 "," 4,124.76 ", -   ," 4,124.76 "," 2,539.00 "," 2,539.00 "," 1,585.76 ",38%
Batangas,DR 023859,11/03/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 023860,11/03/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 023861,11/03/2023,LACTAMOX 500MG/125MG TAB, 2.00 ," 3,600.00 "," 7,200.00 ", -   ," 7,200.00 "," 1,173.60 "," 2,347.20 "," 4,852.80 ",67%
Batangas,DR 023862,11/03/2023,LACTAMOX 500MG/125MG TAB, 2.00 ," 3,600.00 "," 7,200.00 ", -   ," 7,200.00 "," 1,173.60 "," 2,347.20 "," 4,852.80 ",67%
Batangas,DR 023863,11/03/2023,CENDALEX 500MG CAP, 3.00 ," 1,100.00 "," 3,300.00 ", -   ," 3,300.00 ", 287.50 , 862.50 ," 2,437.50 ",74%
Batangas,DR 023864,11/03/2023,JAGA 300MG/100MG/100MCG, 2.00 ," 1,590.00 "," 3,180.00 ", -   ," 3,180.00 ", 530.00 ," 1,060.00 "," 2,120.00 ",67%
Batangas,DR 023865,11/03/2023,VOXOLL 15MG/5ML SYR, 10.00 , 72.00 , 720.00 , -   , 720.00 , 30.00 , 300.00 , 420.00 ,58%
Batangas,DR 025232,11/02/2023,VOXOLL 15MG/5ML SYR, 8.00 , 72.00 , 576.00 , -   , 576.00 , 30.00 , 240.00 , 336.00 ,58%
Batangas,DR 025231,11/02/2023,LACTAMOX 250MG/62.5MG/5ML, 12.00 , 360.00 ," 4,320.00 ", -   ," 4,320.00 ", 129.70 ," 1,556.40 "," 2,763.60 ",64%
Batangas,DR 025230,11/02/2023,HYCLENS WOUND SPRAY (60ML), 12.00 , 286.00 ," 3,432.00 ", -   ," 3,432.00 ", 114.66 ," 1,375.92 "," 2,056.08 ",60%
Batangas,DR 025229,11/02/2023,EMZART 80, 5.00 , 924.00 ," 4,620.00 ", -   ," 4,620.00 ", 264.00 ," 1,320.00 "," 3,300.00 ",71%
Batangas,DR 025229,11/02/2023,TRIDEN 160MG, 5.00 ," 2,520.00 "," 12,600.00 ", -   ," 12,600.00 ", 720.00 ," 3,600.00 "," 9,000.00 ",71%
Batangas,DR 025229,11/02/2023,TERMAGEN 500MG, 3.00 , 220.00 , 660.00 , -   , 660.00 , 105.00 , 315.00 , 345.00 ,52%
Batangas,DR 025228,11/02/2023,JAGAPLEX SYR 120ML, 10.00 , 176.00 ," 1,760.00 ", -   ," 1,760.00 ", 53.85 , 538.50 ," 1,221.50 ",69%
Batangas,DR 025228,11/02/2023,GIAN ZINC 120ML SYR, 10.00 , 187.00 ," 1,870.00 ", -   ," 1,870.00 ", 85.00 , 850.00 ," 1,020.00 ",55%
Batangas,DR 025228,11/02/2023,METMIC 500MG, 3.00 , 715.00 ," 2,145.00 ", -   ," 2,145.00 ", 227.50 , 682.50 ," 1,462.50 ",68%
Batangas,DR 023866,11/03/2023,LACTAMOX 250MG/62.5MG/5ML, 10.00 , 360.00 ," 3,600.00 ", -   ," 3,600.00 ", 129.70 ," 1,297.00 "," 2,303.00 ",64%
Batangas,DR 023867,11/03/2023,TRIZEF 100MG, 3.00 ," 5,400.00 "," 16,200.00 ", -   ," 16,200.00 "," 1,400.00 "," 4,200.00 "," 12,000.00 ",74%
Batangas,DR 023868,11/03/2023,CINNABLOC 75MG, 9.00 , 176.00 ," 1,584.00 ", -   ," 1,584.00 ", 70.00 , 630.00 , 954.00 ,60%
Batangas,DR 023868,11/03/2023,CIUMADE, 2.00 , 990.00 ," 1,980.00 ", -   ," 1,980.00 ", 450.00 , 900.00 ," 1,080.00 ",55%
Batangas,DR 023868,11/03/2023,EMZART 80, 5.00 , 924.00 ," 4,620.00 ", -   ," 4,620.00 ", 264.00 ," 1,320.00 "," 3,300.00 ",71%
Batangas,DR 023869,11/03/2023,LACTAMOX 500MG/125MG TAB, 2.00 ," 3,600.00 "," 7,200.00 ", -   ," 7,200.00 "," 1,173.60 "," 2,347.20 "," 4,852.80 ",67%
Batangas,DR 023870,11/03/2023,JAGA 300MG/100MG/100MCG, 2.00 ," 1,590.00 "," 3,180.00 ", -   ," 3,180.00 ", 530.00 ," 1,060.00 "," 2,120.00 ",67%
Batangas,DR 024151,11/04/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 3.00 ," 1,800.00 "," 5,400.00 ", -   ," 5,400.00 ", 615.00 ," 1,845.00 "," 3,555.00 ",66%
Batangas,DR 024151,11/04/2023,JAGA 300MG/100MG/100MCG, 3.00 ," 1,590.00 "," 4,770.00 ", -   ," 4,770.00 ", 530.00 ," 1,590.00 "," 3,180.00 ",67%
Batangas,DR 024152,10/04/2023,CIUMADE, 4.00 , 990.00 ," 3,960.00 ", -   ," 3,960.00 ", 450.00 ," 1,800.00 "," 2,160.00 ",55%
Batangas,DR 024152,10/04/2023,TRIDEN 160MG, 3.00 ," 2,520.00 "," 7,560.00 ", -   ," 7,560.00 ", 720.00 ," 2,160.00 "," 5,400.00 ",71%
Batangas,DR 024153,10/04/2023,HYCLENS WOUND SPRAY (60ML), 10.00 , 286.00 ," 2,860.00 ", -   ," 2,860.00 ", 114.66 ," 1,146.60 "," 1,713.40 ",60%
Batangas,DR 024154,10/04/2023,HYCLENS WOUND SPRAY (60ML), 50.00 , 250.00 ," 12,500.00 ", -   ," 12,500.00 ", 114.66 ," 5,733.00 "," 6,767.00 ",54%
Batangas,DR 024156,10/04/2023,METROZOLE 500MG, 2.00 , 160.00 , 320.00 , -   , 320.00 , 133.00 , 266.00 , 54.00 ,17%
Batangas,DR 024156,10/04/2023,VELON 6.25MG, 2.00 , 104.00 , 208.00 , -   , 208.00 , 72.00 , 144.00 , 64.00 ,31%
Batangas,DR 024157,10/04/2023,GYNE-TOCIN 10IU/ML, 4.00 , 138.00 , 552.00 , -   , 552.00 , 90.00 , 360.00 , 192.00 ,35%
Batangas,DR 023900,10/04/2023,CETHERGO 200MCG/ML, 0.40 ," 2,800.00 "," 1,120.00 ", -   ," 1,120.00 "," 1,400.00 ", 560.00 , 560.00 ,50%
Batangas,DR 023900,10/04/2023,MECID 500MG, 2.00 , 140.00 , 280.00 , -   , 280.00 , 80.00 , 160.00 , 120.00 ,43%
Batangas,DR 024162,15/04/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 3.00 ," 1,800.00 "," 5,400.00 ", -   ," 5,400.00 ", 615.00 ," 1,845.00 "," 3,555.00 ",66%
Batangas,DR 024162,15/04/2023,JAGA 300MG/100MG/100MCG, 3.00 ," 1,590.00 "," 4,770.00 ", -   ," 4,770.00 ", 530.00 ," 1,590.00 "," 3,180.00 ",67%
Batangas,DR 024162,15/04/2023,VOXOLL 30MG TAB, 2.00 , 715.00 ," 1,430.00 ", -   ," 1,430.00 ", 168.00 , 336.00 ," 1,094.00 ",77%
Batangas,DR 024898,07/01/2023,HYCLENS WOUND SPRAY (60ML), 10.00 , 280.00 ," 2,800.00 ", -   ," 2,800.00 ", 114.66 ," 1,146.60 "," 1,653.40 ",59%
Batangas,DR 024899,07/01/2023,LACTAMOX 500MG/125MG TAB, 3.00 ," 3,000.00 "," 9,000.00 ", -   ," 9,000.00 "," 1,173.60 "," 3,520.80 "," 5,479.20 ",61%
Batangas,DR 024900,07/01/2023,LACTAMOX 125MG/31.25MG/5ML, 12.00 , 360.00 ," 4,320.00 ", -   ," 4,320.00 ", 129.70 ," 1,556.40 "," 2,763.60 ",64%
Batangas,DR 025201,07/01/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 025202,07/01/2023,HISTARIL 1MG/50MG/5ML SYR, 10.00 , 96.00 , 960.00 , -   , 960.00 , 33.00 , 330.00 , 630.00 ,66%
Batangas,DR 025203,07/01/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 025204,07/01/2023,ARTAL-H 50MG/12.5MG, 1.00 ," 3,000.00 "," 3,000.00 ", -   ," 3,000.00 ", 151.82 , 151.82 ," 2,848.18 ",95%
Batangas,DR 025205,07/01/2023,ARTAL-H 50MG/12.5MG, 1.00 ," 3,000.00 "," 3,000.00 ", -   ," 3,000.00 ", 151.82 , 151.82 ," 2,848.18 ",95%
Batangas,DR 025206,07/01/2023,LACTAMOX 125MG/31.25MG/5ML, 12.00 , 210.00 ," 2,520.00 ", -   ," 2,520.00 ", 129.70 ," 1,556.40 ", 963.60 ,38%
Batangas,DR 025210,14/01/2023,HYCLENS WOUND SPRAY (60ML), 20.00 , 250.00 ," 5,000.00 ", -   ," 5,000.00 ", 114.66 ," 2,293.20 "," 2,706.80 ",54%
Batangas,DR 025209,14/01/2023,AFENAX 100MG, 2.00 ," 2,200.00 "," 4,400.00 ", -   ," 4,400.00 ", 595.00 ," 1,190.00 "," 3,210.00 ",73%
Batangas,DR 025209,14/01/2023,TRIZEF 100MG, 1.00 ," 5,400.00 "," 5,400.00 ", -   ," 5,400.00 "," 1,400.00 "," 1,400.00 "," 4,000.00 ",74%
Batangas,DR 025209,14/01/2023,LACTAMOX 250MG/62.5MG/5ML, 12.00 , 360.00 ," 4,320.00 ", -   ," 4,320.00 ", 129.70 ," 1,556.40 "," 2,763.60 ",64%
Batangas,DR 025208,14/01/2023,LACTAMOX 500MG/125MG TAB, 3.00 ," 3,000.00 "," 9,000.00 ", -   ," 9,000.00 "," 1,173.60 "," 3,520.80 "," 5,479.20 ",61%
Batangas,DR 025208,14/01/2023,GIAN ZINC 120ML SYR, 12.00 , 187.00 ," 2,244.00 ", -   ," 2,244.00 ", 85.00 ," 1,020.00 "," 1,224.00 ",55%
Batangas,DR 025208,14/01/2023,VOXOLL 15MG/5ML SYR, 12.00 , 66.00 , 792.00 , -   , 792.00 , 30.00 , 360.00 , 432.00 ,55%
Batangas,DR 025207,14/01/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 5.00 ," 1,800.00 "," 9,000.00 ", -   ," 9,000.00 ", 615.00 ," 3,075.00 "," 5,925.00 ",66%
Batangas,DR 025234,18/02/2023,TACHYBAN 3MG, 2.00 ," 2,340.80 "," 4,681.60 ", -   ," 4,681.60 "," 1,140.00 "," 2,280.00 "," 2,401.60 ",51%
Batangas,DR 025234,18/02/2023,SOCORRO 5MG, 2.00 , 940.00 ," 1,880.00 ", -   ," 1,880.00 ", 314.16 , 628.32 ," 1,251.68 ",67%
Batangas,DR 025234,18/02/2023,EVAPROST 125MCG/ML, 2.00 ," 3,744.00 "," 7,488.00 ", -   ," 7,488.00 "," 1,872.00 "," 3,744.00 "," 3,744.00 ",50%
Batangas,DR 025239,18/02/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 025211,21/01/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 5.00 ," 1,800.00 "," 9,000.00 ", -   ," 9,000.00 ", 615.00 ," 3,075.00 "," 5,925.00 ",66%
Batangas,DR 025211,21/01/2023,CINNABLOC 75MG, 10.00 , 176.00 ," 1,760.00 ", -   ," 1,760.00 ", 70.00 , 700.00 ," 1,060.00 ",60%
Batangas,DR 025211,21/01/2023,CINNABLOC 25MG, 3.00 , 550.00 ," 1,650.00 ", -   ," 1,650.00 ", 200.00 , 600.00 ," 1,050.00 ",64%
Batangas,DR 025212,21/01/2023,AFENAX 100MG, 5.00 ," 1,980.00 "," 9,900.00 ", -   ," 9,900.00 ", 595.00 ," 2,975.00 "," 6,925.00 ",70%
Batangas,DR 025213,21/01/2023,HYCLENS GARGLE (120ML), 8.00 , 193.00 ," 1,544.00 ", -   ," 1,544.00 ", 88.00 , 704.00 , 840.00 ,54%
Batangas,DR 025215,28/01/2023,TRIZEF 100MG, 5.00 ," 5,400.00 "," 27,000.00 ", -   ," 27,000.00 "," 1,400.00 "," 7,000.00 "," 20,000.00 ",74%
Batangas,DR 025216,28/01/2023,JAGA 300MG/100MG/100MCG, 3.00 ," 1,590.00 "," 4,770.00 ", -   ," 4,770.00 ", 530.00 ," 1,590.00 "," 3,180.00 ",67%
Batangas,DR 025216,28/01/2023,METMIC 500MG, 3.00 , 715.00 ," 2,145.00 ", -   ," 2,145.00 ", 227.50 , 682.50 ," 1,462.50 ",68%
Batangas,DR 025216,28/01/2023,VOXOLL 30MG TAB, 5.00 , 715.00 ," 3,575.00 ", -   ," 3,575.00 ", 168.00 , 840.00 ," 2,735.00 ",77%
Batangas,DR 025217,28/01/2023,AFENAX 100MG, 5.00 ," 1,980.00 "," 9,900.00 ", -   ," 9,900.00 ", 595.00 ," 2,975.00 "," 6,925.00 ",70%
Batangas,DR 025217,28/01/2023,CINNABLOC 25MG, 3.00 , 550.00 ," 1,650.00 ", -   ," 1,650.00 ", 200.00 , 600.00 ," 1,050.00 ",64%
Batangas,DR 025218,30/01/2023,HYCLENS WOUND SPRAY (60ML), 30.00 , 250.00 ," 7,500.00 ", -   ," 7,500.00 ", 114.66 ," 3,439.80 "," 4,060.20 ",54%
Batangas,DR 025219,04/02/2023,TRIZEF 100MG, 4.00 ," 5,400.00 "," 21,600.00 ", -   ," 21,600.00 "," 1,400.00 "," 5,600.00 "," 16,000.00 ",74%
Batangas,DR 025220,04/02/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 5.00 ," 1,800.00 "," 9,000.00 ", -   ," 9,000.00 ", 615.00 ," 3,075.00 "," 5,925.00 ",66%
Batangas,DR 025220,04/02/2023,CIUMADE, 4.00 , 990.00 ," 3,960.00 ", -   ," 3,960.00 ", 450.00 ," 1,800.00 "," 2,160.00 ",55%
