MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Government,DR RT 0002009,21-Feb-25,"PAGBILAO # 411,290",1.00,"104,995.00","104,995.00",0.00,"104,995.00","213,312.00","213,312.00","-108,317.00",-103%
Government,DR RT 0002010,01-Feb-25,,1.00,"148,236.00","148,236.00",0.00,"148,236.00",,,"148,236.00",100%
Government,DR RT 0002011,01-Feb-25,,1.00,"59,740.00","59,740.00",0.00,"59,740.00",,,"59,740.00",100%
Government,DR RT 0002003-2004,31-Jan-25,"PAGBILAO # 2,070,000",1.00,"2,069,000.00","2,069,000.00",0.00,"2,069,000.00","1,374,000.00","1,374,000.00","695,000.00",34%
Government,DR RT 0002005-2006,31-May-25,"PAGBILAO # 6,334,470",1.00,"6,333,000.00","6,333,000.00",0.00,"6,333,000.00","2,916,065.28","2,916,065.28","3,416,934.72",54%
Government,DR RT 0002007-2008,01-Feb-25,"PAGBILAO # 474,160",1.00,"469,000.00","469,000.00",0.00,"469,000.00","415,000.00","415,000.00","54,000.00",12%
Government,DR RT 0872,21-Feb-25,"PAGBILAO # 3,658,000",1.00,"764,600.00","764,600.00",0.00,"764,600.00","2,618,955.96","2,618,955.96","-1,854,355.96",-243%
Government,DR RT 0873,21-Feb-25,,1.00,"295,544.50","295,544.50",0.00,"295,544.50",,,"295,544.50",100%
Government,DR RT 0874,21-Feb-25,,1.00,"2,595,995.00","2,595,995.00",0.00,"2,595,995.00",,,"2,595,995.00",100%
Admin,DR 025263,03-Jan-25,CIUMADE,7.00,678.57,"4,749.99",0.00,"4,749.99",450.00,"3,150.00","1,599.99",34%
Admin,DR 025263,03-Jan-25,SANOMAX - FA,7.00,857.14,"5,999.98",0.00,"5,999.98",560.00,"3,920.00","2,079.98",35%
Admin,DR 025263,03-Jan-25,LACTAMOX 500MG/125MG,2.00,"2,800.00","5,600.00",0.00,"5,600.00","1,115.00","2,230.00","3,370.00",60%
Admin,DR 025263,03-Jan-25,MUCOLIFAR 500MG,2.00,"3,500.00","7,000.00",0.00,"7,000.00","1,100.00","2,200.00","4,800.00",69%
Admin,DR 025263,03-Jan-25,ANEROCIN 300MG,2.00,"3,800.00","7,600.00",0.00,"7,600.00",979.00,"1,958.00","5,642.00",74%
Admin,DR 025263,03-Jan-25,GLOVES SMALL NITRILE NONSTERILE (SURGITECH),3.00,450.00,"1,350.00",0.00,"1,350.00",200.00,600.00,750.00,56%
Admin,DR 025264,08-Jan-25,CIUMADE,7.00,678.57,"4,749.99",0.00,"4,749.99",450.00,"3,150.00","1,599.99",34%
Admin,DR 025264,08-Jan-25,FERGLOBIN 250MG CAP,7.00,517.86,"3,625.02",0.00,"3,625.02",325.00,"2,275.00","1,350.02",37%
Admin,DR 025264,08-Jan-25,APCELAC 500MG HERBAL FOOD SUPPLEMENT,7.00,655.00,"4,585.00",0.00,"4,585.00",400.00,"2,800.00","1,785.00",39%
Admin,DR 025264,08-Jan-25,CIXTOR-Z 500mg,7.00,630.00,"4,410.00",0.00,"4,410.00",210.00,"1,470.00","2,940.00",67%
Admin,DR 025264,08-Jan-25,TRANEXSAPH 500MG,7.00,"1,500.00","10,500.00",0.00,"10,500.00",365.00,"2,555.00","7,945.00",76%
Admin,DR 025264,08-Jan-25,ENCLOXIL 500MG,7.00,"1,392.86","9,750.02",0.00,"9,750.02",780.00,"5,460.00","4,290.02",44%
Quezon,DR 025488,02-Jan-25,HYCLENS WOUND SPRAY 2% 120ML BOV,20.00,550.00,"11,000.00","1,100.00","9,900.00",392.00,"7,840.00","2,060.00",19%
Quezon,DR 025489,02-Jan-25,BERCEF 250MG/5ML,20.00,450.00,"9,000.00",0.00,"9,000.00",180.00,"3,600.00","5,400.00",60%
Quezon,DR 025490,02-Jan-25,BENERVA PLUS 500MG/50MG/100MG/100MCG,2.00,"1,200.00","2,400.00",0.00,"2,400.00",615.00,"1,230.00","1,170.00",49%
Quezon,DR 025491,03-Jan-25,JAGA 300MG/100MG/100MCG CAP,3.00,"1,078.00","3,234.00",0.00,"3,234.00",530.00,"1,590.00","1,644.00",51%
Quezon,DR 025492,03-Jan-25,PREHEXA CAPSULE,3.00,945.00,"2,835.00",850.50,"1,984.50",243.00,729.00,"1,255.50",44%
Quezon,DR 025493,03-Jan-25,ROSVA 20-20MG,2.00,948.00,"1,896.00",568.80,"1,327.20",273.00,546.00,781.20,41%
Quezon,DR 025493,03-Jan-25,EMZART-40 40MG,2.00,642.50,"1,285.00",385.50,899.50,156.00,312.00,587.50,46%
Quezon,DR 025494,07-Jan-25,FERGLOBIN 250MG CAP,10.00,800.00,"8,000.00","2,400.00","5,600.00",325.00,"3,250.00","2,350.00",29%
Quezon,DR 025495,07-Jan-25,BUFEN 200MG/5ML,12.00,115.00,"1,380.00",0.00,"1,380.00",47.50,570.00,810.00,59%
Quezon,DR 025495,07-Jan-25,CENDALEX 100MG/ML,20.00,125.00,"2,500.00",0.00,"2,500.00",35.70,714.00,"1,786.00",71%
Quezon,DR 025495,07-Jan-25,HYCLENS GARGLE 0.12% 120ML,12.00,208.00,"2,496.00",0.00,"2,496.00",88.00,"1,056.00","1,440.00",58%
Batangas,DR 025521,07-Jan-25,LACTAMOX 500MG/125MG,3.00,"3,600.00","10,800.00",540.00,"10,260.00","1,115.00","3,345.00","6,915.00",64%
Batangas,DR 025521,07-Jan-25,JAGA 300MG/100MG/100MCG CAP,2.00,"1,590.00","3,180.00",159.00,"3,021.00",530.00,"1,060.00","1,961.00",62%
Batangas,DR 025521,07-Jan-25,VOXOLL 30MG,2.00,800.00,"1,600.00",80.00,"1,520.00",168.00,336.00,"1,184.00",74%
Batangas,DR 025521,07-Jan-25,EMLOR PLUS 5MG/50MG,7.00,590.00,"4,130.00",206.50,"3,923.50",216.00,"1,512.00","2,411.50",58%
Batangas,DR 025522,07-Jan-25,ZELEX 200MG CAP,2.00,"2,800.00","5,600.00",280.00,"5,320.00",925.00,"1,850.00","3,470.00",62%
