MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product, Qty , ContractPrice , TOTAL CP , Discount , TotalCP , TransferPrice , Total TP , Net Income ,
15837,03-Aug-18,Cam Norte,LEIVICLOX 250mg Sus, 4.00 , 272.00 ," 1,088.00 ", -   ," 1,088.00 ", 65.00 , 260.00 , 828.00 ,
15837,03-Aug-18,Cam Norte,COZOLE 200mg/40mg/5ml, 12.00 , 90.00 ," 1,080.00 ", -   ," 1,080.00 ", 32.40 , 388.80 , 691.20 ,
15838,04-Aug-18,Cam Norte,JAGA 300MG/100MG/100MCG, 1.00 ," 1,150.00 "," 1,150.00 ", -   ," 1,150.00 ", 530.00 , 530.00 , 620.00 ,
15839,04-Aug-18,Cam Norte,CINNABLOC 25mg, 2.00 , 500.00 ," 1,000.00 ", -   ," 1,000.00 ", 133.00 , 266.00 , 734.00 ,
15840,06-Aug-18,Cam Norte,EUROXONE 1g, 11.00 , 345.45 ," 3,800.00 ", -   ," 3,800.00 ", 73.00 , 803.00 ," 2,997.00 ",
15841,06-Aug-18,Cam Norte,EUROXONE 1g, 11.00 , 345.45 ," 3,800.00 ", -   ," 3,800.00 ", 73.00 , 803.00 ," 2,997.00 ",
15842,06-Aug-18,Cam Norte,OMCARE 40mg, 1.00 ," 3,600.00 "," 3,600.00 ", -   ," 3,600.00 ", 391.30 , 391.30 ," 3,208.70 ",
15843,06-Aug-18,Cam Norte,OMCARE 40mg, 1.00 ," 3,600.00 "," 3,600.00 ", -   ," 3,600.00 ", 391.30 , 391.30 ," 3,208.70 ",
15844,06-Aug-18,Cam Norte,SOLUNATE 84mg/ml (8.4%), 0.20 ," 12,000.00 "," 2,400.00 ", -   ," 2,400.00 "," 5,319.00 "," 1,063.80 "," 1,336.20 ",
15845,06-Aug-18,Cam Norte,SOLUNATE 84mg/ml (8.4%), 0.20 ," 12,000.00 "," 2,400.00 ", -   ," 2,400.00 "," 5,319.00 "," 1,063.80 "," 1,336.20 ",
15846,08-Aug-18,Cam Norte,JAGA 300MG/100MG/100MCG, 2.00 ," 1,150.00 "," 2,300.00 ", -   ," 2,300.00 ", 530.00 ," 1,060.00 "," 1,240.00 ",
15846,08-Aug-18,Cam Norte,HISTARIL 2mg/100mg CAP, 1.00 , 800.00 , 800.00 , -   , 800.00 , 225.00 , 225.00 , 575.00 ,
15846,08-Aug-18,Cam Norte,BROADMETZ 500mg, 2.00 ," 1,000.00 "," 2,000.00 ", -   ," 2,000.00 ", 319.00 , 638.00 ," 1,362.00 ",
15846,08-Aug-18,Cam Norte,CEFEXIL 500mg, 2.00 ," 1,800.00 "," 3,600.00 ", -   ," 3,600.00 ",,," 3,600.00 ",
15846,08-Aug-18,Cam Norte,TRIVASC 35mg MR, 2.00 ," 1,425.00 "," 2,850.00 ", -   ," 2,850.00 ", 490.00 , 980.00 ," 1,870.00 ",
15847,08-Aug-18,Cam Norte,ZAFEX 500mg, 1.00 ," 3,000.00 "," 3,000.00 ", -   ," 3,000.00 "," 1,000.00 "," 1,000.00 "," 2,000.00 ",
15848,09-Aug-18,Cam Norte,EUROXONE 1g, 11.00 , 345.45 ," 3,800.00 ", -   ," 3,800.00 ", 73.00 , 803.00 ," 2,997.00 ",
15849,09-Aug-18,Cam Norte,MULTI GROW 30ml drops, 18.00 , 116.67 ," 2,100.06 ", -   ," 2,100.06 ", 60.00 ," 1,080.00 "," 1,020.06 ",
15850,10-Aug-18,Cam Norte,EVAPROST 250mcg/ml, 20.00 ," 9,600.00 "," 192,000.00 ", -   ," 192,000.00 "," 3,575.00 "," 71,500.00 "," 120,500.00 ",
15882,07-Mar-18,Laguna,EUROXONE 1g, 50.00 , 190.00 ," 9,500.00 ", -   ," 9,500.00 ", 73.00 ," 3,650.00 "," 5,850.00 ",
15882,07-Mar-18,Laguna,EUROXIME 500mg, 2.00 ," 2,100.00 "," 4,200.00 ", -   ," 4,200.00 ",,," 4,200.00 ",
15893,02-Mar-18,Laguna,MULTIMEEDS, 3.00 , 200.00 , 600.00 , -   , 600.00 , 78.00 , 234.00 , 366.00 ,
15893,02-Mar-18,Laguna,TRIVASC 35mg MR, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 490.00 , 980.00 ," 2,020.00 ",
15893,02-Mar-18,Laguna,LACTAMOX 500mg/125mg TAB, 2.00 ," 2,820.00 "," 5,640.00 ", -   ," 5,640.00 "," 1,173.20 "," 2,346.40 "," 3,293.60 ",
15893,02-Mar-18,Laguna,FERGLOBIN 250mg, 1.00 , 300.00 , 300.00 , -   , 300.00 , 215.00 , 215.00 , 85.00 ,
15893,02-Mar-18,Laguna,EUROXONE 1g, 50.00 , 264.00 ," 13,200.00 ", -   ," 13,200.00 ", 73.00 ," 3,650.00 "," 9,550.00 ",
15894,05-Mar-18,Laguna,NATURALLE, 3.00 ," 1,440.00 "," 4,320.00 ", -   ," 4,320.00 ", 869.00 ," 2,607.00 "," 1,713.00 ",
15894,05-Mar-18,Laguna,NITROFIX SR 30mg, 2.00 ," 1,300.00 "," 2,600.00 ", -   ," 2,600.00 ", 470.00 , 940.00 ," 1,660.00 ",
15894,05-Mar-18,Laguna,DOXOFAR 400mg TAB, 3.00 , 960.00 ," 2,880.00 ", -   ," 2,880.00 ", 320.00 , 960.00 ," 1,920.00 ",
