data_layer,date_delivered,date_is_estimated,date_estimation_method,original_date_delivered,nearest_dated_source_row_number,date_source_row_distance,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,sales_acceptance_status,sales_rejection_reason
cleaned_sales,,,,,,,,,,,,,233969.797959,13460419.644784,104602158.394517,1174293.84834,0,3381677.909947,31146728.501803,73455429.892715,0,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,10324,a55bed6a03b0d28ed19f421f2ed79b1dd3d728538a2e0085bb680970567e9be2,b148092be7fb573a689b2504793b84bef5c54a1465fc69dbaf3b7683215c2f96,,,raw_medshield,"['net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-01,,,,,,2019,01,01,DR-18567,Quezon,CORSTAPH 500MG,1,1500,1500,0,0,435,435,1065,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5363,2bb4839f93a27796b605baead2bd6fcae30b3966bb7162b0cc0b44d6b382b3c5,27b0f588364fb5a00add5b85f589d64069e86ee9f594d6a6c59225e53f818b66,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-01,,,,,,2019,01,01,DR-18567,Quezon,EUROXIME 250MG/5ML,10,400,4000,0,0,139.45,1394.5,2605.5,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5362,a0ff97572be9692f3f3217196c6eb2056ab350cbcc1b39198dfbef1ba9becf90,6a1469e346f5030229e5f2dbcd20312b82fe3843f1265deb20690f55a32eef16,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-01,,,,,,2019,01,01,DR-18567,Quezon,MONILIASOL 500MG,1,750,750,0,0,240,240,510,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5364,cd925cb30cee2b946daea5196c3edca29fabf99489e1f4b919114af498067ae0,5a1628de156bfdbd84c65de3f2f0f984966dc0a31f8e4d1a166b93045078104f,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-02,,,,,,2019,01,02,DR-18411,Camarines Norte,SODAMPEN 1G IM/IV,11,109.090909,1200,0,0,43,473,727,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5026,7a26833523d7f306b613f375475bee4754e37563c3d17a2f77a3292cbc5db4ac,bc0cb228893f0a7be23867e448d58f4a22ccc7ba5fd2316cecacc2010f6ce795,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-02,,,,,,2019,01,02,DR-18412,Camarines Norte,SODAMPEN 1G IM/IV,11,109.090909,1200,0,0,43,473,727,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5027,53ae6b1641088fddb5f275f2baa407990dd9f0975051595e77e3a78845e686be,ff96493d30ae497c8d94ba9eb231e7fb1c541382b0277daad4ce281ca5d37222,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-02,,,,,,2019,01,02,18675/SI2076,Hospital,NERVAMIN PLUS 500MG/50MG/100MG/100MCG,5,1550,7750,0,0,244,1220,6530,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5580,14c2e35c784cef5d63175f57c3605fd1c94c1ecc04ac1d51aeccb730a9a744b9,71148e3aeda1898405b84c8cd1119ef9a5b1d02429cca427a9856b17bd1d1882,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18615,Batangas,ALGICAP 500MG CAP,3,800,2400,0,0,227.5,682.5,1717.5,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5475,1111f1cf54cee979e014d3c2a386c3f1cbedcd5896b41d573254104d95e22351,bd080de2477be794033a36a333cdccd70291a11fcf695a421d93026abe386e47,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18620,Batangas,FERGLOBIN FA 60MG/400MCG,1,1078,1078,0,0,250,250,828,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5481,f65aa9123bd7084c42cab62e055a35070acbdfa1aa77ee189b975692eac984a9,c855bf056e90aa169a4da2af69dada4e0644580fcca9357cedb832b7bec24552,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18621,Batangas,FERGLOBIN FA 60MG/400MCG,1,1078,1078,0,0,250,250,828,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5482,16afeb6734e42661382dfbf71278bcc2972fcaaae84084c996b554cd205c0730,b585deb85415fe4cd811b6dd2d4dbec5066bd85c8ab4ac6eb785490338dd0361,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18618,Batangas,JAGA 300MG/100MG/100MCG,1,1500,1500,0,0,530,530,970,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5479,213e4e10b37e40373d603a1eec893ea0ebb3da722f98e97a8479673f1a453d40,edb81116bd6c658e96de06026691b19b0ae7df363dff54e675712f05af94c94a,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18619,Batangas,JAGA 300MG/100MG/100MCG,1,1500,1500,0,0,530,530,970,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5480,fa3f049205f2ba54f2648fb1934cb92f6a1de5c645bc84e0b8c8d2875c8c6198,333d4a4804f6ef7f78d77da9e009fa6ed1e7b4a5261d2060585b52dc1a41f406,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18616,Batangas,LACTAMOX 500MG/125MG TAB,1,3360,3360,0,0,1173.2,1173.2,2186.8,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5477,38474edb4cebae18d9e2309d9906ed93177c4f7f71735ccf6207870d0c211785,2377495f7ea5926bf2ccd5de5b2c76541b9b70474d16561ebf79122e5d09aee8,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18617,Batangas,LACTAMOX 500MG/125MG TAB,1,3360,3360,0,0,1173.2,1173.2,2186.8,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5478,14a2993c89c64a37ae0617caba8ac190045d16218d2bb83d7344521348f2aa6c,32d5e34d331de318738dd3f752c35165e2bf02cde847a197165b4999d5215b10,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18614,Batangas,ROCIN 150,10,1950,19500,0,0,660,6600,12900,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5474,c46fe1bf3e6523182153555ef212aff87acf19d07cbeb9b5fd2bebd7a98b2ef0,3122c0d4e1f1b783d2e0ea14a000dc2753be22c156fdf418932ca62338361a20,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18615,Batangas,VICEPHRIN 100MG/ML,20,88,1760,0,0,34.22,684.4,1075.6,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5476,7478fab661c3226a501c1df52622c16c2011223d7ddc68e17cc6a710606021af,8d3f9f4f1059b5dbce7fd4ee0f4c0fcec5a659b000d95294249874b8c82288b3,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18413,Camarines Norte,ENCLOXIL 500MG,2,1800,3600,0,0,0,0,3600,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5029,56eb554b46d0450784b96ab49da222e31d749a15797fcc50db8f447db8146038,9abe84c4b513d31bfc1c1874cc19e50632425180aafce88d00782f1d653e2785,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'trade_price_unit: blank converted to 0', 'total_trade_price: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
cleaned_sales,2019-01-03,,,,,,2019,01,03,DR-18413,Camarines Norte,JAGAPLEX TAB,3,1185,3555,0,0,263.333333,790,2765,0,valid,,,,,,,,,,,,,,Medshield__Keith_San_Miguel_.xlsx,sales2019,5030,4135eb7bf8ac7f9afba3e801060379ab24409dfc90b9052b90a4fe967b5db9b8,db6dafe7ea17c6dc80794b47ffef726ecfc9d1393a602d849cf3635c2dec1e80,,,raw_medshield,"['dr_number: standardized identifier format', 'net_cost: blank converted to 0', 'margin_pct: derived from net income / net cost']",False,,,accepted_clean_sales,
