normalized_key,raw_product,row_count
PLASTER ADHESIVE BANDAGE WATER RESIST,PLASTER ADHESIVE BANDAGE WATER RESIST (MEDIPLAST),2
PLASTER ADHESIVE BANDAGE WATER RESIST,PLASTER ADHESIVE BANDAGE WATER RESIST (MEDICARE),1
DIGITAL FOREHEAD THERMOMETER INFRARED,DIGITAL FOREHEAD THERMOMETER INFRARED,1
DIGITAL FOREHEAD THERMOMETER INFRARED,DIGITAL FOREHEAD THERMOMETER INFRARED (HI8US),1
DIGITAL FOREHEAD THERMOMETER INFRARED,DIGITAL FOREHEAD THERMOMETER INFRARED (DELI),1
AZMONT 10MG,AZMONT 10MG,1
AZMONT 10MG,AZMONT 10MG TAB,1
DIAMIR 30MG,DIAMIR 30MG,1
DIAMIR 30MG,DIAMIR 30MG TAB,1
WYTEBOARD MARKER BLACK,WYTEBOARD MARKER BLACK (MONAMI),1
WYTEBOARD MARKER BLACK,WYTEBOARD MARKER BLACK (PILOT),1
RECORD BOOK 300 S,RECORD BOOK 300'S (ADVANTAGE),1
RECORD BOOK 300 S,RECORD BOOK 300'S(VANDA),1
STORAGE BOX 155LITERS,STORAGE BOX 155LITERS (MEGA),1
STORAGE BOX 155LITERS,STORAGE BOX 155LITERS,1
MUCOMED 25MG,MUCOMED 25MG,1
MUCOMED 25MG,MUCOMED 25MG TAB,1
BP APPARATUS DIGITAL W ADAPTOR,BP APPARATUS DIGITAL W/ ADAPTOR (INDOPLAS),1
BP APPARATUS DIGITAL W ADAPTOR,BP APPARATUS DIGITAL W/ ADAPTOR (OMRON),1
GLOVES MEDIUM VINYL NONSTERILE,GLOVES MEDIUM VINYL NONSTERILE (GLOMED),1
GLOVES MEDIUM VINYL NONSTERILE,GLOVES MEDIUM VINYL NONSTERILE (SUREGUARD),1
TAPE TRANSPARENT 1,TAPE TRANSPARENT 1'' (ARMAK),1
TAPE TRANSPARENT 1,TAPE TRANSPARENT 1'',1
LUBRICATING JELLY 3G,LUBRICATING JELLY 3G (SURGITECH),1
LUBRICATING JELLY 3G,LUBRICATING JELLY 3G (ORMED),1
ENDOTRACHEAL TUBE CUFFED 5 0MM,ENDOTRACHEAL TUBE CUFFED 5.0MM (ORMED),1
ENDOTRACHEAL TUBE CUFFED 5 0MM,ENDOTRACHEAL TUBE CUFFED 5.0MM (PARTNERS),1
ENDOTRACHEAL TUBE CUFFED 6 0MM,ENDOTRACHEAL TUBE CUFFED 6.0MM (INDOPLAS),1
ENDOTRACHEAL TUBE CUFFED 6 0MM,ENDOTRACHEAL TUBE CUFFED 6.0MM (PARTNERS),1
ETHYL ALCOHOL 70 500ML,ETHYL ALCOHOL 70% 500ML (ALCORIGHT),1
ETHYL ALCOHOL 70 500ML,ETHYL ALCOHOL 70% 500ML (ZACH),1
CURTAIN PLAIN FABRIC WITH RING SIZE 215X140CM,CURTAIN PLAIN FABRIC WITH RING SIZE 215X140CM (BLUE),1
CURTAIN PLAIN FABRIC WITH RING SIZE 215X140CM,CURTAIN PLAIN FABRIC WITH RING SIZE 215X140CM (CREAM),1
OXYGEN REGULATOR,OXYGEN REGULATOR (INDOPLAS),1
OXYGEN REGULATOR,OXYGEN REGULATOR,1
NELATON CATHETER FR 10,NELATON CATHETER FR.10 (SIMPLEX),1
NELATON CATHETER FR 10,NELATON CATHETER FR.10 (ORMED),1
DISPOSABLE SYRINGE TUBERCULIN 1CC 25GX5 8,DISPOSABLE SYRINGE/TUBERCULIN 1CC 25GX5/8 (SUREGUARD),1
DISPOSABLE SYRINGE TUBERCULIN 1CC 25GX5 8,DISPOSABLE SYRINGE/TUBERCULIN 1CC 25GX5/8 (TERUMO),1
PRODUCT REP SALES SUMM,PRODUCT REP (CP) - SALES SUMM (CP),1
PRODUCT REP SALES SUMM,PRODUCT REP (TP) - SALES SUMM (TP),1
DISPOSABLE NEEDLE G20,DISPOSABLE NEEDLE G20 (ORMED),1
DISPOSABLE NEEDLE G20,DISPOSABLE NEEDLE G20 (INDOPLAS),1
