product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
PROFUREX 750MG,37760.0,7494549.86,6725502.14,39,25,0,5843236.139999999,6612283.860000002,1,0.883694,0.032147,0.032147,A,ABC/Pareto using total_trade_price revenue,draft
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,6,0,2331189.0,5780545.999999999,2,0.403282,0.024795,0.056942,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,1380.0,4933500.0,3765762.0,241,59,0,759187.0,1694550.0,3,0.448017,0.021162,0.078104,A,ABC/Pareto using total_trade_price revenue,draft
MAXIFER 20MG/ML,4102.0,3769060.368,3778230.168,152,55,0,1668.18,1761.82,4,0.94685,0.016167,0.09427,A,ABC/Pareto using total_trade_price revenue,draft
ZEFXON 40MG,11480.0,3266209.076,2894463.724,61,28,0,2551322.3240000005,2923067.6759999995,5,0.872824,0.01401,0.10828,A,ABC/Pareto using total_trade_price revenue,draft
LOWAS 5MG,100.85,2561585.12,1716137.56,75,24,65,410156.99000000005,1083426.93,6,0.378574,0.010988,0.119268,A,ABC/Pareto using total_trade_price revenue,draft
CEFALEXIN 500MG,74.9096,2384847.13,1576967.4,35,18,30,199333.07,529127.86,7,0.37672,0.01023,0.129498,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,1950000.0,5,3,0,1475000.0,1900000.0,8,0.776316,0.010187,0.139685,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 125MCG/ML,1153.0,2158416.0,1935184.0,212,59,0,85648.0,159120.0,9,0.53826,0.009258,0.148943,A,ABC/Pareto using total_trade_price revenue,draft
EUROXONE 1G,29414.0,2147222.0,2154108.0,317,62,0,170.0,730.0,10,0.232877,0.00921,0.158153,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA,1551.0,2125544.0,1863394.0,60,17,0,661700.0,819250.0,11,0.80769,0.009117,0.167271,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,0,970810.0,2004500.0,12,0.484315,0.008598,0.175869,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU/0.7ML,1448.6587,1996267.95,1736913.02,20,6,6,183413.02000000002,403454.49000000005,13,0.454606,0.008563,0.184431,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS 0.2% WOUND SPRAY 60ML,15238.0,1962593.448,1946027.166,115,19,0,48733.29000000001,62466.06,14,0.780156,0.008418,0.19285,A,ABC/Pareto using total_trade_price revenue,draft
MONOWEL 1G,4377.0,1930346.22,1625447.9467,27,17,0,1543229.303333,1807165.576667,15,0.85395,0.00828,0.20113,A,ABC/Pareto using total_trade_price revenue,draft
"QMC 787,170",9.4518,1928778.38,978044.01,28,10,27,907464.2999999999,1769725.4900000002,16,0.512771,0.008273,0.209403,A,ABC/Pareto using total_trade_price revenue,draft
HAIXONE WITH DILUENT 1G,53617.6412,1927051.08,1550652.58,41,10,16,1485873.4200000002,1750029.9500000002,17,0.849056,0.008266,0.217669,A,ABC/Pareto using total_trade_price revenue,draft
AMCETAM 150MG/ML 2ML,1946.5725,1822798.23,692690.45,34,17,11,511202.4,1468580.79,18,0.348093,0.007819,0.225487,A,ABC/Pareto using total_trade_price revenue,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7202.1034,1766354.64,870292.95,21,4,9,640788.18,1456060.1300000001,19,0.440084,0.007577,0.233064,A,ABC/Pareto using total_trade_price revenue,draft
ENOXAGET-40 40MG/0.4ML,2145.8843,1764270.12,1477028.11,16,8,6,1461479.6,1737123.9099999997,20,0.841321,0.007568,0.240632,A,ABC/Pareto using total_trade_price revenue,draft
ZINACARE 750MG W/ DILUENT,42103.0029,1664256.92,1027683.85,29,8,10,1012083.8500000001,1158260.0000000002,21,0.873797,0.007139,0.24777,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7933.9602,1657118.82,1493254.63,55,29,5,260298.63999999998,424162.83,22,0.613676,0.007108,0.254878,A,ABC/Pareto using total_trade_price revenue,draft
MARKER BLACK (PILOT),39.1089,1656629.6,889155.12,40,15,37,373671.07,682687.96,23,0.547353,0.007106,0.261984,A,ABC/Pareto using total_trade_price revenue,draft
LACTAMOX 500MG/125MG TAB,1376.5667,1595511.7752,1573468.2553,510,65,0,101232.19990699999,147039.69988299994,24,0.688468,0.006844,0.268828,A,ABC/Pareto using total_trade_price revenue,draft
CAMERA WITH SD CARD AND LENS EOS RP RF24-105MM PRO (CANON),9.5592,1512918.42,802026.81,28,10,27,730550.5100000001,1351845.05,25,0.54041,0.006489,0.275317,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS 0.2% WOUND SPRAY,12247.0,1466185.0,1465574.77,39,11,0,19054.77,19665.0,26,0.968969,0.006289,0.281606,A,ABC/Pareto using total_trade_price revenue,draft
TRIVASC 35MG MR,5205.3239,1447683.39,1386874.52,433,71,1,172119.52,248415.89,27,0.692868,0.00621,0.287816,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,1539.0,1400460.0,687610.0,31,17,0,659880.0,1271150.0,28,0.51912,0.006007,0.293823,A,ABC/Pareto using total_trade_price revenue,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,0,1297000.0,1400000.0,29,0.926429,0.006005,0.299828,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML IV,286.7425,1384996.23,749192.38,51,24,8,469124.16000000003,1104928.0100000002,30,0.424574,0.005941,0.305769,A,ABC/Pareto using total_trade_price revenue,draft
REFRIGERATOR 22CU.FT TWO DOOR UPRIGHT CHILLER (FUJIDENZO),5.9707,1375375.06,521155.96,34,12,33,520197.57999999996,1044462.2599999999,31,0.498053,0.0059,0.311669,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT AMPULE,7232.22,1350752.97,1321873.06,180,32,2,2093.06,5836.65,32,0.358606,0.005794,0.317463,A,ABC/Pareto using total_trade_price revenue,draft
CORPILYN 500MG,25775.2144,1327480.91,739421.2,50,15,19,466679.45000000007,848260.1299999998,33,0.550161,0.005694,0.323157,A,ABC/Pareto using total_trade_price revenue,draft
MICROPORE 1X10 2.5CMX9.1M (3M),629.9329,1305294.48,633349.77,42,10,14,614289.96,1071423.1800000002,34,0.57334,0.005599,0.328755,A,ABC/Pareto using total_trade_price revenue,draft
LACTAMOX 500MG/125MG,859.9561,1282919.2,1110408.4299,296,34,7,137458.169946,241347.40996099997,35,0.569545,0.005503,0.334258,A,ABC/Pareto using total_trade_price revenue,draft
DOLO JAGA 500MG/50MG/100MG/100MCG,1972.16,1194654.4,1135722.4,546,61,0,214638.45,267525.0,36,0.802312,0.005124,0.339383,A,ABC/Pareto using total_trade_price revenue,draft
TROYNOXA-60 60MG/0.6ML,2770.0,1119080.0,1119080.0,4,4,0,0.0,0.0,37,0.0,0.0048,0.344183,A,ABC/Pareto using total_trade_price revenue,draft
SORBIFER 310MG,1375.0,1066782.64,772067.36,52,36,0,772067.3600000003,977932.6399999997,38,0.789489,0.004576,0.348759,A,ABC/Pareto using total_trade_price revenue,draft
AIRCON SPLIT TYPE 2HP INVERTER (CARRIER),9.291,1001307.28,500308.83,35,14,34,438185.7399999999,850915.3000000002,39,0.514958,0.004295,0.353054,A,ABC/Pareto using total_trade_price revenue,draft
KN95 FACEMASK (PIECE),8553.0,995624.0,7624.0,12,6,0,0.0,0.0,40,0.0,0.004271,0.357324,A,ABC/Pareto using total_trade_price revenue,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,985600.0,901624.95,3,2,0,411624.95,495600.0,41,0.830559,0.004228,0.361552,A,ABC/Pareto using total_trade_price revenue,draft
PPE SET,2510.0,978900.0,750100.0,3,3,0,457600.0,686400.0,42,0.666667,0.004199,0.365751,A,ABC/Pareto using total_trade_price revenue,draft
HYCLENS SKIN CLEANSER (60ML),8511.0,965147.4,883159.2,16,13,0,0.0,0.0,43,0.0,0.00414,0.369891,A,ABC/Pareto using total_trade_price revenue,draft
MATERNITY PADS 8S (MAXIFREE),14258.3609,902195.91,470307.11,17,7,2,431471.20000000007,863360.0,44,0.499758,0.00387,0.373761,A,ABC/Pareto using total_trade_price revenue,draft
