period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial,is_partial_period
2017-01,2016-01,5239.0,725688.98,697276.82,,,,,False,False
2017-02,2016-02,7862.0,752687.94,742045.74,,,,,False,False
2017-03,2016-03,43872.0,761529.5567,723280.6933,,,,,False,False
2017-04,2016-04,13473.0,717185.74,655733.06,,,,,False,False
2017-05,2016-05,2314.0,336137.25,331938.25,,,,,False,False
2017-06,2016-06,2258.0,183963.03,181087.4967,,,,,False,False
2017-07,2016-07,2893.96,257843.18,256830.38,,,,,False,False
2017-08,2016-08,1641.7,428215.32,407681.12,,,,,False,False
2017-09,2016-09,2268.8,504890.75,482959.54,,,,,False,False
2017-10,2016-10,1350.0,288503.77,257582.57,,,,,False,False
2017-11,2016-11,948.1233,257047.6027,239754.9527,,,,,False,False
2017-12,2016-12,9464.3333,391350.4,368228.4,,,,,False,False
2018-03,2017-03,10939.8867,1516641.0309,1418681.4209,43872.0,761529.5567,-0.750641,0.991572,False,False
2018-04,2017-04,22053.63,3303763.8478,2718438.7477,13473.0,717185.74,0.636876,3.606567,False,False
2018-05,2017-05,16136.56,2339386.4488,2148860.7608,2314.0,336137.25,5.973449,5.959617,False,False
2018-06,2017-06,14824.8,2165492.2195,2033373.0695,2258.0,183963.03,5.565456,10.771345,False,False
2018-07,2017-07,14784.4,2745980.622,2355648.1902,2893.96,257843.18,4.108709,9.649809,False,False
2018-08,2017-08,15553.8,2416349.3795,2218509.6428,1641.7,428215.32,8.474204,4.642837,False,False
2018-09,2017-09,12984.5,2380660.365,2188993.825,2268.8,504890.75,4.723069,3.715199,False,False
2018-10,2017-10,22478.3067,4069946.766,3698715.3535,1350.0,288503.77,15.650598,13.107083,False,False
2018-11,2017-11,28770.819,4139085.436,3542429.6589,948.1233,257047.6027,29.345018,15.102408,False,False
2018-12,2017-12,7501.3697,1200390.0136,1073390.5188,9464.3333,391350.4,-0.207406,2.067302,False,False
2019-01,2018-01,9203.82,1366640.1899,1271495.6861,,,,,False,False
2019-02,2018-02,9457.93,1985725.9213,1689053.4637,,,,,False,False
2019-03,2018-03,12297.2595,2022269.9152,1595538.2802,10939.8867,1516641.0309,0.124076,0.333387,False,False
2019-04,2018-04,27596.2271,2444859.4684,1960860.4167,22053.63,3303763.8478,0.251324,-0.259978,False,False
2019-05,2018-05,22552.1333,2801400.1551,2473967.8906,16136.56,2339386.4488,0.39758,0.197494,False,False
2019-06,2018-06,16025.6467,1690604.103,1566523.4442,14824.8,2165492.2195,0.081003,-0.219298,False,False
2019-07,2018-07,23369.6095,2909970.8151,2540147.4728,14784.4,2745980.622,0.580694,0.05972,False,False
2019-08,2018-08,10607.3659,1630522.8555,1360855.4899,15553.8,2416349.3795,-0.318021,-0.325212,False,False
