product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
T SHIRT WITH PRINT,1685.5399,5464174.35,1315587.55,105,25,94,1056150.4700000002,2091171.38,1,0.505052,0.147601,0.147601,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,486.3975,4646667.11,3941955.63,69,21,59,554684.5700000001,1191226.6299999997,2,0.465642,0.125518,0.273118,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,282.5202,3635616.76,2374214.73,63,22,54,597697.2799999999,1417341.2899999998,3,0.421703,0.098207,0.371325,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,44.1254,2398557.13,517537.36,49,22,42,508130.79,1023991.42,4,0.496226,0.064791,0.436116,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 (HARDCOPY),63.8968,1930058.74,1483859.05,41,19,38,361443.28,764179.12,5,0.472982,0.052136,0.488252,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 MAGENTA,73.7527,1747318.52,1350214.65,51,18,46,246924.47000000003,612848.7400000001,6,0.402913,0.047199,0.535451,A,ABC/Pareto using total_trade_price revenue,draft
STAPLE WIRE #35,236.4125,1627452.19,1025288.31,43,20,37,270765.98,638109.0100000001,7,0.424326,0.043961,0.579412,A,ABC/Pareto using total_trade_price revenue,draft
HBW BLACK BALLPEN,216.6976,1495854.12,1116046.8,49,19,43,325874.42,636644.5700000001,8,0.511862,0.040407,0.619819,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LONG (HARDCOPY),37.8199,1470032.46,770798.77,39,17,35,118948.32999999996,289386.07,9,0.411037,0.039709,0.659528,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 BLACK,283.6183,1347166.78,629769.63,52,22,46,566871.73,1091189.8099999998,10,0.519499,0.03639,0.695918,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 CYAN,71.9012,1307362.58,964898.9,42,19,37,399733.79,695586.9299999999,11,0.574671,0.035315,0.731233,A,ABC/Pareto using total_trade_price revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,10.659,1201401.49,919407.4,42,16,39,343884.95000000007,559919.0599999999,12,0.614169,0.032453,0.763686,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,130.6033,1105045.09,383445.39,50,18,46,359715.4600000001,921764.0300000001,13,0.390247,0.02985,0.793536,A,ABC/Pareto using total_trade_price revenue,draft
SCOTCH TAPE 1'',24.413,1096064.74,594936.41,37,15,35,102780.64000000001,197921.02,14,0.519301,0.029607,0.823144,B,ABC/Pareto using total_trade_price revenue,draft
SODAMPEN 1G IM/IV,24830.0,1054276.0,1047998.0,205,50,0,0.0,0.0,15,0.0,0.028479,0.851622,B,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 500PAGES (VALIANT),46.8232,1041219.38,524242.42,58,22,52,424092.0,898888.43,16,0.471796,0.028126,0.879748,B,ABC/Pareto using total_trade_price revenue,draft
MASKING TAPE 1INCH,89.6368,897769.92,448022.05,38,17,33,420197.69,752450.06,17,0.558439,0.024251,0.903999,B,ABC/Pareto using total_trade_price revenue,draft
BALLPEN FINEPOINT,290.3772,879664.8,232127.62,42,15,36,216590.11999999994,458111.24,18,0.472789,0.023762,0.927761,B,ABC/Pareto using total_trade_price revenue,draft
