area_type,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,5675,0,0,980,1537,4645351.364932016,7432506.821258999,77619.7963,16372822.91,11814847.8625,29952085.5613,707389.1475,38540624.8351,0.625005
customer_type,12991,0,0,3428,2297,46156397.65670004,74929150.14388698,1121496.7793,144119202.8561,107800655.6856,309210875.5465,7434.4,371601975.5682,0.616001
territory,21621,20,0,1583,10461,6098116.961175,9954791.914684014,264156.5618,43136100.6766,37703107.4816,78628704.2548,3783856.1663,134520391.4713,0.612581
unmapped,2278,1710,0,330,605,17557824.709999986,35809351.640000015,12374.8933,66525943.5959,35906102.1767,106634269.7,123600.9,108331426.127,0.490314
