product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,7,0,1,0.403282,0.031523,0.031523,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,1192.2947,4587511.68,4542500.5,116,35,8,2,0.990188,0.025017,0.056541,A,ABC/Pareto using total_trade_price revenue,draft
SORBIFER 310MG,3845.6297,3200473.28,3067153.49,35,23,4,3,0.958344,0.017453,0.073994,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,2617.361,2529112.56,1859704.19,33,15,2,4,0.735319,0.013792,0.087786,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 125MCG/0.5ML,1089.4216,2389652.52,1937676.85,63,24,12,5,0.810861,0.013032,0.100818,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,2217500.0,5,4,0,6,0.933684,0.012952,0.11377,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,285.6178,2250105.15,1624669.4,71,18,62,7,0.722042,0.012271,0.126041,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,0,8,0.484315,0.010931,0.136972,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT AMPULE,7553.8986,1948969.01,3770355.26,196,39,18,9,1.934538,0.010628,0.1476,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU/0.7ML,1448.5902,1856413.99,2143819.5,20,5,6,10,1.154818,0.010124,0.157724,A,ABC/Pareto using total_trade_price revenue,draft
"MICROPORE 1"" - 1530-1 - 3M",1751.8816,1631166.63,1488763.79,79,32,8,11,0.912699,0.008895,0.166619,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML IV,287.6221,1570479.09,1020618.99,57,23,14,12,0.649877,0.008564,0.175184,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7933.5703,1494974.36,1907522.03,54,24,4,13,1.275956,0.008153,0.183336,A,ABC/Pareto using total_trade_price revenue,draft
RANICLAV 625MG,4037.6382,1483348.57,1294942.17,57,26,7,14,0.872986,0.008089,0.191426,A,ABC/Pareto using total_trade_price revenue,draft
HAIXONE WITH DILUENT 1G,53614.3374,1425484.65,1362364.87,27,5,2,15,0.95572,0.007774,0.199199,A,ABC/Pareto using total_trade_price revenue,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,0,16,0.926429,0.007635,0.206834,A,ABC/Pareto using total_trade_price revenue,draft
ENOXAGET-40 40MG/0.4ML,2145.0,1372800.0,1285798.8,10,4,0,17,0.936625,0.007486,0.214321,A,ABC/Pareto using total_trade_price revenue,draft
LACTAMOX 500MG/125MG,553.064,1299511.32,1366309.63,155,24,12,18,1.051403,0.007087,0.221407,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 SHORT,406.7463,1298252.22,1729284.29,16,8,13,19,1.332009,0.00708,0.228487,A,ABC/Pareto using total_trade_price revenue,draft
CETHERGO 200MCG/ML,881.6,1234240.0,1241115.0,22,7,0,20,1.00557,0.006731,0.235218,A,ABC/Pareto using total_trade_price revenue,draft
